Year,SeriesCode,Country,Age,Value
2021,SG_DMK_PARLYR_UC,Australia,<=45Y,0.58934
2022,SG_DMK_PARLYR_UC,Australia,<=45Y,0.58934
2023,SG_DMK_PARLYR_UC,Australia,<=45Y,0.4389
2021,SG_DMK_PARLYR_UC,Austria,<=45Y,0.60499
2022,SG_DMK_PARLYR_UC,Austria,<=45Y,0.71847
2023,SG_DMK_PARLYR_UC,Austria,<=45Y,0.72475
2021,SG_DMK_PARLYR_UC,Belgium,<=45Y,1.1019
2022,SG_DMK_PARLYR_UC,Belgium,<=45Y,1.1019
2023,SG_DMK_PARLYR_UC,Belgium,<=45Y,1.09669
2021,SG_DMK_PARLYR_UC,Bosnia and Herzegovina,<=45Y,0.15098
2022,SG_DMK_PARLYR_UC,Bosnia and Herzegovina,<=45Y,0.15098
2023,SG_DMK_PARLYR_UC,Bosnia and Herzegovina,<=45Y,0.14987
2021,SG_DMK_PARLYR_UC,Belarus,<=45Y,0.45429
2022,SG_DMK_PARLYR_UC,Belarus,<=45Y,0.45429
2023,SG_DMK_PARLYR_UC,Belarus,<=45Y,0.45415
2023,SG_DMK_PARLYR_UC,Canada,<=45Y,0.03278
2022,SG_DMK_PARLYR_UC,Chile,<=45Y,0.60262
2023,SG_DMK_PARLYR_UC,Chile,<=45Y,0.58109
2021,SG_DMK_PARLYR_UC,Colombia,<=45Y,0.73763
2022,SG_DMK_PARLYR_UC,Colombia,<=45Y,0.73763
2023,SG_DMK_PARLYR_UC,Colombia,<=45Y,0.97173
2021,SG_DMK_PARLYR_UC,Czechia,<=45Y,0.26375
2022,SG_DMK_PARLYR_UC,Czechia,<=45Y,0.26375
2023,SG_DMK_PARLYR_UC,Czechia,<=45Y,0.47841
2021,SG_DMK_PARLYR_UC,France,<=45Y,0.19574
2022,SG_DMK_PARLYR_UC,France,<=45Y,0.19574
2023,SG_DMK_PARLYR_UC,France,<=45Y,0.19783
2022,SG_DMK_PARLYR_UC,Germany,<=45Y,0.3245
2023,SG_DMK_PARLYR_UC,Germany,<=45Y,0.32415
2021,SG_DMK_PARLYR_UC,India,<=45Y,0.08928
2022,SG_DMK_PARLYR_UC,India,<=45Y,0.08928
2023,SG_DMK_PARLYR_UC,India,<=45Y,0.15387
2021,SG_DMK_PARLYR_UC,Ireland,<=45Y,0.57233
2022,SG_DMK_PARLYR_UC,Ireland,<=45Y,0.57233
2023,SG_DMK_PARLYR_UC,Ireland,<=45Y,0.57645
2021,SG_DMK_PARLYR_UC,Italy,<=45Y,1.92532
2022,SG_DMK_PARLYR_UC,Italy,<=45Y,1.92532
2023,SG_DMK_PARLYR_UC,Italy,<=45Y,0.65373
2021,SG_DMK_PARLYR_UC,Japan,<=45Y,0.70185
2022,SG_DMK_PARLYR_UC,Japan,<=45Y,0.70185
2023,SG_DMK_PARLYR_UC,Japan,<=45Y,0.40523
2022,SG_DMK_PARLYR_UC,Kazakhstan,<=45Y,0.0454
2023,SG_DMK_PARLYR_UC,Kazakhstan,<=45Y,0.04555
2021,SG_DMK_PARLYR_UC,Mexico,<=45Y,0.54206
2022,SG_DMK_PARLYR_UC,Mexico,<=45Y,0.54206
2023,SG_DMK_PARLYR_UC,Mexico,<=45Y,0.55078
2021,SG_DMK_PARLYR_UC,Netherlands (Kingdom of the),<=45Y,0.28503
2022,SG_DMK_PARLYR_UC,Netherlands (Kingdom of the),<=45Y,0.28503
2023,SG_DMK_PARLYR_UC,Netherlands (Kingdom of the),<=45Y,0.27884
2021,SG_DMK_PARLYR_UC,Poland,<=45Y,0.24528
2022,SG_DMK_PARLYR_UC,Poland,<=45Y,0.24528
2023,SG_DMK_PARLYR_UC,Poland,<=45Y,0.24473
2021,SG_DMK_PARLYR_UC,Romania,<=45Y,1.19275
2022,SG_DMK_PARLYR_UC,Romania,<=45Y,1.19275
2023,SG_DMK_PARLYR_UC,Romania,<=45Y,1.16295
2022,SG_DMK_PARLYR_UC,Slovenia,<=45Y,0.11965
2023,SG_DMK_PARLYR_UC,Slovenia,<=45Y,0.47149
2021,SG_DMK_PARLYR_UC,Spain,<=45Y,0.53319
2022,SG_DMK_PARLYR_UC,Spain,<=45Y,0.53319
2023,SG_DMK_PARLYR_UC,Spain,<=45Y,0.53376
2021,SG_DMK_PARLYR_UC,Switzerland,<=45Y,0.39632
2022,SG_DMK_PARLYR_UC,Switzerland,<=45Y,0.39632
2023,SG_DMK_PARLYR_UC,Switzerland,<=45Y,0.39252
2022,SG_DMK_PARLYR_UC,Tajikistan,<=45Y,0.53168
2023,SG_DMK_PARLYR_UC,Tajikistan,<=45Y,0.52251
2021,SG_DMK_PARLYR_UC,United Kingdom of Great Britain and Northern Ireland,<=45Y,0.04417
2022,SG_DMK_PARLYR_UC,United Kingdom of Great Britain and Northern Ireland,<=45Y,0.04417
2022,SG_DMK_PARLYR_UC,Uzbekistan,<=45Y,0.27754
2023,SG_DMK_PARLYR_UC,Uzbekistan,<=45Y,0.27902
2023,SG_DMK_PARLYR_UC,Uzbekistan,<=45Y,0.27902
