Year,SI_POV,GeoAreaName,Value
2001,SI_POV_DDAY,Kazakhstan,12.8
2001,SI_POV_LMIC,Kazakhstan,37.6
2001,SI_POV_UMIC,Kazakhstan,74.5
2002,SI_POV_DDAY,Kazakhstan,8.9
2002,SI_POV_LMIC,Kazakhstan,33.4
2002,SI_POV_UMIC,Kazakhstan,72.3
2003,SI_POV_DDAY,Kazakhstan,6.2
2003,SI_POV_LMIC,Kazakhstan,28.0
2003,SI_POV_UMIC,Kazakhstan,67.6
2004,SI_POV_DDAY,Kazakhstan,3.3
2004,SI_POV_LMIC,Kazakhstan,21.6
2004,SI_POV_UMIC,Kazakhstan,64.3
2005,SI_POV_DDAY,Kazakhstan,8.7
2005,SI_POV_LMIC,Kazakhstan,28.4
2005,SI_POV_UMIC,Kazakhstan,61.5
2006,SI_POV_DDAY,Kazakhstan,1.0
2006,SI_POV_LMIC,Kazakhstan,8.4
2006,SI_POV_UMIC,Kazakhstan,50.8
2007,SI_POV_DDAY,Kazakhstan,0.4
2007,SI_POV_LMIC,Kazakhstan,4.5
2007,SI_POV_UMIC,Kazakhstan,38.0
2008,SI_POV_DDAY,Kazakhstan,0.2
2008,SI_POV_LMIC,Kazakhstan,3.4
2008,SI_POV_UMIC,Kazakhstan,36.7
2009,SI_POV_DDAY,Kazakhstan,0.2
2009,SI_POV_LMIC,Kazakhstan,4.0
2009,SI_POV_UMIC,Kazakhstan,37.6
2010,SI_POV_DDAY,Kazakhstan,0.2
2010,SI_POV_LMIC,Kazakhstan,2.9
2010,SI_POV_UMIC,Kazakhstan,32.0
2011,SI_POV_DDAY,Kazakhstan,0.1
2011,SI_POV_LMIC,Kazakhstan,1.1
2011,SI_POV_UMIC,Kazakhstan,19.2
2012,SI_POV_DDAY,Kazakhstan,0.0
2012,SI_POV_LMIC,Kazakhstan,0.9
2012,SI_POV_UMIC,Kazakhstan,19.0
2013,SI_POV_DDAY,Kazakhstan,0.0
2013,SI_POV_LMIC,Kazakhstan,0.4
2013,SI_POV_UMIC,Kazakhstan,13.7
2014,SI_POV_DDAY,Kazakhstan,0.0
2014,SI_POV_LMIC,Kazakhstan,0.5
2014,SI_POV_UMIC,Kazakhstan,14.8
2015,SI_POV_DDAY,Kazakhstan,0.0
2015,SI_POV_LMIC,Kazakhstan,0.7
2015,SI_POV_UMIC,Kazakhstan,17.2
2016,SI_POV_DDAY,Kazakhstan,0.1
2016,SI_POV_LMIC,Kazakhstan,1.3
2016,SI_POV_UMIC,Kazakhstan,23.8
2017,SI_POV_DDAY,Kazakhstan,0.0
2017,SI_POV_LMIC,Kazakhstan,0.7
2017,SI_POV_UMIC,Kazakhstan,18.8
2018,SI_POV_DDAY,Kazakhstan,0.0
2018,SI_POV_LMIC,Kazakhstan,0.5
2018,SI_POV_UMIC,Kazakhstan,14.3
2000,SI_POV_DDAY,Kyrgyz Republic,38.2
2000,SI_POV_LMIC,Kyrgyz Republic,75.7
