Year,SeriesCode,Страна ,Age,Value
2021,SG_DMK_PARLYN_LC,Azerbaijan,<=45Y,34
2022,SG_DMK_PARLYN_LC,Azerbaijan,<=45Y,34
2023,SG_DMK_PARLYN_LC,Azerbaijan,<=45Y,26
2021,SG_DMK_PARLYN_LC,Australia,<=45Y,39
2022,SG_DMK_PARLYN_LC,Australia,<=45Y,39
2023,SG_DMK_PARLYN_LC,Australia,<=45Y,35
2021,SG_DMK_PARLYN_LC,Austria,<=45Y,80
2022,SG_DMK_PARLYN_LC,Austria,<=45Y,80
2023,SG_DMK_PARLYN_LC,Austria,<=45Y,80
2021,SG_DMK_PARLYN_LC,Armenia,<=45Y,95
2022,SG_DMK_PARLYN_LC,Armenia,<=45Y,75
2023,SG_DMK_PARLYN_LC,Armenia,<=45Y,75
2021,SG_DMK_PARLYN_LC,Belgium,<=45Y,81
2022,SG_DMK_PARLYN_LC,Belgium,<=45Y,81
2023,SG_DMK_PARLYN_LC,Belgium,<=45Y,81
2021,SG_DMK_PARLYN_LC,Bosnia and Herzegovina,<=45Y,8
2022,SG_DMK_PARLYN_LC,Bosnia and Herzegovina,<=45Y,8
2023,SG_DMK_PARLYN_LC,Bosnia and Herzegovina,<=45Y,10
2021,SG_DMK_PARLYN_LC,Bulgaria,<=45Y,99
2022,SG_DMK_PARLYN_LC,Bulgaria,<=45Y,124
2023,SG_DMK_PARLYN_LC,Bulgaria,<=45Y,126
2021,SG_DMK_PARLYN_LC,Belarus,<=45Y,23
2022,SG_DMK_PARLYN_LC,Belarus,<=45Y,23
2023,SG_DMK_PARLYN_LC,Belarus,<=45Y,23
2023,SG_DMK_PARLYN_LC,Canada,<=45Y,93
2021,SG_DMK_PARLYN_LC,Chile,<=45Y,64
2023,SG_DMK_PARLYN_LC,Chile,<=45Y,70
2021,SG_DMK_PARLYN_LC,China,<=45Y,344
2022,SG_DMK_PARLYN_LC,China,<=45Y,344
2023,SG_DMK_PARLYN_LC,China,<=45Y,344
2021,SG_DMK_PARLYN_LC,Colombia,<=45Y,77
2022,SG_DMK_PARLYN_LC,Colombia,<=45Y,77
2023,SG_DMK_PARLYN_LC,Colombia,<=45Y,113
2021,SG_DMK_PARLYN_LC,Costa Rica,<=45Y,26
2022,SG_DMK_PARLYN_LC,Costa Rica,<=45Y,26
2023,SG_DMK_PARLYN_LC,Costa Rica,<=45Y,25
2021,SG_DMK_PARLYN_LC,Croatia,<=45Y,60
2022,SG_DMK_PARLYN_LC,Croatia,<=45Y,60
2023,SG_DMK_PARLYN_LC,Croatia,<=45Y,60
2021,SG_DMK_PARLYN_LC,Cyprus,<=45Y,14
2022,SG_DMK_PARLYN_LC,Cyprus,<=45Y,19
2023,SG_DMK_PARLYN_LC,Cyprus,<=45Y,19
2021,SG_DMK_PARLYN_LC,Czechia,<=45Y,72
2022,SG_DMK_PARLYN_LC,Czechia,<=45Y,66
2023,SG_DMK_PARLYN_LC,Czechia,<=45Y,66
2021,SG_DMK_PARLYN_LC,Denmark,<=45Y,89
2022,SG_DMK_PARLYN_LC,Denmark,<=45Y,89
2023,SG_DMK_PARLYN_LC,Denmark,<=45Y,85
2021,SG_DMK_PARLYN_LC,Estonia,<=45Y,36
2022,SG_DMK_PARLYN_LC,Estonia,<=45Y,36
2023,SG_DMK_PARLYN_LC,Estonia,<=45Y,36
2021,SG_DMK_PARLYN_LC,Finland,<=45Y,90
2022,SG_DMK_PARLYN_LC,Finland,<=45Y,90
2023,SG_DMK_PARLYN_LC,Finland,<=45Y,90
2021,SG_DMK_PARLYN_LC,France,<=45Y,213
2022,SG_DMK_PARLYN_LC,France,<=45Y,213
2023,SG_DMK_PARLYN_LC,France,<=45Y,219
2021,SG_DMK_PARLYN_LC,Georgia,<=45Y,78
2022,SG_DMK_PARLYN_LC,Georgia,<=45Y,74
2023,SG_DMK_PARLYN_LC,Georgia,<=45Y,74
2021,SG_DMK_PARLYN_LC,Germany,<=45Y,165
2022,SG_DMK_PARLYN_LC,Germany,<=45Y,309
2023,SG_DMK_PARLYN_LC,Germany,<=45Y,309
2021,SG_DMK_PARLYN_LC,Greece,<=45Y,74
2022,SG_DMK_PARLYN_LC,Greece,<=45Y,74
2023,SG_DMK_PARLYN_LC,Greece,<=45Y,74
2021,SG_DMK_PARLYN_LC,Hungary,<=45Y,65
2022,SG_DMK_PARLYN_LC,Hungary,<=45Y,65
2023,SG_DMK_PARLYN_LC,Hungary,<=45Y,60
2021,SG_DMK_PARLYN_LC,Iceland,<=45Y,23
2022,SG_DMK_PARLYN_LC,Iceland,<=45Y,26
2023,SG_DMK_PARLYN_LC,Iceland,<=45Y,26
2021,SG_DMK_PARLYN_LC,India,<=45Y,102
2022,SG_DMK_PARLYN_LC,India,<=45Y,102
2023,SG_DMK_PARLYN_LC,India,<=45Y,102
2021,SG_DMK_PARLYN_LC,Ireland,<=45Y,66
2022,SG_DMK_PARLYN_LC,Ireland,<=45Y,66
2023,SG_DMK_PARLYN_LC,Ireland,<=45Y,66
2021,SG_DMK_PARLYN_LC,Israel,<=45Y,38
2022,SG_DMK_PARLYN_LC,Israel,<=45Y,37
2023,SG_DMK_PARLYN_LC,Israel,<=45Y,35
2021,SG_DMK_PARLYN_LC,Italy,<=45Y,375
2022,SG_DMK_PARLYN_LC,Italy,<=45Y,375
2023,SG_DMK_PARLYN_LC,Italy,<=45Y,140
2021,SG_DMK_PARLYN_LC,Japan,<=45Y,103
2022,SG_DMK_PARLYN_LC,Japan,<=45Y,80
2023,SG_DMK_PARLYN_LC,Japan,<=45Y,80
2021,SG_DMK_PARLYN_LC,Казахстан,<=45Y,12
2022,SG_DMK_PARLYN_LC,Казахстан,<=45Y,31
2023,SG_DMK_PARLYN_LC,Казахстан,<=45Y,31
2021,SG_DMK_PARLYN_LC,Republic of Korea,<=45Y,22
2022,SG_DMK_PARLYN_LC,Republic of Korea,<=45Y,22
2023,SG_DMK_PARLYN_LC,Republic of Korea,<=45Y,22
2021,SG_DMK_PARLYN_LC,Кыргызстан,<=45Y,65
2022,SG_DMK_PARLYN_LC,Кыргызстан,<=45Y,50
2023,SG_DMK_PARLYN_LC,Кыргызстан,<=45Y,44
2021,SG_DMK_PARLYN_LC,Latvia,<=45Y,51
2022,SG_DMK_PARLYN_LC,Latvia,<=45Y,51
2023,SG_DMK_PARLYN_LC,Latvia,<=45Y,43
2021,SG_DMK_PARLYN_LC,Liechtenstein,<=45Y,4
2022,SG_DMK_PARLYN_LC,Liechtenstein,<=45Y,6
2023,SG_DMK_PARLYN_LC,Liechtenstein,<=45Y,6
2021,SG_DMK_PARLYN_LC,Lithuania,<=45Y,64
2022,SG_DMK_PARLYN_LC,Lithuania,<=45Y,64
2023,SG_DMK_PARLYN_LC,Lithuania,<=45Y,64
2021,SG_DMK_PARLYN_LC,Luxembourg,<=45Y,17
2022,SG_DMK_PARLYN_LC,Luxembourg,<=45Y,17
2023,SG_DMK_PARLYN_LC,Luxembourg,<=45Y,17
2021,SG_DMK_PARLYN_LC,Malta,<=45Y,31
2022,SG_DMK_PARLYN_LC,Malta,<=45Y,31
2023,SG_DMK_PARLYN_LC,Malta,<=45Y,36
2021,SG_DMK_PARLYN_LC,Mexico,<=45Y,224
2022,SG_DMK_PARLYN_LC,Mexico,<=45Y,224
2023,SG_DMK_PARLYN_LC,Mexico,<=45Y,224
2021,SG_DMK_PARLYN_LC,Republic of Moldova,<=45Y,48
2022,SG_DMK_PARLYN_LC,Republic of Moldova,<=45Y,48
2023,SG_DMK_PARLYN_LC,Republic of Moldova,<=45Y,48
2021,SG_DMK_PARLYN_LC,Montenegro,<=45Y,43
2022,SG_DMK_PARLYN_LC,Montenegro,<=45Y,43
2023,SG_DMK_PARLYN_LC,Montenegro,<=45Y,43
