Year,SeriesCode,Страна ,Sex,Value
2000,SI_COV_PENSN,Albania,BOTHSEX,89.0
2011,SI_COV_PENSN,Albania,BOTHSEX,77.0
2021,SI_COV_PENSN,Albania,MALE,100.0
2021,SI_COV_PENSN,Albania,BOTHSEX,100.0
2021,SI_COV_PENSN,Albania,FEMALE,100.0
2000,SI_COV_PENSN,Azerbaijan,BOTHSEX,97.0
2016,SI_COV_PENSN,Azerbaijan,BOTHSEX,81.1
2016,SI_COV_PENSN,Azerbaijan,FEMALE,95.3
2016,SI_COV_PENSN,Azerbaijan,MALE,63.1
2018,SI_COV_PENSN,Azerbaijan,BOTHSEX,100.0
2020,SI_COV_PENSN,Azerbaijan,BOTHSEX,72.8
2020,SI_COV_PENSN,Azerbaijan,FEMALE,76.8
2020,SI_COV_PENSN,Azerbaijan,MALE,56.6
2000,SI_COV_PENSN,Australia,BOTHSEX,80.0
2013,SI_COV_PENSN,Australia,BOTHSEX,70.1
2013,SI_COV_PENSN,Australia,FEMALE,72.6
2013,SI_COV_PENSN,Australia,MALE,67.2
2014,SI_COV_PENSN,Australia,FEMALE,73.1
2014,SI_COV_PENSN,Australia,MALE,69.2
2014,SI_COV_PENSN,Australia,BOTHSEX,71.3
2016,SI_COV_PENSN,Australia,BOTHSEX,74.3
2020,SI_COV_PENSN,Australia,MALE,100.0
2020,SI_COV_PENSN,Australia,BOTHSEX,100.0
2020,SI_COV_PENSN,Australia,FEMALE,100.0
2000,SI_COV_PENSN,Austria,BOTHSEX,96.0
2013,SI_COV_PENSN,Austria,MALE,100.0
2013,SI_COV_PENSN,Austria,FEMALE,96.5
2013,SI_COV_PENSN,Austria,BOTHSEX,100.0
2014,SI_COV_PENSN,Austria,BOTHSEX,100.0
2014,SI_COV_PENSN,Austria,MALE,100.0
2014,SI_COV_PENSN,Austria,FEMALE,98.8
2020,SI_COV_PENSN,Austria,FEMALE,100.0
2020,SI_COV_PENSN,Austria,MALE,100.0
2020,SI_COV_PENSN,Austria,BOTHSEX,100.0
2000,SI_COV_PENSN,Armenia,BOTHSEX,87.0
