Year,SeriesCode,GeoAreaName,Quantile,Value
2008,SI_COV_LMKT,Albania,Q1,7.86586
2008,SI_COV_LMKT,Albania,_T,6.04202
2012,SI_COV_LMKT,Albania,_T,14.22281
2012,SI_COV_LMKT,Albania,Q1,17.03102
2015,SI_COV_LMKT,Azerbaijan,Q1,3.80956
2015,SI_COV_LMKT,Azerbaijan,_T,3.61394
2008,SI_COV_LMKT,Armenia,_T,2.94078
2008,SI_COV_LMKT,Armenia,Q1,2.7243
2009,SI_COV_LMKT,Armenia,_T,4.14208
2009,SI_COV_LMKT,Armenia,Q1,4.4735
2010,SI_COV_LMKT,Armenia,Q1,5.49662
2010,SI_COV_LMKT,Armenia,_T,6.29827
2011,SI_COV_LMKT,Armenia,_T,4.34558
2011,SI_COV_LMKT,Armenia,Q1,6.51984
2012,SI_COV_LMKT,Armenia,_T,3.32451
2012,SI_COV_LMKT,Armenia,Q1,2.99704
2013,SI_COV_LMKT,Armenia,_T,3.20584
2013,SI_COV_LMKT,Armenia,Q1,3.39142
2014,SI_COV_LMKT,Armenia,_T,0.8872
2014,SI_COV_LMKT,Armenia,Q1,0.78219
2007,SI_COV_LMKT,Bosnia and Herzegovina,_T,2.03118
2007,SI_COV_LMKT,Bosnia and Herzegovina,Q1,3.5248
2007,SI_COV_LMKT,Bulgaria,Q1,25.36885
2007,SI_COV_LMKT,Bulgaria,_T,13.33934
2008,SI_COV_LMKT,Belarus,_T,0.95735
2008,SI_COV_LMKT,Belarus,Q1,2.16785
2009,SI_COV_LMKT,Belarus,_T,1.16548
2009,SI_COV_LMKT,Belarus,Q1,2.33606
2010,SI_COV_LMKT,Belarus,Q1,2.27473
2010,SI_COV_LMKT,Belarus,_T,0.93436
2012,SI_COV_LMKT,Belarus,Q1,0.60336
2012,SI_COV_LMKT,Belarus,_T,0.55285
2015,SI_COV_LMKT,Belarus,_T,1.12192
2015,SI_COV_LMKT,Belarus,Q1,2.82066
2016,SI_COV_LMKT,Belarus,_T,1.11034
2016,SI_COV_LMKT,Belarus,Q1,1.97855
2006,SI_COV_LMKT,Chile,Q1,11.91531
2006,SI_COV_LMKT,Chile,_T,23.40301
2009,SI_COV_LMKT,Chile,_T,21.74592
2009,SI_COV_LMKT,Chile,Q1,12.30475
2011,SI_COV_LMKT,Chile,_T,0.59718
2011,SI_COV_LMKT,Chile,Q1,0.44437
2013,SI_COV_LMKT,Chile,_T,20.50725
2013,SI_COV_LMKT,Chile,Q1,13.8681
2015,SI_COV_LMKT,Chile,_T,24.27583
2015,SI_COV_LMKT,Chile,Q1,14.23999
2017,SI_COV_LMKT,Chile,Q1,13.33355
2017,SI_COV_LMKT,Chile,_T,22.32238
2008,SI_COV_LMKT,Costa Rica,Q1,16.19802
2008,SI_COV_LMKT,Costa Rica,_T,21.155
2009,SI_COV_LMKT,Costa Rica,_T,25.33946
2009,SI_COV_LMKT,Costa Rica,Q1,22.64373
2010,SI_COV_LMKT,Costa Rica,_T,19.84133
2010,SI_COV_LMKT,Costa Rica,Q1,15.04027
2011,SI_COV_LMKT,Costa Rica,Q1,16.76853
2011,SI_COV_LMKT,Costa Rica,_T,21.76401
2012,SI_COV_LMKT,Costa Rica,_T,21.79102
2012,SI_COV_LMKT,Costa Rica,Q1,16.03325
2014,SI_COV_LMKT,Costa Rica,_T,23.09385
2014,SI_COV_LMKT,Costa Rica,Q1,19.82315
2015,SI_COV_LMKT,Costa Rica,_T,24.48749
2015,SI_COV_LMKT,Costa Rica,Q1,20.64208
2016,SI_COV_LMKT,Costa Rica,_T,25.34954
2016,SI_COV_LMKT,Costa Rica,Q1,20.18356
2017,SI_COV_LMKT,Costa Rica,Q1,22.9862
2017,SI_COV_LMKT,Costa Rica,_T,26.08644
2018,SI_COV_LMKT,Costa Rica,_T,21.87133
2018,SI_COV_LMKT,Costa Rica,Q1,18.55113
2019,SI_COV_LMKT,Costa Rica,Q1,19.84239
2019,SI_COV_LMKT,Costa Rica,_T,21.69569
2008,SI_COV_LMKT,Croatia,_T,4.09476
2008,SI_COV_LMKT,Croatia,Q1,4.7013
2010,SI_COV_LMKT,Croatia,Q1,8.62459
2010,SI_COV_LMKT,Croatia,_T,5.79397
2011,SI_COV_LMKT,Croatia,_T,5.35082
2011,SI_COV_LMKT,Croatia,Q1,6.8212
2014,SI_COV_LMKT,Croatia,_T,5.11951
2014,SI_COV_LMKT,Croatia,Q1,7.96386
2011,SI_COV_LMKT,Georgia,Q1,0.06922
2011,SI_COV_LMKT,Georgia,_T,0.32554
2007,SI_COV_LMKT,Hungary,_T,9.86803
2007,SI_COV_LMKT,Hungary,Q1,20.65943
2004,SI_COV_LMKT,India,_T,3.55752
2004,SI_COV_LMKT,India,Q1,1.50049
2009,SI_COV_LMKT,India,_T,4.43938
2009,SI_COV_LMKT,India,Q1,1.96246
2014,SI_COV_LMKT,Kazakhstan,Q1,22.62891
2014,SI_COV_LMKT,Kazakhstan,_T,12.50519
2011,SI_COV_LMKT,Kyrgyzstan,Q1,25.65016
2011,SI_COV_LMKT,Kyrgyzstan,_T,23.89148
2012,SI_COV_LMKT,Kyrgyzstan,Q1,17.35811
2012,SI_COV_LMKT,Kyrgyzstan,_T,21.08072
2013,SI_COV_LMKT,Kyrgyzstan,_T,25.79409
2013,SI_COV_LMKT,Kyrgyzstan,Q1,25.32387
2008,SI_COV_LMKT,Latvia,Q1,7.67277
2008,SI_COV_LMKT,Latvia,_T,7.69174
2009,SI_COV_LMKT,Latvia,_T,9.84013
2009,SI_COV_LMKT,Latvia,Q1,14.00812
2008,SI_COV_LMKT,Lithuania,Q1,2.8735
2008,SI_COV_LMKT,Lithuania,_T,2.22928
2010,SI_COV_LMKT,Republic of Moldova,Q1,4.73696
2010,SI_COV_LMKT,Republic of Moldova,_T,2.49661
2012,SI_COV_LMKT,Republic of Moldova,_T,1.54528
2012,SI_COV_LMKT,Republic of Moldova,Q1,3.12991
2013,SI_COV_LMKT,Republic of Moldova,Q1,2.1085
2013,SI_COV_LMKT,Republic of Moldova,_T,0.91597
2018,SI_COV_LMKT,Republic of Moldova,Q1,4.53158
2018,SI_COV_LMKT,Republic of Moldova,_T,1.72003
2011,SI_COV_LMKT,Montenegro,Q1,3.58474
2011,SI_COV_LMKT,Montenegro,_T,3.96
2012,SI_COV_LMKT,Montenegro,_T,3.54356
2012,SI_COV_LMKT,Montenegro,Q1,7.14999
2013,SI_COV_LMKT,Montenegro,Q1,4.923
2013,SI_COV_LMKT,Montenegro,_T,2.19372
2014,SI_COV_LMKT,Montenegro,_T,3.61241
2014,SI_COV_LMKT,Montenegro,Q1,2.46184
2005,SI_COV_LMKT,Poland,Q1,47.56495
2005,SI_COV_LMKT,Poland,_T,24.52726
2006,SI_COV_LMKT,Poland,_T,21.01191
2006,SI_COV_LMKT,Poland,Q1,42.27876
2007,SI_COV_LMKT,Poland,_T,16.11297
2007,SI_COV_LMKT,Poland,Q1,31.78217
