Year,SeriesCode,GeoAreaName,Age,Freq,Location,Sex,Value
2000,SH_TBS_INCD,Belarus,,,,,86.0
2001,SH_TBS_INCD,Belarus,,,,,70.0
2002,SH_TBS_INCD,Belarus,,,,,66.0
2003,SH_TBS_INCD,Belarus,,,,,77.0
2004,SH_TBS_INCD,Belarus,,,,,71.0
2005,SH_TBS_INCD,Belarus,,,,,69.0
2006,SH_TBS_INCD,Belarus,,,,,68.0
2007,SH_TBS_INCD,Belarus,,,,,71.0
2008,SH_TBS_INCD,Belarus,,,,,68.0
2009,SH_TBS_INCD,Belarus,,,,,70.0
2010,SH_TBS_INCD,Belarus,,,,,68.0
2011,SH_TBS_INCD,Belarus,,,,,62.0
2012,SH_TBS_INCD,Belarus,,,,,63.0
2013,SH_TBS_INCD,Belarus,,,,,59.0
2014,SH_TBS_INCD,Belarus,,,,,51.0
2015,SH_TBS_INCD,Belarus,,,,,50.0
2016,SH_TBS_INCD,Belarus,,,,,42.0
2017,SH_TBS_INCD,Belarus,,,,,37.0
2018,SH_TBS_INCD,Belarus,,,,,31.0
2019,SH_TBS_INCD,Belarus,,,,,29.0
2020,SH_TBS_INCD,Belarus,,,,,28.0
2021,SH_TBS_INCD,Belarus,,,,,30.0
2000,SH_TBS_INCD,Canada,,,,,6.5
2001,SH_TBS_INCD,Canada,,,,,6.6
2002,SH_TBS_INCD,Canada,,,,,6.1
2003,SH_TBS_INCD,Canada,,,,,5.9
2004,SH_TBS_INCD,Canada,,,,,5.6
2005,SH_TBS_INCD,Canada,,,,,5.5
2006,SH_TBS_INCD,Canada,,,,,5.4
2007,SH_TBS_INCD,Canada,,,,,5.3
2008,SH_TBS_INCD,Canada,,,,,5.4
2009,SH_TBS_INCD,Canada,,,,,5.4
2010,SH_TBS_INCD,Canada,,,,,4.6
2011,SH_TBS_INCD,Canada,,,,,4.8
2012,SH_TBS_INCD,Canada,,,,,5.5
2013,SH_TBS_INCD,Canada,,,,,5.4
2014,SH_TBS_INCD,Canada,,,,,5.1
2015,SH_TBS_INCD,Canada,,,,,5.3
2016,SH_TBS_INCD,Canada,,,,,5.5
2017,SH_TBS_INCD,Canada,,,,,5.7
2018,SH_TBS_INCD,Canada,,,,,5.6
2019,SH_TBS_INCD,Canada,,,,,5.9
2020,SH_TBS_INCD,Canada,,,,,5.4
2021,SH_TBS_INCD,Canada,,,,,5.3
2000,SH_TBS_INCD,Chile,,,,,23.0
2001,SH_TBS_INCD,Chile,,,,,22.0
2002,SH_TBS_INCD,Chile,,,,,18.0
2003,SH_TBS_INCD,Chile,,,,,16.0
2004,SH_TBS_INCD,Chile,,,,,19.0
2005,SH_TBS_INCD,Chile,,,,,18.0
2006,SH_TBS_INCD,Chile,,,,,18.0
2007,SH_TBS_INCD,Chile,,,,,17.0
2008,SH_TBS_INCD,Chile,,,,,17.0
2000,SH_TBS_INCD,Albania,,,,,22.0
2001,SH_TBS_INCD,Albania,,,,,20.0
2002,SH_TBS_INCD,Albania,,,,,22.0
2003,SH_TBS_INCD,Albania,,,,,20.0
2004,SH_TBS_INCD,Albania,,,,,20.0
2005,SH_TBS_INCD,Albania,,,,,19.0
2006,SH_TBS_INCD,Albania,,,,,18.0
2007,SH_TBS_INCD,Albania,,,,,17.0
