Year,SeriesCode,GeoAreaName,Age,Sex,Value
2009,SH_FPL_INFMRH,Albania,15-49,FEMALE,86.6
2018,SH_FPL_INFMRH,Albania,15-49,FEMALE,92.3
2010,SH_FPL_INFMRH,Armenia,15-49,FEMALE,95.1
2016,SH_FPL_INFMRH,Armenia,15-49,FEMALE,96.0
2018,SH_FPL_INFMRH,Georgia,15-49,FEMALE,95.4
2021,SH_FPL_INFMRH,India,15-49,FEMALE,82.4
2012,SH_FPL_INFMRH,Kyrgyzstan,15-49,FEMALE,93.7
2020,SH_FPL_INFMRH,Republic of Moldova,15-49,FEMALE,95.6
2019,SH_FPL_INFMRH,Serbia,15-49,FEMALE,99.7
2012,SH_FPL_INFMRH,Tajikistan,15-49,FEMALE,60.2
2017,SH_FPL_INFMRH,Tajikistan,15-49,FEMALE,47.5
2019,SH_FPL_INFMRH,Turkmenistan,15-49,FEMALE,85.4
2007,SH_FPL_INFMRH,Ukraine,15-49,FEMALE,97.5
2019,SH_FPL_INFMRH,North Macedonia,15-49,FEMALE,98.4
2022,SH_FPL_INFMRH,Uzbekistan,15-49,FEMALE,89.4
2022,SH_FPL_INFMRH,Uzbekistan,15-49,FEMALE,89.4
