Year,SeriesCode,GeoAreaName,Location,Value
2000,EN_LND_SLUM,Mexico,URBAN,32.16297
2002,EN_LND_SLUM,Mexico,URBAN,30.44793
2004,EN_LND_SLUM,Mexico,URBAN,28.73289
2006,EN_LND_SLUM,Mexico,URBAN,27.01784
2008,EN_LND_SLUM,Mexico,URBAN,25.3028
2010,EN_LND_SLUM,Mexico,URBAN,23.58776
2012,EN_LND_SLUM,Mexico,URBAN,21.87272
2014,EN_LND_SLUM,Mexico,URBAN,20.15767
2016,EN_LND_SLUM,Mexico,URBAN,18.44263
2018,EN_LND_SLUM,Mexico,URBAN,17.6
2020,EN_LND_SLUM,Mexico,URBAN,17.6
2000,EN_LND_SLUM,Republic of Moldova,URBAN,26.5
2002,EN_LND_SLUM,Republic of Moldova,URBAN,23.7
2004,EN_LND_SLUM,Republic of Moldova,URBAN,20.8
2006,EN_LND_SLUM,Republic of Moldova,URBAN,18.0
2008,EN_LND_SLUM,Republic of Moldova,URBAN,15.1
2010,EN_LND_SLUM,Republic of Moldova,URBAN,12.3
2012,EN_LND_SLUM,Republic of Moldova,URBAN,9.4
2014,EN_LND_SLUM,Republic of Moldova,URBAN,6.5
2016,EN_LND_SLUM,Republic of Moldova,URBAN,6.5
2018,EN_LND_SLUM,Republic of Moldova,URBAN,6.5
2000,EN_LND_SLUM,Montenegro,URBAN,19.1
2002,EN_LND_SLUM,Montenegro,URBAN,19.1
2004,EN_LND_SLUM,Montenegro,URBAN,18.5
2000,EN_LND_SLUM,Albania,URBAN,28.1
2002,EN_LND_SLUM,Albania,URBAN,25.5
2004,EN_LND_SLUM,Albania,URBAN,23.0
2006,EN_LND_SLUM,Albania,URBAN,20.5
2008,EN_LND_SLUM,Albania,URBAN,17.9
2010,EN_LND_SLUM,Albania,URBAN,15.4
2012,EN_LND_SLUM,Albania,URBAN,12.9
2014,EN_LND_SLUM,Albania,URBAN,10.3
2016,EN_LND_SLUM,Albania,URBAN,7.8
2018,EN_LND_SLUM,Albania,URBAN,5.3
2020,EN_LND_SLUM,Albania,URBAN,2.8
2000,EN_LND_SLUM,Azerbaijan,URBAN,50.94
2002,EN_LND_SLUM,Azerbaijan,URBAN,44.93667
2004,EN_LND_SLUM,Azerbaijan,URBAN,38.93333
2006,EN_LND_SLUM,Azerbaijan,URBAN,32.93
2008,EN_LND_SLUM,Azerbaijan,URBAN,26.92667
2010,EN_LND_SLUM,Azerbaijan,URBAN,26.92667
2012,EN_LND_SLUM,Azerbaijan,URBAN,26.92667
2000,EN_LND_SLUM,Austria,URBAN,4.5
2002,EN_LND_SLUM,Austria,URBAN,4.4
2004,EN_LND_SLUM,Austria,URBAN,4.4
2006,EN_LND_SLUM,Austria,URBAN,4.4
2000,EN_LND_SLUM,Armenia,URBAN,12.79599
2002,EN_LND_SLUM,Armenia,URBAN,12.30696
2004,EN_LND_SLUM,Armenia,URBAN,11.81793
2006,EN_LND_SLUM,Armenia,URBAN,11.3289
2008,EN_LND_SLUM,Armenia,URBAN,10.83987
2010,EN_LND_SLUM,Armenia,URBAN,10.35084
2012,EN_LND_SLUM,Armenia,URBAN,9.86181
2014,EN_LND_SLUM,Armenia,URBAN,9.37278
2016,EN_LND_SLUM,Armenia,URBAN,8.88375
2018,EN_LND_SLUM,Armenia,URBAN,8.39472
2020,EN_LND_SLUM,Armenia,URBAN,8.39472
2000,EN_LND_SLUM,Bosnia and Herzegovina,URBAN,5.1
2002,EN_LND_SLUM,Bosnia and Herzegovina,URBAN,5.1
2004,EN_LND_SLUM,Bosnia and Herzegovina,URBAN,5.1
2006,EN_LND_SLUM,Montenegro,URBAN,17.3
2008,EN_LND_SLUM,Montenegro,URBAN,16.1
2010,EN_LND_SLUM,Montenegro,URBAN,14.9
2012,EN_LND_SLUM,Montenegro,URBAN,13.6
2014,EN_LND_SLUM,Montenegro,URBAN,12.4
2016,EN_LND_SLUM,Montenegro,URBAN,11.2
2018,EN_LND_SLUM,Montenegro,URBAN,10.0
2020,EN_LND_SLUM,Montenegro,URBAN,8.8
2000,EN_LND_SLUM,Viet Nam,URBAN,45.31667
2002,EN_LND_SLUM,Viet Nam,URBAN,40.37283
2004,EN_LND_SLUM,Viet Nam,URBAN,35.429
2006,EN_LND_SLUM,Viet Nam,URBAN,30.48516
2006,EN_LND_SLUM,Bosnia and Herzegovina,URBAN,4.9
