Year,SeriesCode,Country,Age,Disability status,Education level,Location,Population Group,Quantile,Sex,Value
2022,IU_DMK_ICRS,Colombia,<25Y,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,34.5
2022,IU_DMK_ICRS,Colombia,25-34,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,34.4
2022,IU_DMK_ICRS,Colombia,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Male,37.7
2022,IU_DMK_ICRS,Colombia,65+,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,42.2
2022,IU_DMK_ICRS,Colombia,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,POP_C,,Both sexes,37.1
2022,IU_DMK_ICRS,Colombia,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,POP_B,,Both sexes,36.7
2022,IU_DMK_ICRS,Colombia,45-54,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,38.0
2022,IU_DMK_ICRS,Colombia,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,37.0
2022,IU_DMK_ICRS,Colombia,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,POP_A,,Both sexes,35.7
2022,IU_DMK_ICRS,Colombia,55-64,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,39.0
2022,IU_DMK_ICRS,Colombia,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Female,36.4
2022,IU_DMK_ICRS,Colombia,35-44,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,36.0
2022,IU_DMK_ICRS,Colombia,35-44,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,36.0
