Year,SeriesCode,Country,Age,Location,Sex,Value
2017,SD_MDP_MUHC,Albania,<16Y,All areas,Both sexes,55
2017,SD_MDP_MUHC,Albania,ALLAGE,All areas,Both sexes,52
2017,SD_MDP_MUHC,Albania,ALLAGE,All areas,Female,52
2017,SD_MDP_MUHC,Albania,ALLAGE,All areas,Male,51
2018,SD_MDP_MUHC,Albania,ALLAGE,All areas,Both sexes,49
2018,SD_MDP_MUHC,Albania,ALLAGE,All areas,Male,48
2018,SD_MDP_MUHC,Albania,<16Y,All areas,Both sexes,52
2018,SD_MDP_MUHC,Albania,ALLAGE,All areas,Female,50
2019,SD_MDP_MUHC,Albania,ALLAGE,All areas,Female,47
2019,SD_MDP_MUHC,Albania,<16Y,All areas,Both sexes,49
2019,SD_MDP_MUHC,Albania,ALLAGE,All areas,Both sexes,46
2019,SD_MDP_MUHC,Albania,ALLAGE,All areas,Male,46
2020,SD_MDP_MUHC,Albania,ALLAGE,All areas,Female,45
2020,SD_MDP_MUHC,Albania,ALLAGE,All areas,Both sexes,43
2020,SD_MDP_MUHC,Albania,<16Y,All areas,Both sexes,48
2015,SD_MDP_MUHC,Costa Rica,<18Y,All areas,Both sexes,33
2015,SD_MDP_MUHC,Costa Rica,ALLAGE,Rural,Both sexes,41
2015,SD_MDP_MUHC,Costa Rica,ALLAGE,All areas,Male,27
2015,SD_MDP_MUHC,Costa Rica,ALLAGE,Urban,Both sexes,21
2020,SD_MDP_MUHC,Albania,ALLAGE,All areas,Male,42
2010,SD_MDP_MUHC,Austria,ALLAGE,Urban,Both sexes,21
2010,SD_MDP_MUHC,Austria,ALLAGE,All areas,Male,17
2010,SD_MDP_MUHC,Austria,ALLAGE,Rural,Both sexes,16
2010,SD_MDP_MUHC,Austria,ALLAGE,All areas,Both sexes,19
2015,SD_MDP_MUHC,Costa Rica,ALLAGE,All areas,Female,25
2016,SD_MDP_MUHC,Costa Rica,<18Y,All areas,Both sexes,32
2016,SD_MDP_MUHC,Costa Rica,ALLAGE,All areas,Male,26
2016,SD_MDP_MUHC,Costa Rica,ALLAGE,Rural,Both sexes,39
2016,SD_MDP_MUHC,Costa Rica,ALLAGE,All areas,Both sexes,25
2010,SD_MDP_MUHC,Austria,ALLAGE,All areas,Female,21
2010,SD_MDP_MUHC,Austria,<18Y,All areas,Both sexes,22
2011,SD_MDP_MUHC,Austria,ALLAGE,All areas,Female,20
2011,SD_MDP_MUHC,Austria,ALLAGE,All areas,Male,18
2011,SD_MDP_MUHC,Austria,ALLAGE,Urban,Both sexes,21
2015,SD_MDP_MUHC,Italy,ALLAGE,All areas,Both sexes,29
2015,SD_MDP_MUHC,Italy,ALLAGE,All areas,Male,28
2016,SD_MDP_MUHC,Italy,ALLAGE,Rural,Both sexes,31
2016,SD_MDP_MUHC,Italy,ALLAGE,Urban,Both sexes,30
2016,SD_MDP_MUHC,Italy,ALLAGE,All areas,Female,31
2016,SD_MDP_MUHC,Spain,ALLAGE,All areas,Both sexes,28
2017,SD_MDP_MUHC,Spain,ALLAGE,All areas,Female,27
2017,SD_MDP_MUHC,Spain,<16Y,All areas,Both sexes,31
2017,SD_MDP_MUHC,Spain,ALLAGE,All areas,Both sexes,27
2017,SD_MDP_MUHC,Spain,ALLAGE,All areas,Male,26
2016,SD_MDP_MUHC,Costa Rica,ALLAGE,All areas,Female,24
2016,SD_MDP_MUHC,Costa Rica,ALLAGE,Urban,Both sexes,20
2017,SD_MDP_MUHC,Costa Rica,ALLAGE,All areas,Male,24
2017,SD_MDP_MUHC,Costa Rica,ALLAGE,Urban,Both sexes,18
2017,SD_MDP_MUHC,Costa Rica,ALLAGE,All areas,Both sexes,23
2017,SD_MDP_MUHC,Costa Rica,ALLAGE,Rural,Both sexes,36
2017,SD_MDP_MUHC,Costa Rica,<18Y,All areas,Both sexes,30
2017,SD_MDP_MUHC,Costa Rica,ALLAGE,All areas,Female,22
2018,SD_MDP_MUHC,Costa Rica,ALLAGE,Urban,Both sexes,19
2018,SD_MDP_MUHC,Costa Rica,ALLAGE,All areas,Female,23
2017,SD_MDP_MUHC,Spain,ALLAGE,Urban,Both sexes,25
2017,SD_MDP_MUHC,Spain,ALLAGE,Rural,Both sexes,31
2018,SD_MDP_MUHC,Spain,ALLAGE,All areas,Male,25
2018,SD_MDP_MUHC,Spain,ALLAGE,All areas,Both sexes,26
2018,SD_MDP_MUHC,Spain,<16Y,All areas,Both sexes,29
2018,SD_MDP_MUHC,Costa Rica,ALLAGE,Rural,Both sexes,36
2018,SD_MDP_MUHC,Costa Rica,ALLAGE,All areas,Male,25
2018,SD_MDP_MUHC,Costa Rica,<18Y,All areas,Both sexes,31
2018,SD_MDP_MUHC,Costa Rica,ALLAGE,All areas,Both sexes,24
2019,SD_MDP_MUHC,Costa Rica,<18Y,All areas,Both sexes,28
2018,SD_MDP_MUHC,Spain,ALLAGE,All areas,Female,27
2018,SD_MDP_MUHC,Spain,ALLAGE,Rural,Both sexes,31
2018,SD_MDP_MUHC,Spain,ALLAGE,Urban,Both sexes,24
2019,SD_MDP_MUHC,Spain,ALLAGE,Urban,Both sexes,24
2019,SD_MDP_MUHC,Spain,ALLAGE,All areas,Female,26
2011,SD_MDP_MUHC,Austria,ALLAGE,Rural,Both sexes,16
2011,SD_MDP_MUHC,Austria,<16Y,All areas,Both sexes,23
2011,SD_MDP_MUHC,Austria,ALLAGE,All areas,Both sexes,19
2012,SD_MDP_MUHC,Austria,ALLAGE,Urban,Both sexes,21
2012,SD_MDP_MUHC,Austria,ALLAGE,All areas,Both sexes,19
2019,SD_MDP_MUHC,Costa Rica,ALLAGE,All areas,Female,20
2019,SD_MDP_MUHC,Costa Rica,ALLAGE,All areas,Male,21
2019,SD_MDP_MUHC,Costa Rica,ALLAGE,Rural,Both sexes,31
2019,SD_MDP_MUHC,Costa Rica,ALLAGE,Urban,Both sexes,17
2019,SD_MDP_MUHC,Costa Rica,ALLAGE,All areas,Both sexes,21
2020,SD_MDP_MUHC,Costa Rica,ALLAGE,Rural,Both sexes,30
