Year,SeriesCode,GeoAreaName,Disability status,Grounds of discrimination,Location,Sex,Value
2015,VC_VOV_GDSD,Chile,_T,ALL,URBAN,BOTHSEX,12.6
2015,VC_VOV_GDSD,Chile,_T,ALL,RURAL,BOTHSEX,8.6
2015,VC_VOV_GDSD,Chile,_T,ALL,ALLAREA,MALE,10.5
2015,VC_VOV_GDSD,Chile,_T,ALL,ALLAREA,FEMALE,14.4
2015,VC_VOV_GDSD,Chile,_T,ALL,ALLAREA,BOTHSEX,12.1
2015,VC_VOV_GDSD,Chile,PWD,ALL,ALLAREA,BOTHSEX,11.4
2015,VC_VOV_GDSD,Chile,PD,ALL,ALLAREA,BOTHSEX,16.6
2017,VC_VOV_GDSD,Chile,_T,ALL,ALLAREA,MALE,9.8
2017,VC_VOV_GDSD,Chile,_T,ALL,RURAL,BOTHSEX,7.6
2017,VC_VOV_GDSD,Chile,_T,ALL,URBAN,BOTHSEX,11.7
2017,VC_VOV_GDSD,Chile,PWD,ALL,ALLAREA,BOTHSEX,10.5
2017,VC_VOV_GDSD,Chile,PD,ALL,ALLAREA,BOTHSEX,15.1
2017,VC_VOV_GDSD,Chile,_T,ALL,ALLAREA,FEMALE,13.1
2017,VC_VOV_GDSD,Chile,_T,ALL,ALLAREA,BOTHSEX,11.2
2021,VC_VOV_GDSD,Colombia,_T,RES,RURAL,BOTHSEX,1.6
2021,VC_VOV_GDSD,Colombia,_T,SOCIOECON,URBAN,BOTHSEX,2.4
2021,VC_VOV_GDSD,Colombia,_T,SOCIOECON,RURAL,BOTHSEX,1.9
2021,VC_VOV_GDSD,Colombia,_T,MIG,URBAN,BOTHSEX,0.5
2021,VC_VOV_GDSD,Colombia,_T,DISHEA,ALLAREA,MALE,2.8
2021,VC_VOV_GDSD,Colombia,_T,POLVIEW,ALLAREA,BOTHSEX,1.6
2021,VC_VOV_GDSD,Colombia,_T,POLVIEW,ALLAREA,MALE,2.0
2021,VC_VOV_GDSD,Colombia,_T,POLVIEW,ALLAREA,FEMALE,1.6
2021,VC_VOV_GDSD,Colombia,_T,SEX,ALLAREA,MALE,0.9
2021,VC_VOV_GDSD,Colombia,_T,SEX,ALLAREA,FEMALE,2.2
2021,VC_VOV_GDSD,Colombia,_T,RELIGION,ALLAREA,BOTHSEX,0.9
2021,VC_VOV_GDSD,Colombia,_T,OTHER,URBAN,BOTHSEX,1.8
2021,VC_VOV_GDSD,Colombia,_T,SEXOGENID,ALLAREA,MALE,0.7
2021,VC_VOV_GDSD,Colombia,_T,RELIGION,ALLAREA,FEMALE,1.2
2021,VC_VOV_GDSD,Colombia,_T,RELIGION,URBAN,BOTHSEX,1.0
2021,VC_VOV_GDSD,Colombia,_T,SOCIOECON,ALLAREA,BOTHSEX,2.3
2020,VC_VOV_GDSD,Bulgaria,_T,SEXOGENID,ALLAREA,MALE,0.02
2020,VC_VOV_GDSD,Bulgaria,_T,AGE,RURAL,BOTHSEX,2.19
2020,VC_VOV_GDSD,Bulgaria,PWD,AGE,ALLAREA,BOTHSEX,1.28
2020,VC_VOV_GDSD,Bulgaria,_T,ALL,RURAL,BOTHSEX,7.53
2020,VC_VOV_GDSD,Bulgaria,_T,SEX,ALLAREA,FEMALE,1.15
2020,VC_VOV_GDSD,Bulgaria,PD,SEX,ALLAREA,BOTHSEX,0.41
2014,VC_VOV_GDSD,Ireland,_T,FAM,ALLAREA,MALE,4.1
2014,VC_VOV_GDSD,Ireland,_T,DIS,ALLAREA,FEMALE,6.2
2014,VC_VOV_GDSD,Ireland,_T,MAR,ALLAREA,BOTHSEX,2.8
2014,VC_VOV_GDSD,Ireland,_T,SEX,ALLAREA,FEMALE,14.3
2014,VC_VOV_GDSD,Ireland,_T,OTHER,ALLAREA,MALE,42.9
2017,VC_VOV_GDSD,Mexico,_T,AGE,ALLAREA,FEMALE,5.2
2017,VC_VOV_GDSD,Mexico,_T,SOCIOECON,ALLAREA,MALE,4.0
2017,VC_VOV_GDSD,Mexico,_T,OTHER,ALLAREA,FEMALE,11.5
2017,VC_VOV_GDSD,Mexico,_T,RELIGION,ALLAREA,FEMALE,6.5
2017,VC_VOV_GDSD,Mexico,_T,GEO,ALLAREA,MALE,4.4
2014,VC_VOV_GDSD,Ireland,_T,ALL,ALLAREA,FEMALE,12.6
2014,VC_VOV_GDSD,Ireland,_T,ALL,ALLAREA,BOTHSEX,11.8
2014,VC_VOV_GDSD,Ireland,_T,AGE,ALLAREA,FEMALE,23.5
2014,VC_VOV_GDSD,Ireland,_T,FAM,ALLAREA,FEMALE,13.6
2014,VC_VOV_GDSD,Ireland,_T,MAR,ALLAREA,FEMALE,4.6
2020,VC_VOV_GDSD,Bulgaria,PWD,SEX,ALLAREA,BOTHSEX,0.69
2020,VC_VOV_GDSD,Bulgaria,_T,SEX,URBAN,BOTHSEX,0.8
2020,VC_VOV_GDSD,Bulgaria,PD,DISHEA,ALLAREA,BOTHSEX,1.37
2020,VC_VOV_GDSD,Bulgaria,_T,ETHCOLLAN,RURAL,BOTHSEX,2.74
2020,VC_VOV_GDSD,Bulgaria,PWD,DISHEA,ALLAREA,BOTHSEX,0.04
2020,VC_VOV_GDSD,Bulgaria,_T,DISHEA,URBAN,BOTHSEX,0.34
2014,VC_VOV_GDSD,Ireland,_T,ALL,ALLAREA,MALE,11.0
2014,VC_VOV_GDSD,Ireland,_T,DIS,ALLAREA,MALE,5.7
2014,VC_VOV_GDSD,Ireland,_T,ETHCOLLANNAL,ALLAREA,BOTHSEX,21.3
2014,VC_VOV_GDSD,Ireland,_T,AGE,ALLAREA,MALE,25.0
2014,VC_VOV_GDSD,Ireland,PWD,ALL,ALLAREA,BOTHSEX,11.1
2020,VC_VOV_GDSD,Bulgaria,_T,DISHEA,RURAL,BOTHSEX,0.43
2020,VC_VOV_GDSD,Bulgaria,PD,SEXOGENID,ALLAREA,BOTHSEX,0.02
2020,VC_VOV_GDSD,Bulgaria,_T,RELIGION,ALLAREA,MALE,0.29
2020,VC_VOV_GDSD,Bulgaria,_T,RELIGION,ALLAREA,FEMALE,0.34
2020,VC_VOV_GDSD,Bulgaria,PD,RELIGION,ALLAREA,BOTHSEX,0.23
2020,VC_VOV_GDSD,Bulgaria,PWD,RELIGION,ALLAREA,BOTHSEX,0.35
2014,VC_VOV_GDSD,Ireland,_T,DIS,ALLAREA,BOTHSEX,6.0
2014,VC_VOV_GDSD,Ireland,PD,ALL,ALLAREA,BOTHSEX,16.4
2014,VC_VOV_GDSD,Ireland,_T,SEX,ALLAREA,MALE,3.4
2014,VC_VOV_GDSD,Ireland,_T,FAM,ALLAREA,BOTHSEX,9.3
2014,VC_VOV_GDSD,Ireland,_T,ETHCOLLANNAL,ALLAREA,MALE,26.4
2014,VC_VOV_GDSD,Ireland,_T,MAR,ALLAREA,MALE,0.7
2014,VC_VOV_GDSD,Ireland,_T,OTHER,ALLAREA,FEMALE,38.9
2014,VC_VOV_GDSD,Ireland,_T,SEX,ALLAREA,BOTHSEX,9.3
2014,VC_VOV_GDSD,Ireland,_T,OTHER,ALLAREA,BOTHSEX,40.7
2014,VC_VOV_GDSD,Ireland,_T,ETHCOLLANNAL,ALLAREA,FEMALE,17.1
2020,VC_VOV_GDSD,Bulgaria,_T,SEXOGENID,ALLAREA,BOTHSEX,0.1
2020,VC_VOV_GDSD,Bulgaria,_T,OTHER,ALLAREA,MALE,2.34
2020,VC_VOV_GDSD,Bulgaria,_T,OTHER,ALLAREA,FEMALE,1.58
2020,VC_VOV_GDSD,Bulgaria,PD,OTHER,ALLAREA,BOTHSEX,1.95
2020,VC_VOV_GDSD,Bulgaria,PWD,OTHER,ALLAREA,BOTHSEX,1.63
2020,VC_VOV_GDSD,Bulgaria,_T,ALL,ALLAREA,BOTHSEX,7.34
2021,VC_VOV_GDSD,Colombia,_T,SOCIOECON,ALLAREA,MALE,2.2
2021,VC_VOV_GDSD,Colombia,_T,SOCIOECON,ALLAREA,FEMALE,2.5
2021,VC_VOV_GDSD,Colombia,_T,DISHEA,RURAL,BOTHSEX,2.3
2021,VC_VOV_GDSD,Colombia,_T,ETHCOLLAN,ALLAREA,BOTHSEX,1.1
2021,VC_VOV_GDSD,Colombia,_T,ETHCOLLAN,ALLAREA,MALE,1.1
2014,VC_VOV_GDSD,Ireland,_T,AGE,ALLAREA,BOTHSEX,24.2
2019,VC_VOV_GDSD,Ireland,_T,DIS,ALLAREA,MALE,4.8
2019,VC_VOV_GDSD,Ireland,_T,OTHER,ALLAREA,MALE,32.9
2019,VC_VOV_GDSD,Ireland,_T,SEXO,ALLAREA,FEMALE,8.8
2019,VC_VOV_GDSD,Ireland,_T,ETHCOLLANNAL,ALLAREA,FEMALE,16.0
2021,VC_VOV_GDSD,Colombia,_T,RES,ALLAREA,BOTHSEX,1.7
2021,VC_VOV_GDSD,Colombia,_T,RES,ALLAREA,MALE,1.6
2021,VC_VOV_GDSD,Colombia,_T,MIG,ALLAREA,FEMALE,0.5
2021,VC_VOV_GDSD,Colombia,_T,DISHEA,URBAN,BOTHSEX,2.8
2021,VC_VOV_GDSD,Colombia,_T,ETHCOLLAN,ALLAREA,FEMALE,1.0
2021,VC_VOV_GDSD,Colombia,_T,ETHCOLLAN,URBAN,BOTHSEX,1.1
2021,VC_VOV_GDSD,Colombia,_T,ETHCOLLAN,RURAL,BOTHSEX,1.3
2021,VC_VOV_GDSD,Colombia,_T,MIG,ALLAREA,BOTHSEX,0.5
2021,VC_VOV_GDSD,Colombia,_T,MIG,ALLAREA,MALE,0.5
2021,VC_VOV_GDSD,Colombia,_T,MARFAM,ALLAREA,FEMALE,0.8
2020,VC_VOV_GDSD,Bulgaria,_T,ALL,ALLAREA,MALE,7.59
2020,VC_VOV_GDSD,Bulgaria,_T,ALL,ALLAREA,FEMALE,7.11
2020,VC_VOV_GDSD,Bulgaria,PD,ALL,ALLAREA,BOTHSEX,8.93
2020,VC_VOV_GDSD,Bulgaria,PWD,ALL,ALLAREA,BOTHSEX,6.31
2020,VC_VOV_GDSD,Bulgaria,_T,ALL,URBAN,BOTHSEX,7.28
2020,VC_VOV_GDSD,Bulgaria,_T,AGE,URBAN,BOTHSEX,1.8
2019,VC_VOV_GDSD,Ireland,_T,ETHCOLLANNAL,ALLAREA,BOTHSEX,21.9
2019,VC_VOV_GDSD,Ireland,_T,FAM,ALLAREA,BOTHSEX,11.7
2019,VC_VOV_GDSD,Ireland,_T,DIS,ALLAREA,FEMALE,5.0
2019,VC_VOV_GDSD,Ireland,_T,DIS,ALLAREA,BOTHSEX,4.9
2019,VC_VOV_GDSD,Ireland,_T,AGE,ALLAREA,FEMALE,34.1
2021,VC_VOV_GDSD,Colombia,_T,MARFAM,URBAN,BOTHSEX,0.6
2021,VC_VOV_GDSD,Colombia,_T,OTHER,RURAL,BOTHSEX,1.6
2021,VC_VOV_GDSD,Colombia,_T,MIG,RURAL,BOTHSEX,0.3
2021,VC_VOV_GDSD,Colombia,_T,RELIGION,RURAL,BOTHSEX,0.6
2021,VC_VOV_GDSD,Colombia,_T,MARFAM,ALLAREA,BOTHSEX,0.6
2020,VC_VOV_GDSD,Bulgaria,_T,SEX,RURAL,BOTHSEX,0.77
2020,VC_VOV_GDSD,Bulgaria,_T,SEX,ALLAREA,BOTHSEX,0.79
2020,VC_VOV_GDSD,Bulgaria,_T,AGE,ALLAREA,MALE,1.76
2020,VC_VOV_GDSD,Bulgaria,_T,AGE,ALLAREA,FEMALE,2.03
2020,VC_VOV_GDSD,Bulgaria,PD,AGE,ALLAREA,BOTHSEX,3.55
2020,VC_VOV_GDSD,Bulgaria,_T,SEX,ALLAREA,MALE,0.41
2019,VC_VOV_GDSD,Ireland,_T,SEXO,ALLAREA,MALE,9.5
2019,VC_VOV_GDSD,Ireland,_T,MAR,ALLAREA,BOTHSEX,5.0
2019,VC_VOV_GDSD,Ireland,_T,AGE,ALLAREA,MALE,34.2
2019,VC_VOV_GDSD,Ireland,PD,ALL,ALLAREA,BOTHSEX,24.1
2019,VC_VOV_GDSD,Ireland,_T,ALL,ALLAREA,MALE,16.6
2019,VC_VOV_GDSD,Ireland,_T,ALL,ALLAREA,FEMALE,18.8
2019,VC_VOV_GDSD,Ireland,_T,AGE,ALLAREA,BOTHSEX,34.1
2019,VC_VOV_GDSD,Ireland,_T,ALL,ALLAREA,BOTHSEX,17.7
2019,VC_VOV_GDSD,Ireland,_T,SEX,ALLAREA,MALE,7.8
2019,VC_VOV_GDSD,Ireland,_T,SEXO,ALLAREA,BOTHSEX,9.1
2021,VC_VOV_GDSD,Colombia,_T,MARFAM,ALLAREA,MALE,0.4
2021,VC_VOV_GDSD,Colombia,_T,MARFAM,RURAL,BOTHSEX,0.5
2021,VC_VOV_GDSD,Colombia,_T,SEXOGENID,ALLAREA,FEMALE,0.4
2021,VC_VOV_GDSD,Colombia,_T,OTHER,ALLAREA,FEMALE,1.9
2021,VC_VOV_GDSD,Colombia,_T,SEXOGENID,URBAN,BOTHSEX,0.5
2021,VC_VOV_GDSD,Colombia,_T,SEXOGENID,RURAL,BOTHSEX,0.3
