Year,SeriesCode,GeoAreaName,Age,Disability status,Location,Population Group,Quantile,Service Attribute,Sex,Value
2022,"SP_PSR_SATIS_HLTH","Mexico","<25Y","_T","ALLAREA","TOTAL","","AVERAGE","BOTHSEX",70
2022,"SP_PSR_SATIS_HLTH","Mexico","<25Y","_T","ALLAREA","TOTAL","","ATTITUDE","BOTHSEX",87
2022,"SP_PSR_SATIS_HLTH","Mexico","<25Y","_T","ALLAREA","TOTAL","","QUALITY","BOTHSEX",77
2022,"SP_PSR_SATIS_HLTH","Mexico","<25Y","_T","ALLAREA","TOTAL","","AFFORD","BOTHSEX",59
2022,"SP_PSR_SATIS_HLTH","Mexico","35-44","_T","ALLAREA","TOTAL","","ATTITUDE","BOTHSEX",82
2022,"SP_PSR_SATIS_HLTH","Mexico","45-54","_T","ALLAREA","TOTAL","","ATTITUDE","BOTHSEX",84
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","URBAN","TOTAL","","AFFORD","BOTHSEX",58
2022,"SP_PSR_SATIS_HLTH","Mexico","45-54","_T","ALLAREA","TOTAL","","AVERAGE","BOTHSEX",73
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","QUALITY","MALE",94
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","EQUALITY","MALE",90
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","ATTITUDE","MALE",92
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","AVERAGE","MALE",91
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","ACCESS","MALE",89
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","QUALITY","BOTHSEX",94
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","EQUALITY","BOTHSEX",89
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","RURAL","TOTAL","","EQUALITY","BOTHSEX",94
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","RURAL","TOTAL","","ATTITUDE","BOTHSEX",97
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","URBAN","TOTAL","","AVERAGE","BOTHSEX",90
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","QUALITY","FEMALE",94
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","EQUALITY","FEMALE",88
