Year,Metric,GeoAreaName,Value
2021,Government Effectiveness,Albania,-0.003363639
2020,Government Effectiveness,Albania,-0.124956653
2019,Government Effectiveness,Albania,-0.033333246
2018,Government Effectiveness,Albania,0.110513411
2017,Government Effectiveness,Albania,0.12872985
2016,Government Effectiveness,Albania,0.059715111
2015,Government Effectiveness,Albania,0.059288189
2014,Government Effectiveness,Albania,-0.048802413
2013,Government Effectiveness,Albania,-0.323595732
2012,Government Effectiveness,Albania,-0.267875999
2011,Government Effectiveness,Albania,-0.200375155
2010,Government Effectiveness,Albania,-0.278687119
2009,Government Effectiveness,Albania,-0.254886448
2008,Government Effectiveness,Albania,-0.370871335
2007,Government Effectiveness,Albania,-0.431428492
2006,Government Effectiveness,Albania,-0.586620808
2005,Government Effectiveness,Albania,-0.704830587
2004,Government Effectiveness,Albania,-0.40906176
2003,Government Effectiveness,Albania,-0.569067299
2002,Government Effectiveness,Albania,-0.624333382
2000,Government Effectiveness,Albania,-0.917780161
1998,Government Effectiveness,Albania,-0.732602537
1996,Government Effectiveness,Albania,-0.688587904
2021,Government Effectiveness,Armenia,-0.249556035
2020,Government Effectiveness,Armenia,-0.274477035
2019,Government Effectiveness,Armenia,-0.197479233
2018,Government Effectiveness,Armenia,-0.141409367
2017,Government Effectiveness,Armenia,-0.215339452
2016,Government Effectiveness,Armenia,-0.275093079
2015,Government Effectiveness,Armenia,-0.276716083
2014,Government Effectiveness,Armenia,-0.251768827
2013,Government Effectiveness,Armenia,0.085326582
2012,Government Effectiveness,Armenia,-0.026902404
2011,Government Effectiveness,Armenia,-0.10899628
2010,Government Effectiveness,Armenia,-0.16639477
2009,Government Effectiveness,Armenia,-0.019941108
2008,Government Effectiveness,Armenia,-0.170738295
2007,Government Effectiveness,Armenia,-0.377753705
2006,Government Effectiveness,Armenia,-0.261045575
2005,Government Effectiveness,Armenia,-0.139261931
2004,Government Effectiveness,Armenia,-0.108692862
2003,Government Effectiveness,Armenia,-0.19081755
2002,Government Effectiveness,Armenia,-0.045769267
2000,Government Effectiveness,Armenia,-0.546417594
1998,Government Effectiveness,Armenia,-0.546766698
1996,Government Effectiveness,Armenia,-0.380564451
2021,Government Effectiveness,Austria,1.570008159
2020,Government Effectiveness,Austria,1.645901203
2019,Government Effectiveness,Austria,1.521145463
2018,Government Effectiveness,Austria,1.48801589
2017,Government Effectiveness,Austria,1.499537706
2016,Government Effectiveness,Austria,1.504635811
2015,Government Effectiveness,Austria,1.477876067
2014,Government Effectiveness,Austria,1.553547144
2013,Government Effectiveness,Austria,1.571748018
2012,Government Effectiveness,Austria,1.559877157
2011,Government Effectiveness,Austria,1.602670074
2010,Government Effectiveness,Austria,1.812320471
2009,Government Effectiveness,Austria,1.662537932
2008,Government Effectiveness,Austria,1.771052599
2007,Government Effectiveness,Austria,1.862879634
2006,Government Effectiveness,Austria,1.826991677
