Year,Metric,GeoAreaName,Value
2021,Rule of Law,Albania,-0.256100863
2020,Rule of Law,Albania,-0.349165231
2019,Rule of Law,Albania,-0.402843326
2018,Rule of Law,Albania,-0.395619303
2017,Rule of Law,Albania,-0.395079285
2016,Rule of Law,Albania,-0.304018438
2015,Rule of Law,Albania,-0.298862904
2014,Rule of Law,Albania,-0.310979843
2013,Rule of Law,Albania,-0.518606007
2012,Rule of Law,Albania,-0.519839764
2011,Rule of Law,Albania,-0.442926466
2010,Rule of Law,Albania,-0.385760486
2009,Rule of Law,Albania,-0.494370162
2008,Rule of Law,Albania,-0.600079298
2007,Rule of Law,Albania,-0.661545992
2006,Rule of Law,Albania,-0.703135848
2005,Rule of Law,Albania,-0.763833165
2004,Rule of Law,Albania,-0.701032341
2003,Rule of Law,Albania,-0.716323495
2002,Rule of Law,Albania,-0.762321413
2000,Rule of Law,Albania,-1.020667672
1998,Rule of Law,Albania,-0.929671705
1996,Rule of Law,Albania,-0.6844818
2021,Rule of Law,Armenia,-0.095904246
2020,Rule of Law,Armenia,-0.104187101
2019,Rule of Law,Armenia,-0.157182589
2018,Rule of Law,Armenia,-0.178264081
2017,Rule of Law,Armenia,-0.191404387
2016,Rule of Law,Armenia,-0.143536806
2015,Rule of Law,Armenia,-0.445906013
2014,Rule of Law,Armenia,-0.417796254
2013,Rule of Law,Armenia,-0.340971231
2012,Rule of Law,Armenia,-0.418281972
2011,Rule of Law,Armenia,-0.437706411
2010,Rule of Law,Armenia,-0.48135832
2009,Rule of Law,Armenia,-0.468710691
2008,Rule of Law,Armenia,-0.337751359
2007,Rule of Law,Armenia,-0.496518046
2006,Rule of Law,Armenia,-0.544567347
2005,Rule of Law,Armenia,-0.388776749
2004,Rule of Law,Armenia,-0.481950611
2003,Rule of Law,Armenia,-0.302864641
2002,Rule of Law,Armenia,-0.438531369
2000,Rule of Law,Armenia,-0.501016259
1998,Rule of Law,Armenia,-0.380856782
1996,Rule of Law,Armenia,-0.469098508
2021,Rule of Law,Austria,1.788035512
2020,Rule of Law,Austria,1.801011682
2019,Rule of Law,Austria,1.895342708
2018,Rule of Law,Austria,1.886325002
2017,Rule of Law,Austria,1.830876589
2016,Rule of Law,Austria,1.790404201
2015,Rule of Law,Austria,1.842692971
2014,Rule of Law,Austria,1.938500404
2013,Rule of Law,Austria,1.834038258
2012,Rule of Law,Austria,1.857123733
2011,Rule of Law,Austria,1.79896307
2010,Rule of Law,Austria,1.801202655
2009,Rule of Law,Austria,1.777442694
2008,Rule of Law,Austria,1.910698891
2007,Rule of Law,Austria,1.941825628
2006,Rule of Law,Austria,1.899768829
2005,Rule of Law,Austria,1.847249508
2004,Rule of Law,Austria,1.816664338
2003,Rule of Law,Austria,1.847917438
2002,Rule of Law,Austria,1.85791266
2000,Rule of Law,Austria,1.81233263
1998,Rule of Law,Austria,1.803287983
1996,Rule of Law,Austria,1.808153033
2021,Rule of Law,Azerbaijan,-0.584836721
2020,Rule of Law,Azerbaijan,-0.716367126
2019,Rule of Law,Azerbaijan,-0.591070116
2018,Rule of Law,Azerbaijan,-0.603016794
