Year,SeriesCode,GeoAreaName,Level/Status,Value
2017,"ER_H2O_IWRMD_EE","Albania","_T",40
2020,"ER_H2O_IWRMD_EE","Albania","_T",49
2017,"ER_H2O_IWRMD_EE","Azerbaijan","_T",55
2020,"ER_H2O_IWRMD_EE","Azerbaijan","_T",66
2017,"ER_H2O_IWRMD_EE","Australia","_T",83
2020,"ER_H2O_IWRMD_EE","Australia","_T",85
2017,"ER_H2O_IWRMD_EE","Austria","_T",100
2020,"ER_H2O_IWRMD_EE","Austria","_T",92
2017,"ER_H2O_IWRMD_EE","Armenia","_T",42
2020,"ER_H2O_IWRMD_EE","Armenia","_T",61
2017,"ER_H2O_IWRMD_EE","Belgium","_T",83
2020,"ER_H2O_IWRMD_EE","Belgium","_T",83
2017,"ER_H2O_IWRMD_EE","Bosnia and Herzegovina","_T",66
2020,"ER_H2O_IWRMD_EE","Bosnia and Herzegovina","_T",60
2017,"ER_H2O_IWRMD_EE","Bulgaria","_T",62
2020,"ER_H2O_IWRMD_EE","Bulgaria","_T",77
2017,"ER_H2O_IWRMD_EE","Belarus","_T",36
2020,"ER_H2O_IWRMD_EE","Belarus","_T",50
2020,"ER_H2O_IWRMD_EE","Canada","_T",0
2017,"ER_H2O_IWRMD_EE","Chile","_T",18
2020,"ER_H2O_IWRMD_EE","Chile","_T",19
2017,"ER_H2O_IWRMD_EE","China","_T",75
2020,"ER_H2O_IWRMD_EE","China","_T",83
2017,"ER_H2O_IWRMD_EE","Colombia","_T",55
2020,"ER_H2O_IWRMD_EE","Colombia","_T",57
2017,"ER_H2O_IWRMD_EE","Costa Rica","_T",30
2020,"ER_H2O_IWRMD_EE","Costa Rica","_T",49
2017,"ER_H2O_IWRMD_EE","Croatia","_T",97
2020,"ER_H2O_IWRMD_EE","Croatia","_T",97
2017,"ER_H2O_IWRMD_EE","Cyprus","_T",100
2020,"ER_H2O_IWRMD_EE","Cyprus","_T",97
2017,"ER_H2O_IWRMD_EE","Czechia","_T",88
2020,"ER_H2O_IWRMD_EE","Czechia","_T",87
2017,"ER_H2O_IWRMD_EE","Denmark","_T",92
2020,"ER_H2O_IWRMD_EE","Denmark","_T",94
2017,"ER_H2O_IWRMD_EE","Estonia","_T",83
2020,"ER_H2O_IWRMD_EE","Estonia","_T",91
2017,"ER_H2O_IWRMD_EE","Finland","_T",88
2020,"ER_H2O_IWRMD_EE","Finland","_T",88
2017,"ER_H2O_IWRMD_EE","France","_T",100
2020,"ER_H2O_IWRMD_EE","France","_T",100
2017,"ER_H2O_IWRMD_EE","Georgia","_T",36
2020,"ER_H2O_IWRMD_EE","Georgia","_T",42
2017,"ER_H2O_IWRMD_EE","Germany","_T",96
2020,"ER_H2O_IWRMD_EE","Germany","_T",94
2017,"ER_H2O_IWRMD_EE","Greece","_T",87
2020,"ER_H2O_IWRMD_EE","Greece","_T",97
2017,"ER_H2O_IWRMD_EE","Hungary","_T",77
2020,"ER_H2O_IWRMD_EE","Hungary","_T",80
2017,"ER_H2O_IWRMD_EE","Iceland","_T",28
2020,"ER_H2O_IWRMD_EE","Iceland","_T",55
2020,"ER_H2O_IWRMD_EE","India","_T",41
2017,"ER_H2O_IWRMD_EE","Ireland","_T",80
2020,"ER_H2O_IWRMD_EE","Ireland","_T",81
2017,"ER_H2O_IWRMD_EE","Israel","_T",83
2020,"ER_H2O_IWRMD_EE","Israel","_T",82
2017,"ER_H2O_IWRMD_EE","Italy","_T",60
2020,"ER_H2O_IWRMD_EE","Italy","_T",89
2017,"ER_H2O_IWRMD_EE","Japan","_T",100
2020,"ER_H2O_IWRMD_EE","Japan","_T",100
2017,"ER_H2O_IWRMD_EE","Kazakhstan","_T",29
2020,"ER_H2O_IWRMD_EE","Kazakhstan","_T",37
2017,"ER_H2O_IWRMD_EE","Republic of Korea","_T",44
2020,"ER_H2O_IWRMD_EE","Republic of Korea","_T",71
2020,"ER_H2O_IWRMD_EE","Kyrgyzstan","_T",27
2017,"ER_H2O_IWRMD_EE","Latvia","_T",72
2020,"ER_H2O_IWRMD_EE","Latvia","_T",58
2017,"ER_H2O_IWRMD_EE","Liechtenstein","_T",68
2020,"ER_H2O_IWRMD_EE","Liechtenstein","_T",77
2017,"ER_H2O_IWRMD_EE","Lithuania","_T",64
2020,"ER_H2O_IWRMD_EE","Lithuania","_T",68
2017,"ER_H2O_IWRMD_EE","Luxembourg","_T",88
2020,"ER_H2O_IWRMD_EE","Luxembourg","_T",84
2017,"ER_H2O_IWRMD_EE","Malta","_T",87
2020,"ER_H2O_IWRMD_EE","Malta","_T",88
2017,"ER_H2O_IWRMD_EE","Mexico","_T",66
2020,"ER_H2O_IWRMD_EE","Mexico","_T",49
2017,"ER_H2O_IWRMD_EE","Republic of Moldova","_T",43
2020,"ER_H2O_IWRMD_EE","Republic of Moldova","_T",57
2017,"ER_H2O_IWRMD_EE","Montenegro","_T",50
2020,"ER_H2O_IWRMD_EE","Montenegro","_T",54
2017,"ER_H2O_IWRMD_EE","Netherlands (Kingdom of the)","_T",95
2020,"ER_H2O_IWRMD_EE","Netherlands (Kingdom of the)","_T",94
2017,"ER_H2O_IWRMD_EE","New Zealand","_T",66
2020,"ER_H2O_IWRMD_EE","New Zealand","_T",72
2017,"ER_H2O_IWRMD_EE","Norway","_T",58
2020,"ER_H2O_IWRMD_EE","Norway","_T",64
2017,"ER_H2O_IWRMD_EE","Poland","_T",50
2020,"ER_H2O_IWRMD_EE","Poland","_T",80
2017,"ER_H2O_IWRMD_EE","Portugal","_T",76
2020,"ER_H2O_IWRMD_EE","Portugal","_T",76
2017,"ER_H2O_IWRMD_EE","Romania","_T",96
2020,"ER_H2O_IWRMD_EE","Romania","_T",92
2017,"ER_H2O_IWRMD_EE","Serbia","_T",33
2020,"ER_H2O_IWRMD_EE","Serbia","_T",37
2017,"ER_H2O_IWRMD_EE","Slovakia","_T",68
2020,"ER_H2O_IWRMD_EE","Slovakia","_T",64
2017,"ER_H2O_IWRMD_EE","Viet Nam","_T",47
2020,"ER_H2O_IWRMD_EE","Viet Nam","_T",60
2017,"ER_H2O_IWRMD_EE","Slovenia","_T",58
2020,"ER_H2O_IWRMD_EE","Slovenia","_T",87
2017,"ER_H2O_IWRMD_EE","Spain","_T",93
2020,"ER_H2O_IWRMD_EE","Spain","_T",94
2017,"ER_H2O_IWRMD_EE","Sweden","_T",76
2020,"ER_H2O_IWRMD_EE","Sweden","_T",81
2017,"ER_H2O_IWRMD_EE","Switzerland","_T",71
2020,"ER_H2O_IWRMD_EE","Switzerland","_T",71
2020,"ER_H2O_IWRMD_EE","Tajikistan","_T",49
2017,"ER_H2O_IWRMD_EE","United Arab Emirates","_T",59
2020,"ER_H2O_IWRMD_EE","United Arab Emirates","_T",69
2017,"ER_H2O_IWRMD_EE","Türkiye","_T",75
2020,"ER_H2O_IWRMD_EE","Türkiye","_T",78
2020,"ER_H2O_IWRMD_EE","Turkmenistan","_T",63
2017,"ER_H2O_IWRMD_EE","Ukraine","_T",35
2020,"ER_H2O_IWRMD_EE","Ukraine","_T",35
2017,"ER_H2O_IWRMD_EE","North Macedonia","_T",27
2020,"ER_H2O_IWRMD_EE","North Macedonia","_T",35
2017,"ER_H2O_IWRMD_EE","United Kingdom of Great Britain and Northern Ireland","_T",83
2020,"ER_H2O_IWRMD_EE","United Kingdom of Great Britain and Northern Ireland","_T",86
2017,"ER_H2O_IWRMD_EE","Uzbekistan","_T",38
2020,"ER_H2O_IWRMD_EE","Uzbekistan","_T",41
2020,"ER_H2O_IWRMD_EE","Uzbekistan","_T",41
