Year,SeriesCode,GeoAreaName,Age,Type of skill,Value
2012,"SE_TOT_SESPI_FS","Australia","16-65","NUME",0.81758
2012,"SE_TOT_SESPI_FS","Australia","16-65","LITE",0.88049
2012,"SE_TOT_SESPI_FS","Austria","16-65","NUME",0.81646
2012,"SE_TOT_SESPI_FS","Austria","16-65","LITE",0.78404
2012,"SE_TOT_SESPI_FS","Belgium","16-65","NUME",0.85629
2012,"SE_TOT_SESPI_FS","Belgium","16-65","LITE",0.84908
2012,"SE_TOT_SESPI_FS","Canada","16-65","LITE",0.79517
2012,"SE_TOT_SESPI_FS","Canada","16-65","NUME",0.74065
2015,"SE_TOT_SESPI_FS","Chile","16-65","LITE",0.42831
2015,"SE_TOT_SESPI_FS","Chile","16-65","NUME",0.3408
2012,"SE_TOT_SESPI_FS","Cyprus","16-65","LITE",0.89452
2012,"SE_TOT_SESPI_FS","Cyprus","16-65","NUME",0.83219
2012,"SE_TOT_SESPI_FS","Czechia","16-65","NUME",0.73423
2012,"SE_TOT_SESPI_FS","Czechia","16-65","LITE",0.80484
2012,"SE_TOT_SESPI_FS","Denmark","16-65","LITE",0.80032
2012,"SE_TOT_SESPI_FS","Denmark","16-65","NUME",0.84148
2012,"SE_TOT_SESPI_FS","Estonia","16-65","LITE",0.87278
2012,"SE_TOT_SESPI_FS","Estonia","16-65","NUME",0.86314
2012,"SE_TOT_SESPI_FS","Finland","16-65","NUME",0.87318
2012,"SE_TOT_SESPI_FS","Finland","16-65","LITE",0.87164
2012,"SE_TOT_SESPI_FS","France","16-65","LITE",0.7269
2012,"SE_TOT_SESPI_FS","France","16-65","NUME",0.66248
2012,"SE_TOT_SESPI_FS","Germany","16-65","LITE",0.66583
2012,"SE_TOT_SESPI_FS","Germany","16-65","NUME",0.63954
2015,"SE_TOT_SESPI_FS","Greece","16-65","NUME",0.77301
2015,"SE_TOT_SESPI_FS","Greece","16-65","LITE",0.75947
2017,"SE_TOT_SESPI_FS","Hungary","16-65","LITE",0.65413
2017,"SE_TOT_SESPI_FS","Hungary","16-65","NUME",0.672
2012,"SE_TOT_SESPI_FS","Ireland","16-65","LITE",0.81208
2012,"SE_TOT_SESPI_FS","Ireland","16-65","NUME",0.75263
2015,"SE_TOT_SESPI_FS","Israel","16-65","NUME",0.60102
2015,"SE_TOT_SESPI_FS","Israel","16-65","LITE",0.63613
2012,"SE_TOT_SESPI_FS","Italy","16-65","NUME",0.71319
2012,"SE_TOT_SESPI_FS","Italy","16-65","LITE",0.74607
2012,"SE_TOT_SESPI_FS","Japan","16-65","NUME",0.89392
2012,"SE_TOT_SESPI_FS","Japan","16-65","LITE",0.91202
2017,"SE_TOT_SESPI_FS","Kazakhstan","16-65","NUME",0.77269
2017,"SE_TOT_SESPI_FS","Kazakhstan","16-65","LITE",0.79664
2012,"SE_TOT_SESPI_FS","Republic of Korea","16-65","LITE",0.827
2012,"SE_TOT_SESPI_FS","Republic of Korea","16-65","NUME",0.76317
2015,"SE_TOT_SESPI_FS","Lithuania","16-65","LITE",0.82705
2015,"SE_TOT_SESPI_FS","Lithuania","16-65","NUME",0.77221
2017,"SE_TOT_SESPI_FS","Mexico","16-65","LITE",0.55836
2017,"SE_TOT_SESPI_FS","Mexico","16-65","NUME",0.49681
2012,"SE_TOT_SESPI_FS","Netherlands (Kingdom of the)","16-65","NUME",0.84289
2012,"SE_TOT_SESPI_FS","Netherlands (Kingdom of the)","16-65","LITE",0.84628
2014,"SE_TOT_SESPI_FS","New Zealand","16-65","LITE",0.8703
2014,"SE_TOT_SESPI_FS","New Zealand","16-65","NUME",0.81429
2012,"SE_TOT_SESPI_FS","Norway","16-65","LITE",0.83659
2012,"SE_TOT_SESPI_FS","Norway","16-65","NUME",0.82809
2012,"SE_TOT_SESPI_FS","Poland","16-65","NUME",0.68911
2012,"SE_TOT_SESPI_FS","Poland","16-65","LITE",0.72333
2012,"SE_TOT_SESPI_FS","Slovakia","16-65","LITE",0.78547
2012,"SE_TOT_SESPI_FS","Slovakia","16-65","NUME",0.73057
2015,"SE_TOT_SESPI_FS","Slovenia","16-65","NUME",0.62518
2015,"SE_TOT_SESPI_FS","Slovenia","16-65","LITE",0.65409
2012,"SE_TOT_SESPI_FS","Spain","16-65","NUME",0.71095
2012,"SE_TOT_SESPI_FS","Spain","16-65","LITE",0.74056
2012,"SE_TOT_SESPI_FS","Sweden","16-65","LITE",0.85152
2012,"SE_TOT_SESPI_FS","Sweden","16-65","NUME",0.86167
2015,"SE_TOT_SESPI_FS","Türkiye","16-65","LITE",0.59417
2015,"SE_TOT_SESPI_FS","Türkiye","16-65","NUME",0.55366
2012,"SE_TOT_SESPI_FS","United Kingdom of Great Britain and Northern Ireland","16-65","NUME",0.6747
2012,"SE_TOT_SESPI_FS","United Kingdom of Great Britain and Northern Ireland","16-65","LITE",0.77629
2012,"SE_TOT_SESPI_FS","United Kingdom of Great Britain and Northern Ireland","16-65","LITE",0.77629
