Year,SeriesCode,GeoAreaName,Age,Disability status,Population Group,Sex,Type of occupation,Value
2021,"SG_DMK_JDC_CNS","Austria","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.73
2022,"SG_DMK_JDC_CNS","Austria","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.74
2022,"SG_DMK_JDC_CNS","Austria","<45Y","_T","TOTAL","BOTHSEX","JUDGES",0.17
2021,"SG_DMK_JDC_CNS","Bosnia and Herzegovina","ALLAGE","_T","TOTAL","FEMALE","JUDGES",1.17
2020,"SG_DMK_JDC_CNS","Croatia","ALLAGE","_T","TOTAL","FEMALE","REGISTRARS",1.57
2020,"SG_DMK_JDC_CNS","Croatia","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.74
2021,"SG_DMK_JDC_CNS","Croatia","<45Y","_T","TOTAL","BOTHSEX","REGISTRARS",1.01
2021,"SG_DMK_JDC_CNS","Croatia","ALLAGE","_T","TOTAL","FEMALE","REGISTRARS",1.55
2021,"SG_DMK_JDC_CNS","Croatia","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.65
2020,"SG_DMK_JDC_CNS","Cyprus","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.92
2020,"SG_DMK_JDC_CNS","Cyprus","ALLAGE","_T","TOTAL","FEMALE","REGISTRARS",1.75
2021,"SG_DMK_JDC_CNS","Cyprus","<45Y","_T","TOTAL","BOTHSEX","REGISTRARS",1.84
2021,"SG_DMK_JDC_CNS","Cyprus","ALLAGE","_T","TOTAL","FEMALE","REGISTRARS",1.43
2021,"SG_DMK_JDC_CNS","Cyprus","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.92
2021,"SG_DMK_JDC_CNS","Czechia","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.46
2022,"SG_DMK_JDC_CNS","Czechia","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.45
2019,"SG_DMK_JDC_CNS","Denmark","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.71
2020,"SG_DMK_JDC_CNS","Denmark","<45Y","_T","TOTAL","BOTHSEX","JUDGES",0.7
2020,"SG_DMK_JDC_CNS","Denmark","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.62
2020,"SG_DMK_JDC_CNS","Estonia","ALLAGE","_T","TOTAL","FEMALE","REGISTRARS",1.24
2020,"SG_DMK_JDC_CNS","Estonia","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.53
2021,"SG_DMK_JDC_CNS","Estonia","<45Y","_T","TOTAL","BOTHSEX","JUDGES",0.4
2021,"SG_DMK_JDC_CNS","Estonia","<45Y","_T","TOTAL","BOTHSEX","REGISTRARS",1.4
2021,"SG_DMK_JDC_CNS","Estonia","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.53
2021,"SG_DMK_JDC_CNS","Estonia","ALLAGE","_T","TOTAL","FEMALE","REGISTRARS",1.16
2020,"SG_DMK_JDC_CNS","Finland","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.4
2020,"SG_DMK_JDC_CNS","Finland","ALLAGE","_T","TOTAL","FEMALE","REGISTRARS",1.21
2019,"SG_DMK_JDC_CNS","Germany","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.69
2021,"SG_DMK_JDC_CNS","Israel","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.62
2021,"SG_DMK_JDC_CNS","Israel","ALLAGE","_T","TOTAL","FEMALE","REGISTRARS",1
2022,"SG_DMK_JDC_CNS","Israel","ALLAGE","_T","TOTAL","FEMALE","REGISTRARS",2
2022,"SG_DMK_JDC_CNS","Israel","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.8
2022,"SG_DMK_JDC_CNS","Israel","ALLAGE","_T","POP_A","BOTHSEX","JUDGES",0.25
2022,"SG_DMK_JDC_CNS","Israel","<45Y","_T","TOTAL","BOTHSEX","REGISTRARS",3.03
2021,"SG_DMK_JDC_CNS","Kazakhstan","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.94
2021,"SG_DMK_JDC_CNS","Kazakhstan","ALLAGE","_T","TOTAL","FEMALE","REGISTRARS",1.41
2022,"SG_DMK_JDC_CNS","Kazakhstan","ALLAGE","_T","TOTAL","FEMALE","REGISTRARS",1.43
2022,"SG_DMK_JDC_CNS","Kazakhstan","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.95
2022,"SG_DMK_JDC_CNS","Kazakhstan","<45Y","_T","TOTAL","BOTHSEX","JUDGES",0.1
2022,"SG_DMK_JDC_CNS","Kazakhstan","<45Y","_T","TOTAL","BOTHSEX","REGISTRARS",1.26
2021,"SG_DMK_JDC_CNS","Latvia","<45Y","_T","TOTAL","BOTHSEX","REGISTRARS",1.78
2021,"SG_DMK_JDC_CNS","Latvia","<45Y","_T","TOTAL","BOTHSEX","JUDGES",0.27
2021,"SG_DMK_JDC_CNS","Latvia","ALLAGE","_T","TOTAL","FEMALE","REGISTRARS",1.72
2021,"SG_DMK_JDC_CNS","Latvia","ALLAGE","_T","TOTAL","FEMALE","JUDGES",1.3
2020,"SG_DMK_JDC_CNS","Liechtenstein","ALLAGE","_T","TOTAL","FEMALE","JUDGES",0.17
