Year,Metric,GeoAreaName,Value
2021,"Political Stability and Absence of Violence, Terrorism",Albania,0.109445848
2020,"Political Stability and Absence of Violence, Terrorism",Albania,0.087552309
2019,"Political Stability and Absence of Violence, Terrorism",Albania,0.11116863
2018,"Political Stability and Absence of Violence, Terrorism",Albania,0.370515645
2017,"Political Stability and Absence of Violence, Terrorism",Albania,0.378474772
2016,"Political Stability and Absence of Violence, Terrorism",Albania,0.344644666
2015,"Political Stability and Absence of Violence, Terrorism",Albania,0.34612906
2014,"Political Stability and Absence of Violence, Terrorism",Albania,0.485986233
2013,"Political Stability and Absence of Violence, Terrorism",Albania,0.091929786
2012,"Political Stability and Absence of Violence, Terrorism",Albania,-0.143631592
2011,"Political Stability and Absence of Violence, Terrorism",Albania,-0.282379419
2010,"Political Stability and Absence of Violence, Terrorism",Albania,-0.191482902
2009,"Political Stability and Absence of Violence, Terrorism",Albania,-0.045140512
2008,"Political Stability and Absence of Violence, Terrorism",Albania,-0.030500913
2007,"Political Stability and Absence of Violence, Terrorism",Albania,-0.203974649
2006,"Political Stability and Absence of Violence, Terrorism",Albania,-0.508157313
2005,"Political Stability and Absence of Violence, Terrorism",Albania,-0.505047977
2004,"Political Stability and Absence of Violence, Terrorism",Albania,-0.427259684
2003,"Political Stability and Absence of Violence, Terrorism",Albania,-0.30978024
2002,"Political Stability and Absence of Violence, Terrorism",Albania,-0.297719181
2000,"Political Stability and Absence of Violence, Terrorism",Albania,-0.539989591
1998,"Political Stability and Absence of Violence, Terrorism",Albania,-0.544004202
1996,"Political Stability and Absence of Violence, Terrorism",Albania,-0.336625129
2021,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.83559227
2020,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.760855317
2019,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.413424373
2018,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.444908142
2017,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.62077117
2016,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.662263811
2015,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.252332628
2014,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.2971358
2013,"Political Stability and Absence of Violence, Terrorism",Armenia,0.110385142
2012,"Political Stability and Absence of Violence, Terrorism",Armenia,0.154794976
2011,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.063868985
2010,"Political Stability and Absence of Violence, Terrorism",Armenia,0.071855329
2009,"Political Stability and Absence of Violence, Terrorism",Armenia,0.227863356
2008,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.006853028
2007,"Political Stability and Absence of Violence, Terrorism",Armenia,0.150905833
2006,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.26102376
2005,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.066335395
2004,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.116337486
2003,"Political Stability and Absence of Violence, Terrorism",Armenia,0.236966237
2002,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.255784124
2000,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.682867944
1998,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.662787318
1996,"Political Stability and Absence of Violence, Terrorism",Armenia,-0.364998609
2021,"Political Stability and Absence of Violence, Terrorism",Austria,0.914891124
2020,"Political Stability and Absence of Violence, Terrorism",Austria,0.912809432
2019,"Political Stability and Absence of Violence, Terrorism",Austria,0.916747928
2018,"Political Stability and Absence of Violence, Terrorism",Austria,0.902334034
2017,"Political Stability and Absence of Violence, Terrorism",Austria,1.046832561
2016,"Political Stability and Absence of Violence, Terrorism",Austria,0.909638762
2015,"Political Stability and Absence of Violence, Terrorism",Austria,1.143079281
2014,"Political Stability and Absence of Violence, Terrorism",Austria,1.270700455
2013,"Political Stability and Absence of Violence, Terrorism",Austria,1.364100575
2012,"Political Stability and Absence of Violence, Terrorism",Austria,1.340566874
2011,"Political Stability and Absence of Violence, Terrorism",Austria,1.193521619
2010,"Political Stability and Absence of Violence, Terrorism",Austria,1.152648211
2009,"Political Stability and Absence of Violence, Terrorism",Austria,1.190873981
2008,"Political Stability and Absence of Violence, Terrorism",Austria,1.339270592
2007,"Political Stability and Absence of Violence, Terrorism",Austria,1.284419298
2006,"Political Stability and Absence of Violence, Terrorism",Austria,1.07445085
2005,"Political Stability and Absence of Violence, Terrorism",Austria,1.103950024
2004,"Political Stability and Absence of Violence, Terrorism",Austria,1.0896492
2003,"Political Stability and Absence of Violence, Terrorism",Austria,0.962002456
2002,"Political Stability and Absence of Violence, Terrorism",Austria,1.358955383
2000,"Political Stability and Absence of Violence, Terrorism",Austria,0.822056413
1998,"Political Stability and Absence of Violence, Terrorism",Austria,1.110600591
1996,"Political Stability and Absence of Violence, Terrorism",Austria,1.410462856
2021,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.853478372
2020,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.839061499
2019,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.68591243
2018,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.70675981
2017,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.747919917
2016,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.803879082
2015,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.729565561
2014,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.559909523
2013,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.412859917
2012,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.715751827
2011,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.532135963
2010,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.238546923
2009,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.277853519
2008,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.330349982
2007,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.625996411
2006,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-1.092682362
2005,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-1.124819398
2004,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-1.059811115
2003,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.948100388
2002,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-1.185364962
2000,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.829794765
1998,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.702288449
1996,"Political Stability and Absence of Violence, Terrorism",Azerbaijan,-0.828929543
2021,"Political Stability and Absence of Violence, Terrorism",Belgium,0.612554729
