Year,SeriesCode,GeoAreaName,Education level,Location,Quantile,Sex,Value
2000,"SE_TOT_CPLR","Albania","PRIMAR","ALLAREA","_T","MALE",94
2000,"SE_TOT_CPLR","Albania","PRIMAR","ALLAREA","Q5","BOTHSEX",96
2000,"SE_TOT_CPLR","Albania","PRIMAR","ALLAREA","Q4","BOTHSEX",96
2000,"SE_TOT_CPLR","Albania","PRIMAR","ALLAREA","_T","FEMALE",96
2000,"SE_TOT_CPLR","Albania","PRIMAR","RURAL","_T","BOTHSEX",95
2000,"SE_TOT_CPLR","Albania","UPPSEC","ALLAREA","Q1","BOTHSEX",30
2000,"SE_TOT_CPLR","Albania","PRIMAR","ALLAREA","Q2","BOTHSEX",94
2000,"SE_TOT_CPLR","Albania","PRIMAR","ALLAREA","Q1","BOTHSEX",94
2000,"SE_TOT_CPLR","Albania","LOWSEC","ALLAREA","Q3","BOTHSEX",96
2000,"SE_TOT_CPLR","Albania","PRIMAR","ALLAREA","_T","BOTHSEX",95
2000,"SE_TOT_CPLR","Albania","PRIMAR","URBAN","_T","BOTHSEX",95
2000,"SE_TOT_CPLR","Albania","LOWSEC","ALLAREA","_T","BOTHSEX",93
2000,"SE_TOT_CPLR","Albania","LOWSEC","ALLAREA","Q4","BOTHSEX",97
2000,"SE_TOT_CPLR","Albania","UPPSEC","ALLAREA","_T","MALE",47
2000,"SE_TOT_CPLR","Albania","UPPSEC","RURAL","_T","BOTHSEX",36
2000,"SE_TOT_CPLR","Albania","UPPSEC","ALLAREA","Q5","BOTHSEX",60
2000,"SE_TOT_CPLR","Albania","UPPSEC","ALLAREA","Q4","BOTHSEX",69
2000,"SE_TOT_CPLR","Albania","UPPSEC","ALLAREA","Q3","BOTHSEX",41
2000,"SE_TOT_CPLR","Albania","UPPSEC","URBAN","_T","BOTHSEX",68
2000,"SE_TOT_CPLR","Albania","LOWSEC","ALLAREA","_T","MALE",93
2000,"SE_TOT_CPLR","Albania","LOWSEC","ALLAREA","Q2","BOTHSEX",90
2000,"SE_TOT_CPLR","Albania","PRIMAR","ALLAREA","Q3","BOTHSEX",97
2000,"SE_TOT_CPLR","Albania","LOWSEC","RURAL","_T","BOTHSEX",91
2000,"SE_TOT_CPLR","Albania","LOWSEC","ALLAREA","Q5","BOTHSEX",94
2000,"SE_TOT_CPLR","Albania","LOWSEC","ALLAREA","Q1","BOTHSEX",88
2000,"SE_TOT_CPLR","Albania","UPPSEC","ALLAREA","_T","BOTHSEX",47
2000,"SE_TOT_CPLR","Albania","UPPSEC","ALLAREA","Q2","BOTHSEX",37
2000,"SE_TOT_CPLR","Albania","UPPSEC","ALLAREA","_T","FEMALE",46
2000,"SE_TOT_CPLR","Albania","LOWSEC","ALLAREA","_T","FEMALE",93
2000,"SE_TOT_CPLR","Albania","LOWSEC","URBAN","_T","BOTHSEX",96
2001,"SE_TOT_CPLR","Albania","UPPSEC","ALLAREA","_T","BOTHSEX",43
2001,"SE_TOT_CPLR","Albania","LOWSEC","ALLAREA","_T","BOTHSEX",95
2001,"SE_TOT_CPLR","Albania","PRIMAR","ALLAREA","_T","BOTHSEX",96
2001,"SE_TOT_CPLR","Albania","LOWSEC","ALLAREA","_T","MALE",94
2001,"SE_TOT_CPLR","Albania","UPPSEC","ALLAREA","_T","MALE",43
2001,"SE_TOT_CPLR","Albania","PRIMAR","ALLAREA","_T","FEMALE",96
2001,"SE_TOT_CPLR","Albania","UPPSEC","ALLAREA","_T","FEMALE",43
2001,"SE_TOT_CPLR","Albania","PRIMAR","ALLAREA","_T","MALE",96
2001,"SE_TOT_CPLR","Albania","LOWSEC","ALLAREA","_T","FEMALE",95
2002,"SE_TOT_CPLR","Albania","LOWSEC","ALLAREA","_T","BOTHSEX",95
2002,"SE_TOT_CPLR","Albania","UPPSEC","ALLAREA","_T","BOTHSEX",43
2002,"SE_TOT_CPLR","Albania","UPPSEC","ALLAREA","_T","FEMALE",43
2002,"SE_TOT_CPLR","Albania","LOWSEC","ALLAREA","_T","FEMALE",95
2002,"SE_TOT_CPLR","Albania","PRIMAR","ALLAREA","_T","MALE",96
2002,"SE_TOT_CPLR","Albania","PRIMAR","ALLAREA","_T","FEMALE",97
2002,"SE_TOT_CPLR","Albania","UPPSEC","ALLAREA","_T","MALE",44
2002,"SE_TOT_CPLR","Albania","LOWSEC","ALLAREA","_T","MALE",94
