Year,SeriesCode,GeoAreaName,Age,Disability status,Education level,Location,Population Group,Quantile,Sex,Value
2022,"IU_DMK_ICRS","Colombia","<25Y","_T","_T","ALLAREA","TOTAL","","BOTHSEX",34.5
2022,"IU_DMK_ICRS","Colombia","25-34","_T","_T","ALLAREA","TOTAL","","BOTHSEX",34.4
2022,"IU_DMK_ICRS","Colombia","ALLAGE","_T","_T","ALLAREA","TOTAL","","MALE",37.7
2022,"IU_DMK_ICRS","Colombia","65+","_T","_T","ALLAREA","TOTAL","","BOTHSEX",42.2
2022,"IU_DMK_ICRS","Colombia","ALLAGE","_T","_T","ALLAREA","POP_C","","BOTHSEX",37.1
2022,"IU_DMK_ICRS","Colombia","ALLAGE","_T","_T","ALLAREA","POP_B","","BOTHSEX",36.7
2022,"IU_DMK_ICRS","Colombia","45-54","_T","_T","ALLAREA","TOTAL","","BOTHSEX",38
2022,"IU_DMK_ICRS","Colombia","ALLAGE","_T","_T","ALLAREA","TOTAL","","BOTHSEX",37
2022,"IU_DMK_ICRS","Colombia","ALLAGE","_T","_T","ALLAREA","POP_A","","BOTHSEX",35.7
2022,"IU_DMK_ICRS","Colombia","55-64","_T","_T","ALLAREA","TOTAL","","BOTHSEX",39
2022,"IU_DMK_ICRS","Colombia","ALLAGE","_T","_T","ALLAREA","TOTAL","","FEMALE",36.4
2022,"IU_DMK_ICRS","Colombia","35-44","_T","_T","ALLAREA","TOTAL","","BOTHSEX",36
2022,"IU_DMK_ICRS","Colombia","35-44","_T","_T","ALLAREA","TOTAL","","BOTHSEX",36
