Year,Metric,GeoAreaName,Value
2021,Voice and Accountability,Albania,0.091204971
2020,Voice and Accountability,Albania,0.088362463
2019,Voice and Accountability,Albania,0.142711371
2018,Voice and Accountability,Albania,0.180729449
2017,Voice and Accountability,Albania,0.203805894
2016,Voice and Accountability,Albania,0.170948684
2015,Voice and Accountability,Albania,0.157161772
2014,Voice and Accountability,Albania,0.1437774
2013,Voice and Accountability,Albania,0.048892591
2012,Voice and Accountability,Albania,0.022064038
2011,Voice and Accountability,Albania,0.062333763
2010,Voice and Accountability,Albania,0.123838224
2009,Voice and Accountability,Albania,0.141477332
2008,Voice and Accountability,Albania,0.174939081
2007,Voice and Accountability,Albania,0.113008469
2006,Voice and Accountability,Albania,0.07588996
2005,Voice and Accountability,Albania,0.003671788
2004,Voice and Accountability,Albania,0.007237499
2003,Voice and Accountability,Albania,0.070307687
2002,Voice and Accountability,Albania,-0.00815021
2000,Voice and Accountability,Albania,-0.285138667
1998,Voice and Accountability,Albania,-0.387372851
1996,Voice and Accountability,Albania,-0.648297846
2021,Voice and Accountability,Armenia,0.059204161
2020,Voice and Accountability,Armenia,0.049051914
2019,Voice and Accountability,Armenia,0.055480633
2018,Voice and Accountability,Armenia,-0.137946114
2017,Voice and Accountability,Armenia,-0.560795248
2016,Voice and Accountability,Armenia,-0.579242349
2015,Voice and Accountability,Armenia,-0.536284149
2014,Voice and Accountability,Armenia,-0.562072694
2013,Voice and Accountability,Armenia,-0.588030815
2012,Voice and Accountability,Armenia,-0.570491433
2011,Voice and Accountability,Armenia,-0.690779805
2010,Voice and Accountability,Armenia,-0.847521544
2009,Voice and Accountability,Armenia,-0.876420259
2008,Voice and Accountability,Armenia,-0.857629657
2007,Voice and Accountability,Armenia,-0.759377897
2006,Voice and Accountability,Armenia,-0.742222786
2005,Voice and Accountability,Armenia,-0.591363311
2004,Voice and Accountability,Armenia,-0.572165549
2003,Voice and Accountability,Armenia,-0.467406183
2002,Voice and Accountability,Armenia,-0.444421142
2000,Voice and Accountability,Armenia,-0.374595284
1998,Voice and Accountability,Armenia,-0.33551845
1996,Voice and Accountability,Armenia,-0.569909096
2021,Voice and Accountability,Austria,1.398566604
2020,Voice and Accountability,Austria,1.398653507
2019,Voice and Accountability,Austria,1.338748932
2018,Voice and Accountability,Austria,1.387732625
2017,Voice and Accountability,Austria,1.385915518
2016,Voice and Accountability,Austria,1.337476611
2015,Voice and Accountability,Austria,1.383552909
2014,Voice and Accountability,Austria,1.391349435
2013,Voice and Accountability,Austria,1.456567407
2012,Voice and Accountability,Austria,1.448773026
2011,Voice and Accountability,Austria,1.402443647
2010,Voice and Accountability,Austria,1.430290699
2009,Voice and Accountability,Austria,1.392844677
2008,Voice and Accountability,Austria,1.35846436
2007,Voice and Accountability,Austria,1.369262457
2006,Voice and Accountability,Austria,1.372684956
2005,Voice and Accountability,Austria,1.378656507
2004,Voice and Accountability,Austria,1.475651145
2003,Voice and Accountability,Austria,1.343882084
2002,Voice and Accountability,Austria,1.307496905
2000,Voice and Accountability,Austria,1.317559481
1998,Voice and Accountability,Austria,1.354778886
1996,Voice and Accountability,Austria,1.448950052
2021,Voice and Accountability,Azerbaijan,-1.530497551
2020,Voice and Accountability,Azerbaijan,-1.54236412
2019,Voice and Accountability,Azerbaijan,-1.529441476
2018,Voice and Accountability,Azerbaijan,-1.511327386
2017,Voice and Accountability,Azerbaijan,-1.563634515
2016,Voice and Accountability,Azerbaijan,-1.56097424
2015,Voice and Accountability,Azerbaijan,-1.552383304
2014,Voice and Accountability,Azerbaijan,-1.479175925
2013,Voice and Accountability,Azerbaijan,-1.402769327
2012,Voice and Accountability,Azerbaijan,-1.29948163
2011,Voice and Accountability,Azerbaijan,-1.301847577
2010,Voice and Accountability,Azerbaijan,-1.30459702
2009,Voice and Accountability,Azerbaijan,-1.259766698
2008,Voice and Accountability,Azerbaijan,-1.325132012
2007,Voice and Accountability,Azerbaijan,-1.233396649
2006,Voice and Accountability,Azerbaijan,-1.279161215
2005,Voice and Accountability,Azerbaijan,-1.124163508
2004,Voice and Accountability,Azerbaijan,-1.056702495
2003,Voice and Accountability,Azerbaijan,-1.044704556
2002,Voice and Accountability,Azerbaijan,-0.981288135
2000,Voice and Accountability,Azerbaijan,-0.90622896
1998,Voice and Accountability,Azerbaijan,-1.022841215
1996,Voice and Accountability,Azerbaijan,-1.121030688
2021,Voice and Accountability,Belgium,1.282708883
2020,Voice and Accountability,Belgium,1.282461047
2019,Voice and Accountability,Belgium,1.310198188
2018,Voice and Accountability,Belgium,1.318985224
2017,Voice and Accountability,Belgium,1.338485479
2016,Voice and Accountability,Belgium,1.37702024
2015,Voice and Accountability,Belgium,1.387459874
2014,Voice and Accountability,Belgium,1.366366982
2013,Voice and Accountability,Belgium,1.373045683
2012,Voice and Accountability,Belgium,1.349421859
2011,Voice and Accountability,Belgium,1.325163245
