Year,SeriesCode,GeoAreaName,Type of product,Value
2015,"AG_FPA_COMM","Israel","RIC",-0.1
2015,"AG_FPA_COMM","Israel","WHE",-0.2
2016,"AG_FPA_COMM","Israel","RIC",0.1
2016,"AG_FPA_COMM","Israel","MAZ",0.3
2016,"AG_FPA_COMM","Israel","WHE",-0.1
2017,"AG_FPA_COMM","Israel","WHE",0.3
2017,"AG_FPA_COMM","Israel","RIC",-0.1
2017,"AG_FPA_COMM","Israel","MAZ",0.1
2018,"AG_FPA_COMM","Israel","RIC",0.5
2018,"AG_FPA_COMM","Israel","MAZ",0.4
2018,"AG_FPA_COMM","Israel","WHE",0.6
2019,"AG_FPA_COMM","Israel","WHE",0.2
2019,"AG_FPA_COMM","Israel","RIC",0.1
2019,"AG_FPA_COMM","Israel","MAZ",0.1
2020,"AG_FPA_COMM","Israel","RIC",0.15
2020,"AG_FPA_COMM","Israel","WHE",0.5
2020,"AG_FPA_COMM","Israel","MAZ",0.23
2021,"AG_FPA_COMM","Israel","RIC",0.14
2021,"AG_FPA_COMM","Israel","WHE",0.44
2021,"AG_FPA_COMM","Israel","MAZ",1.38
2022,"AG_FPA_COMM","Israel","WHE",1.12
2022,"AG_FPA_COMM","Israel","RIC",0.03
2022,"AG_FPA_COMM","Israel","MAZ",0.91
2015,"AG_FPA_COMM","Italy","MAZ",-0.2
2015,"AG_FPA_COMM","Italy","WHE",-0.45
2015,"AG_FPA_COMM","Italy","RIC",0.1
2016,"AG_FPA_COMM","Italy","RIC",-0.7
2016,"AG_FPA_COMM","Italy","WHE",-1.05
2016,"AG_FPA_COMM","Italy","MAZ",0.4
2017,"AG_FPA_COMM","Italy","RIC",-2.4
2017,"AG_FPA_COMM","Italy","WHE",0.08
2017,"AG_FPA_COMM","Italy","MAZ",-0.01
2018,"AG_FPA_COMM","Italy","WHE",0.04
2018,"AG_FPA_COMM","Italy","RIC",0.5
2018,"AG_FPA_COMM","Italy","MAZ",0.04
2019,"AG_FPA_COMM","Italy","RIC",0.36
2019,"AG_FPA_COMM","Italy","WHE",0.46
2019,"AG_FPA_COMM","Italy","MAZ",-0.2
2020,"AG_FPA_COMM","Italy","MAZ",0.26
2020,"AG_FPA_COMM","Italy","WHE",0.46
2020,"AG_FPA_COMM","Italy","RIC",0.34
2021,"AG_FPA_COMM","Italy","MAZ",1.59
2021,"AG_FPA_COMM","Italy","WHE",1.19
2021,"AG_FPA_COMM","Italy","RIC",-0.09
2022,"AG_FPA_COMM","Italy","RIC",1.15
2022,"AG_FPA_COMM","Italy","WHE",0.4
2022,"AG_FPA_COMM","Italy","MAZ",0.77
2016,"AG_FPA_COMM","Japan","RIC",1.3
2017,"AG_FPA_COMM","Japan","RIC",0.4
2018,"AG_FPA_COMM","Japan","RIC",0.3
2015,"AG_FPA_COMM","Azerbaijan","WHE",0
2016,"AG_FPA_COMM","Azerbaijan","WHE",-1.7
2017,"AG_FPA_COMM","Azerbaijan","WHE",0.6
2018,"AG_FPA_COMM","Azerbaijan","WHE",-0.3
2019,"AG_FPA_COMM","Azerbaijan","WHE",0.3
2020,"AG_FPA_COMM","Azerbaijan","WHE",-0.48
2021,"AG_FPA_COMM","Azerbaijan","WHE",0.11
2022,"AG_FPA_COMM","Azerbaijan","WHE",0.15
2015,"AG_FPA_COMM","Armenia","WHE",-0.4
2016,"AG_FPA_COMM","Armenia","WHE",-0.5
2017,"AG_FPA_COMM","Armenia","WHE",0
2018,"AG_FPA_COMM","Armenia","WHE",-0.6
2019,"AG_FPA_COMM","Armenia","WHE",0.3
2020,"AG_FPA_COMM","Armenia","WHE",0.49
2021,"AG_FPA_COMM","Armenia","WHE",0.16
2022,"AG_FPA_COMM","Armenia","WHE",-0.03
2015,"AG_FPA_COMM","Belarus","WHE",-1
2016,"AG_FPA_COMM","Belarus","WHE",-0.5
2017,"AG_FPA_COMM","Belarus","WHE",0.3
2018,"AG_FPA_COMM","Belarus","WHE",-0.1
2019,"AG_FPA_COMM","Belarus","WHE",0.4
2020,"AG_FPA_COMM","Belarus","WHE",-0.42
2021,"AG_FPA_COMM","Belarus","WHE",-0.61
2022,"AG_FPA_COMM","Belarus","WHE",-0.44
2015,"AG_FPA_COMM","Chile","RIC",7.8
2015,"AG_FPA_COMM","Chile","WHE",-0.4
2015,"AG_FPA_COMM","Chile","MAZ",-0.2
2016,"AG_FPA_COMM","Chile","WHE",-0.9
2016,"AG_FPA_COMM","Chile","MAZ",0.4
2016,"AG_FPA_COMM","Chile","RIC",-0.2
2017,"AG_FPA_COMM","Chile","MAZ",-0.4
2017,"AG_FPA_COMM","Chile","RIC",0.2
2017,"AG_FPA_COMM","Chile","WHE",0
2018,"AG_FPA_COMM","Chile","WHE",1.4
2018,"AG_FPA_COMM","Chile","MAZ",0.5
2018,"AG_FPA_COMM","Chile","RIC",-0.9
2019,"AG_FPA_COMM","Chile","MAZ",0.5
2019,"AG_FPA_COMM","Chile","WHE",0.2
2019,"AG_FPA_COMM","Chile","RIC",-1.1
2020,"AG_FPA_COMM","Chile","WHE",0.69
2020,"AG_FPA_COMM","Chile","RIC",-0.03
2020,"AG_FPA_COMM","Chile","MAZ",1.07
2021,"AG_FPA_COMM","Chile","WHE",0.69
2021,"AG_FPA_COMM","Chile","MAZ",1.95
2021,"AG_FPA_COMM","Chile","RIC",0.25
2022,"AG_FPA_COMM","Chile","WHE",2.05
2022,"AG_FPA_COMM","Chile","RIC",2.54
2022,"AG_FPA_COMM","Chile","MAZ",0.04
2019,"AG_FPA_COMM","China","RIC",-1.7
2019,"AG_FPA_COMM","China","WHE",-1
2019,"AG_FPA_COMM","China","MAZ",0.3
2020,"AG_FPA_COMM","China","MAZ",1.61
2020,"AG_FPA_COMM","China","WHE",0.86
2020,"AG_FPA_COMM","China","RIC",0.01
2021,"AG_FPA_COMM","China","MAZ",1.16
2021,"AG_FPA_COMM","China","WHE",1.8
2021,"AG_FPA_COMM","China","RIC",1.82
2022,"AG_FPA_COMM","China","WHE",2.21
2022,"AG_FPA_COMM","China","RIC",-0.16
2022,"AG_FPA_COMM","China","MAZ",-0.26
2015,"AG_FPA_COMM","Colombia","RIC",1.6
2015,"AG_FPA_COMM","Colombia","MAZ",1.3
2015,"AG_FPA_COMM","Colombia","WHE",0.2
2016,"AG_FPA_COMM","Colombia","WHE",0.1
2016,"AG_FPA_COMM","Colombia","MAZ",-0.5
2016,"AG_FPA_COMM","Colombia","RIC",-0.7
2017,"AG_FPA_COMM","Colombia","RIC",-1.2
2017,"AG_FPA_COMM","Colombia","WHE",0.1
2017,"AG_FPA_COMM","Colombia","MAZ",-0.3
2018,"AG_FPA_COMM","Colombia","WHE",0.1
2018,"AG_FPA_COMM","Colombia","RIC",0
2018,"AG_FPA_COMM","Colombia","MAZ",-0.2
2019,"AG_FPA_COMM","Colombia","RIC",0.6
2019,"AG_FPA_COMM","Colombia","WHE",-0.1
2019,"AG_FPA_COMM","Colombia","MAZ",1.1
2020,"AG_FPA_COMM","Colombia","RIC",0.63
2020,"AG_FPA_COMM","Colombia","WHE",0.37
2020,"AG_FPA_COMM","Colombia","MAZ",1.06
2021,"AG_FPA_COMM","Colombia","MAZ",1.26
2021,"AG_FPA_COMM","Colombia","RIC",-1.25
2021,"AG_FPA_COMM","Colombia","WHE",1.02
2022,"AG_FPA_COMM","Colombia","RIC",1.31
2022,"AG_FPA_COMM","Colombia","WHE",2.45
2022,"AG_FPA_COMM","Colombia","MAZ",0.51
2015,"AG_FPA_COMM","Costa Rica","MAZ",0.6
2015,"AG_FPA_COMM","Costa Rica","RIC",0.1
2015,"AG_FPA_COMM","Costa Rica","WHE",0.1
2016,"AG_FPA_COMM","Costa Rica","MAZ",-0.2
2016,"AG_FPA_COMM","Costa Rica","RIC",-0.1
2016,"AG_FPA_COMM","Costa Rica","WHE",0.1
2019,"AG_FPA_COMM","Japan","RIC",0.1
2019,"AG_FPA_COMM","Japan","WHE",0.9
2020,"AG_FPA_COMM","Japan","WHE",-0.39
2020,"AG_FPA_COMM","Japan","RIC",-0.17
2021,"AG_FPA_COMM","Japan","RIC",-0.75
2021,"AG_FPA_COMM","Japan","WHE",0.39
2022,"AG_FPA_COMM","Japan","RIC",-0.7
2022,"AG_FPA_COMM","Japan","WHE",2.14
2015,"AG_FPA_COMM","Kazakhstan","WHE",0.1
2016,"AG_FPA_COMM","Kazakhstan","WHE",-0.4
2017,"AG_FPA_COMM","Kazakhstan","WHE",0
2018,"AG_FPA_COMM","Kazakhstan","WHE",0.1
2019,"AG_FPA_COMM","Kazakhstan","WHE",1.2
2020,"AG_FPA_COMM","Kazakhstan","WHE",0.6
2021,"AG_FPA_COMM","Kazakhstan","WHE",-0.9
2022,"AG_FPA_COMM","Kazakhstan","WHE",0
2015,"AG_FPA_COMM","Kyrgyzstan","WHE",0.2
2016,"AG_FPA_COMM","Kyrgyzstan","WHE",-0.6
2017,"AG_FPA_COMM","Kyrgyzstan","WHE",-0.1
2018,"AG_FPA_COMM","Kyrgyzstan","WHE",0.1
2019,"AG_FPA_COMM","Kyrgyzstan","WHE",0.3
2020,"AG_FPA_COMM","Kyrgyzstan","WHE",1.33
2021,"AG_FPA_COMM","Kyrgyzstan","WHE",-0.45
2022,"AG_FPA_COMM","Kyrgyzstan","WHE",0.53
2015,"AG_FPA_COMM","Mexico","MAZ",0
2015,"AG_FPA_COMM","Mexico","RIC",0.2
2016,"AG_FPA_COMM","Mexico","MAZ",0.58
2016,"AG_FPA_COMM","Mexico","RIC",-0.1
2017,"AG_FPA_COMM","Mexico","RIC",0.2
2017,"AG_FPA_COMM","Mexico","MAZ",-0.42
