Year,SeriesCode,GeoAreaName,Sex,Type of occupation,Value
2013,"SH_MED_HWRKDIS","Albania","FEMALE","PHYS",46.90
2013,"SH_MED_HWRKDIS","Albania","MALE","NURS",31.50
2013,"SH_MED_HWRKDIS","Albania","FEMALE","NURS",68.50
2013,"SH_MED_HWRKDIS","Albania","MALE","PHYS",53.10
2013,"SH_MED_HWRKDIS","Azerbaijan","FEMALE","PHYS",64.70
2013,"SH_MED_HWRKDIS","Azerbaijan","MALE","PHYS",35.30
2013,"SH_MED_HWRKDIS","Australia","FEMALE","PHYS",38.50
2013,"SH_MED_HWRKDIS","Australia","MALE","PHYS",61.50
2013,"SH_MED_HWRKDIS","Australia","MALE","NURS",10.50
2013,"SH_MED_HWRKDIS","Australia","FEMALE","NURS",89.50
2014,"SH_MED_HWRKDIS","Australia","FEMALE","NURS",89.30
2014,"SH_MED_HWRKDIS","Australia","MALE","NURS",10.70
2014,"SH_MED_HWRKDIS","Australia","MALE","PHYS",60.60
2014,"SH_MED_HWRKDIS","Australia","FEMALE","PHYS",39.40
2015,"SH_MED_HWRKDIS","Australia","FEMALE","NURS",89.20
2015,"SH_MED_HWRKDIS","Australia","MALE","PHYS",60.00
2015,"SH_MED_HWRKDIS","Australia","FEMALE","PHYS",40.00
2015,"SH_MED_HWRKDIS","Australia","MALE","NURS",10.80
2016,"SH_MED_HWRKDIS","Australia","FEMALE","NURS",89.00
2016,"SH_MED_HWRKDIS","Australia","MALE","NURS",11.00
2016,"SH_MED_HWRKDIS","Australia","MALE","PHYS",59.30
2016,"SH_MED_HWRKDIS","Australia","FEMALE","PHYS",40.70
2017,"SH_MED_HWRKDIS","Australia","FEMALE","PHYS",41.30
2017,"SH_MED_HWRKDIS","Australia","MALE","PHYS",58.70
2017,"SH_MED_HWRKDIS","Australia","MALE","NURS",11.10
2017,"SH_MED_HWRKDIS","Australia","FEMALE","NURS",88.90
2018,"SH_MED_HWRKDIS","Australia","FEMALE","NURS",88.80
2018,"SH_MED_HWRKDIS","Australia","MALE","PHYS",58.10
2018,"SH_MED_HWRKDIS","Australia","FEMALE","PHYS",41.90
2018,"SH_MED_HWRKDIS","Australia","MALE","NURS",11.20
2019,"SH_MED_HWRKDIS","Australia","FEMALE","PHYS",42.60
2019,"SH_MED_HWRKDIS","Australia","FEMALE","NURS",88.50
2019,"SH_MED_HWRKDIS","Australia","MALE","PHYS",57.40
2019,"SH_MED_HWRKDIS","Australia","MALE","NURS",11.50
2020,"SH_MED_HWRKDIS","Australia","FEMALE","PHYS",43.20
2020,"SH_MED_HWRKDIS","Australia","MALE","PHYS",56.80
2020,"SH_MED_HWRKDIS","Australia","FEMALE","NURS",88.30
2020,"SH_MED_HWRKDIS","Australia","MALE","NURS",11.70
2021,"SH_MED_HWRKDIS","Australia","FEMALE","NURS",88.10
2021,"SH_MED_HWRKDIS","Australia","MALE","NURS",11.90
2016,"SH_MED_HWRKDIS","Austria","FEMALE","NURS",93.20
2016,"SH_MED_HWRKDIS","Austria","MALE","NURS",6.80
2000,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",28.70
2000,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",71.30
2001,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",71.80
2001,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",28.20
2002,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",70.80
2002,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",29.20
2003,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",70.40
2003,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",29.60
2004,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",29.60
2004,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",70.40
2005,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",29.40
2005,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",70.60
2016,"SH_MED_HWRKDIS","Estonia","FEMALE","NURS",98.30
2016,"SH_MED_HWRKDIS","Estonia","MALE","NURS",1.70
2018,"SH_MED_HWRKDIS","Estonia","FEMALE","NURS",97.20
2018,"SH_MED_HWRKDIS","Estonia","MALE","NURS",2.80
2020,"SH_MED_HWRKDIS","Estonia","MALE","PHYS",27.50
2020,"SH_MED_HWRKDIS","Estonia","MALE","NURS",3.80
2020,"SH_MED_HWRKDIS","Estonia","FEMALE","NURS",96.20
2020,"SH_MED_HWRKDIS","Estonia","FEMALE","PHYS",72.50
2013,"SH_MED_HWRKDIS","Finland","FEMALE","NURS",93.10
2006,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",29.50
2006,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",70.50
2007,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",70.70
2007,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",29.30
2008,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",29.60
2008,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",70.40
2009,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",30.00
2009,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",70.00
2010,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",69.50
2010,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",30.50
