Year,SeriesCode,GeoAreaName,Level/Status,Value
2017,"ER_H2O_IWRMD","Netherlands (Kingdom of the)","_T",93.19444
2020,"ER_H2O_IWRMD","Netherlands (Kingdom of the)","_T",92
2017,"ER_H2O_IWRMD","New Zealand","_T",57.61607
2020,"ER_H2O_IWRMD","New Zealand","_T",65
2017,"ER_H2O_IWRMD","Norway","_T",63.44444
2020,"ER_H2O_IWRMD","Norway","_T",68
2017,"ER_H2O_IWRMD","Poland","_T",39.5
2020,"ER_H2O_IWRMD","Poland","_T",74
2017,"ER_H2O_IWRMD","Portugal","_T",74.06944
2020,"ER_H2O_IWRMD","Portugal","_T",72
2017,"ER_H2O_IWRMD","Romania","_T",72.47475
2020,"ER_H2O_IWRMD","Romania","_T",77
2017,"ER_H2O_IWRMD","Serbia","_T",29.86364
2020,"ER_H2O_IWRMD","Serbia","_T",36
2017,"ER_H2O_IWRMD","Slovakia","_T",65.76389
2020,"ER_H2O_IWRMD","Slovakia","_T",61
2017,"ER_H2O_IWRMD","Viet Nam","_T",37.69192
2020,"ER_H2O_IWRMD","Viet Nam","_T",52
2017,"ER_H2O_IWRMD","Slovenia","_T",57.88889
2020,"ER_H2O_IWRMD","Slovenia","_T",87
2017,"ER_H2O_IWRMD","Spain","_T",82.47727
2020,"ER_H2O_IWRMD","Spain","_T",87
2017,"ER_H2O_IWRMD","Sweden","_T",88.5
2020,"ER_H2O_IWRMD","Sweden","_T",86
2017,"ER_H2O_IWRMD","Switzerland","_T",81.35714
2020,"ER_H2O_IWRMD","Switzerland","_T",81
2020,"ER_H2O_IWRMD","Tajikistan","_T",46
2017,"ER_H2O_IWRMD","United Arab Emirates","_T",74.92064
2020,"ER_H2O_IWRMD","United Arab Emirates","_T",79
2017,"ER_H2O_IWRMD","Türkiye","_T",69.5
2020,"ER_H2O_IWRMD","Türkiye","_T",72
2020,"ER_H2O_IWRMD","Turkmenistan","_T",64
2017,"ER_H2O_IWRMD","Ukraine","_T",38.9375
2020,"ER_H2O_IWRMD","Ukraine","_T",39
2017,"ER_H2O_IWRMD","North Macedonia","_T",22.33333
2017,"ER_H2O_IWRMD","Albania","_T",43.14141
2020,"ER_H2O_IWRMD","Albania","_T",47
2017,"ER_H2O_IWRMD","Azerbaijan","_T",65.95328
2020,"ER_H2O_IWRMD","Azerbaijan","_T",57
2017,"ER_H2O_IWRMD","Australia","_T",85.5
2020,"ER_H2O_IWRMD","Australia","_T",88
2017,"ER_H2O_IWRMD","Austria","_T",91.13636
2020,"ER_H2O_IWRMD","Austria","_T",91
2017,"ER_H2O_IWRMD","Armenia","_T",35.94444
2020,"ER_H2O_IWRMD","Armenia","_T",52
2017,"ER_H2O_IWRMD","Belgium","_T",77.51984
2020,"ER_H2O_IWRMD","Belgium","_T",82
2017,"ER_H2O_IWRMD","Bosnia and Herzegovina","_T",60.88889
2020,"ER_H2O_IWRMD","Bosnia and Herzegovina","_T",53
2017,"ER_H2O_IWRMD","Bulgaria","_T",60.22222
2020,"ER_H2O_IWRMD","Bulgaria","_T",69
2017,"ER_H2O_IWRMD","Belarus","_T",38.08081
2020,"ER_H2O_IWRMD","Belarus","_T",54
2020,"ER_H2O_IWRMD","Canada","_T",0
2017,"ER_H2O_IWRMD","Chile","_T",22.5625
2020,"ER_H2O_IWRMD","Chile","_T",32
2017,"ER_H2O_IWRMD","China","_T",74.5
2020,"ER_H2O_IWRMD","China","_T",80
2017,"ER_H2O_IWRMD","Colombia","_T",50.44697
2020,"ER_H2O_IWRMD","Colombia","_T",57
2017,"ER_H2O_IWRMD","Costa Rica","_T",43.27778
2020,"ER_H2O_IWRMD","Costa Rica","_T",51
2017,"ER_H2O_IWRMD","Croatia","_T",89.82323
2020,"ER_H2O_IWRMD","Croatia","_T",90
2017,"ER_H2O_IWRMD","Cyprus","_T",90.69444
2020,"ER_H2O_IWRMD","Cyprus","_T",93
2017,"ER_H2O_IWRMD","Czechia","_T",79.32071
2020,"ER_H2O_IWRMD","Czechia","_T",80
2017,"ER_H2O_IWRMD","Denmark","_T",93
