Year,SeriesCode,GeoAreaName,Type of product,Value
2000,"TM_TAX_DMFN","Azerbaijan","ALP",1.62338
2000,"TM_TAX_DMFN","Azerbaijan","ARM",1.37112
2000,"TM_TAX_DMFN","Azerbaijan","AGR",2.7164
2000,"TM_TAX_DMFN","Azerbaijan","TEX",4.21757
2000,"TM_TAX_DMFN","Azerbaijan","OIL",0.29983
2000,"TM_TAX_DMFN","Azerbaijan","CLO",12.35891
2000,"TM_TAX_DMFN","Azerbaijan","IND",3.28922
2005,"TM_TAX_DMFN","Azerbaijan","OIL",0.16938
2005,"TM_TAX_DMFN","Azerbaijan","IND",2.06474
2005,"TM_TAX_DMFN","Azerbaijan","CLO",11.28164
2005,"TM_TAX_DMFN","Azerbaijan","TEX",4.87913
2005,"TM_TAX_DMFN","Azerbaijan","ARM",1.4846
2005,"TM_TAX_DMFN","Azerbaijan","ALP",1.1128
2005,"TM_TAX_DMFN","Azerbaijan","AGR",3.32258
2010,"TM_TAX_DMFN","Azerbaijan","AGR",4.10471
2010,"TM_TAX_DMFN","Azerbaijan","IND",1.77261
2010,"TM_TAX_DMFN","Azerbaijan","CLO",11.18639
2010,"TM_TAX_DMFN","Azerbaijan","ARM",1.4846
2010,"TM_TAX_DMFN","Azerbaijan","ALP",0.88626
2010,"TM_TAX_DMFN","Azerbaijan","OIL",0
2010,"TM_TAX_DMFN","Azerbaijan","TEX",4.84074
2011,"TM_TAX_DMFN","Azerbaijan","CLO",11.18639
2011,"TM_TAX_DMFN","Azerbaijan","ARM",1.4846
2011,"TM_TAX_DMFN","Azerbaijan","ALP",0.8467
2011,"TM_TAX_DMFN","Azerbaijan","AGR",4.05224
2011,"TM_TAX_DMFN","Azerbaijan","IND",1.68865
2011,"TM_TAX_DMFN","Azerbaijan","OIL",0
2011,"TM_TAX_DMFN","Azerbaijan","TEX",4.83795
2012,"TM_TAX_DMFN","Azerbaijan","ARM",2.03553
2012,"TM_TAX_DMFN","Azerbaijan","ALP",0.78122
2012,"TM_TAX_DMFN","Azerbaijan","AGR",3.98637
2012,"TM_TAX_DMFN","Azerbaijan","TEX",4.83515
2012,"TM_TAX_DMFN","Azerbaijan","OIL",0
2012,"TM_TAX_DMFN","Azerbaijan","IND",1.53524
2012,"TM_TAX_DMFN","Azerbaijan","CLO",11.1864
2013,"TM_TAX_DMFN","Azerbaijan","TEX",4.83272
2013,"TM_TAX_DMFN","Azerbaijan","OIL",0
2013,"TM_TAX_DMFN","Azerbaijan","IND",1.61502
2013,"TM_TAX_DMFN","Azerbaijan","CLO",11.18543
2013,"TM_TAX_DMFN","Azerbaijan","ARM",2.03553
2013,"TM_TAX_DMFN","Azerbaijan","ALP",0.81653
2013,"TM_TAX_DMFN","Azerbaijan","AGR",4.04861
2014,"TM_TAX_DMFN","Azerbaijan","TEX",4.834
2014,"TM_TAX_DMFN","Azerbaijan","OIL",0
2014,"TM_TAX_DMFN","Azerbaijan","IND",1.51966
2014,"TM_TAX_DMFN","Azerbaijan","CLO",11.21352
2014,"TM_TAX_DMFN","Azerbaijan","ARM",2.03553
2014,"TM_TAX_DMFN","Azerbaijan","AGR",4.04901
2014,"TM_TAX_DMFN","Azerbaijan","ALP",0.77287
2015,"TM_TAX_DMFN","Azerbaijan","TEX",4.864
2015,"TM_TAX_DMFN","Azerbaijan","OIL",0
2015,"TM_TAX_DMFN","Azerbaijan","AGR",4.03814
2015,"TM_TAX_DMFN","Azerbaijan","ALP",0.69464
2015,"TM_TAX_DMFN","Azerbaijan","ARM",2.03553
