Year,SeriesCode,GeoAreaName,Location,Value
2019,"ER_H2O_RURP","Hungary","RURAL",2.0
2022,"ER_H2O_RURP","Hungary","RURAL",2.0
2014,"ER_H2O_RURP","India","RURAL",0.0
2017,"ER_H2O_RURP","India","RURAL",2.0
2022,"ER_H2O_RURP","Italy","RURAL",0.0
2014,"ER_H2O_RURP","Kazakhstan","RURAL",3.0
2022,"ER_H2O_RURP","Kazakhstan","RURAL",3.0
2014,"ER_H2O_RURP","Kyrgyzstan","RURAL",2.0
2017,"ER_H2O_RURP","Kyrgyzstan","RURAL",0.0
2019,"ER_H2O_RURP","Kyrgyzstan","RURAL",2.0
2022,"ER_H2O_RURP","Kyrgyzstan","RURAL",3.0
2014,"ER_H2O_RURP","Lithuania","RURAL",2.0
2017,"ER_H2O_RURP","Lithuania","RURAL",2.0
2019,"ER_H2O_RURP","Lithuania","RURAL",3.0
2014,"ER_H2O_RURP","Mexico","RURAL",2.0
2017,"ER_H2O_RURP","Mexico","RURAL",2.0
2019,"ER_H2O_RURP","Mexico","RURAL",2.0
2022,"ER_H2O_RURP","Mexico","RURAL",3.0
2014,"ER_H2O_RURP","Republic of Moldova","RURAL",2.0
2019,"ER_H2O_RURP","Montenegro","RURAL",2.0
2022,"ER_H2O_RURP","Montenegro","RURAL",2.0
2019,"ER_H2O_RURP","Netherlands (Kingdom of the)","RURAL",2.0
2019,"ER_H2O_RURP","New Zealand","RURAL",3.0
2022,"ER_H2O_RURP","Norway","RURAL",3.0
2022,"ER_H2O_RURP","Romania","RURAL",2.0
2014,"ER_H2O_RURP","Serbia","RURAL",1.0
2017,"ER_H2O_RURP","Serbia","RURAL",3.0
2019,"ER_H2O_RURP","Serbia","RURAL",3.0
2022,"ER_H2O_RURP","Serbia","RURAL",3.0
2014,"ER_H2O_RURP","Viet Nam","RURAL",2.0
2017,"ER_H2O_RURP","Viet Nam","RURAL",1.0
2019,"ER_H2O_RURP","Viet Nam","RURAL",1.0
2022,"ER_H2O_RURP","Viet Nam","RURAL",3.0
2014,"ER_H2O_RURP","Tajikistan","RURAL",1.0
2017,"ER_H2O_RURP","Tajikistan","RURAL",2.0
2019,"ER_H2O_RURP","Tajikistan","RURAL",2.0
2017,"ER_H2O_RURP","Albania","RURAL",1.0
2019,"ER_H2O_RURP","Albania","RURAL",3.0
2022,"ER_H2O_RURP","Albania","RURAL",3.0
2014,"ER_H2O_RURP","Azerbaijan","RURAL",2.0
2017,"ER_H2O_RURP","Azerbaijan","RURAL",3.0
2019,"ER_H2O_RURP","Azerbaijan","RURAL",3.0
2022,"ER_H2O_RURP","Azerbaijan","RURAL",3.0
2019,"ER_H2O_RURP","Austria","RURAL",3.0
2017,"ER_H2O_RURP","Bosnia and Herzegovina","RURAL",2.0
2019,"ER_H2O_RURP","Bosnia and Herzegovina","RURAL",3.0
2022,"ER_H2O_RURP","Bosnia and Herzegovina","RURAL",3.0
2014,"ER_H2O_RURP","Belarus","RURAL",2.0
2017,"ER_H2O_RURP","Belarus","RURAL",2.0
2019,"ER_H2O_RURP","Belarus","RURAL",2.0
2022,"ER_H2O_RURP","Belarus","RURAL",2.0
2014,"ER_H2O_RURP","Chile","RURAL",2.0
2017,"ER_H2O_RURP","Chile","RURAL",2.0
2019,"ER_H2O_RURP","Chile","RURAL",3.0
2022,"ER_H2O_RURP","Chile","RURAL",2.0
2017,"ER_H2O_RURP","China","RURAL",1.0
2019,"ER_H2O_RURP","China","RURAL",2.0
2022,"ER_H2O_RURP","China","RURAL",1.0
2014,"ER_H2O_RURP","Colombia","RURAL",1.0
2017,"ER_H2O_RURP","Colombia","RURAL",1.0
2019,"ER_H2O_RURP","Colombia","RURAL",3.0
2022,"ER_H2O_RURP","Colombia","RURAL",2.0
2014,"ER_H2O_RURP","Costa Rica","RURAL",1.0
2017,"ER_H2O_RURP","Costa Rica","RURAL",1.0
2019,"ER_H2O_RURP","Costa Rica","RURAL",2.0
2022,"ER_H2O_RURP","Costa Rica","RURAL",2.0
2022,"ER_H2O_RURP","Croatia","RURAL",2.0
2014,"ER_H2O_RURP","Estonia","RURAL",2.0
2022,"ER_H2O_RURP","Estonia","RURAL",3.0
2014,"ER_H2O_RURP","Georgia","RURAL",0.0
2017,"ER_H2O_RURP","Georgia","RURAL",0.0
2019,"ER_H2O_RURP","Georgia","RURAL",2.0
2022,"ER_H2O_RURP","Tajikistan","RURAL",2.0
2022,"ER_H2O_RURP","Turkmenistan","RURAL",3.0
2014,"ER_H2O_RURP","Ukraine","RURAL",1.0
2017,"ER_H2O_RURP","Ukraine","RURAL",1.0
2019,"ER_H2O_RURP","Ukraine","RURAL",3.0
2022,"ER_H2O_RURP","Ukraine","RURAL",2.0
2022,"ER_H2O_RURP","Georgia","RURAL",2.0
2022,"ER_H2O_RURP","Greece","RURAL",3.0
2014,"ER_H2O_RURP","North Macedonia","RURAL",0.0
2017,"ER_H2O_RURP","Uzbekistan","RURAL",0.0
2019,"ER_H2O_RURP","Uzbekistan","RURAL",0.0
2022,"ER_H2O_RURP","Uzbekistan","RURAL",2.0
2022,"ER_H2O_RURP","Uzbekistan","RURAL",2.0
