Year,SeriesCode,GeoAreaName,Type of product,Value
2000,"TM_TAX_DPRF","Armenia","TEX",2.07232
2000,"TM_TAX_DPRF","Armenia","IND",0.33794
2000,"TM_TAX_DPRF","Armenia","CLO",12.16688
2000,"TM_TAX_DPRF","Armenia","ALP",1.22475
2000,"TM_TAX_DPRF","Armenia","AGR",7.86207
2005,"TM_TAX_DPRF","Armenia","TEX",3.20046
2005,"TM_TAX_DPRF","Armenia","IND",0.38294
2005,"TM_TAX_DPRF","Armenia","CLO",11.95659
2005,"TM_TAX_DPRF","Armenia","ALP",1.20624
2005,"TM_TAX_DPRF","Armenia","AGR",8.42352
2010,"TM_TAX_DPRF","Armenia","AGR",4.46928
2010,"TM_TAX_DPRF","Armenia","ALP",0.91576
2010,"TM_TAX_DPRF","Armenia","CLO",8.97123
2010,"TM_TAX_DPRF","Armenia","IND",0.3185
2010,"TM_TAX_DPRF","Armenia","TEX",0.97482
2011,"TM_TAX_DPRF","Armenia","IND",0.44703
2011,"TM_TAX_DPRF","Armenia","CLO",8.97518
2011,"TM_TAX_DPRF","Armenia","ALP",1.03482
2011,"TM_TAX_DPRF","Armenia","TEX",0.99344
2011,"TM_TAX_DPRF","Armenia","AGR",4.42692
2012,"TM_TAX_DPRF","Armenia","CLO",8.98809
2012,"TM_TAX_DPRF","Armenia","AGR",4.20644
2012,"TM_TAX_DPRF","Armenia","ALP",1.04277
2012,"TM_TAX_DPRF","Armenia","TEX",0.99046
2012,"TM_TAX_DPRF","Armenia","IND",0.46231
2013,"TM_TAX_DPRF","Armenia","AGR",4.36415
2013,"TM_TAX_DPRF","Armenia","TEX",0.98937
2013,"TM_TAX_DPRF","Armenia","IND",0.46436
2013,"TM_TAX_DPRF","Armenia","CLO",8.9333
2013,"TM_TAX_DPRF","Armenia","ALP",1.03964
2014,"TM_TAX_DPRF","Armenia","AGR",4.34834
2014,"TM_TAX_DPRF","Armenia","TEX",0.98935
2014,"TM_TAX_DPRF","Armenia","IND",0.4564
2014,"TM_TAX_DPRF","Armenia","CLO",8.93318
2014,"TM_TAX_DPRF","Armenia","ALP",1.03334
2015,"TM_TAX_DPRF","Armenia","ALP",1.02626
2015,"TM_TAX_DPRF","Armenia","AGR",4.34224
2015,"TM_TAX_DPRF","Armenia","CLO",8.86807
2015,"TM_TAX_DPRF","Armenia","IND",0.45425
2015,"TM_TAX_DPRF","Armenia","TEX",1.0306
2016,"TM_TAX_DPRF","Armenia","TEX",1.03148
2016,"TM_TAX_DPRF","Armenia","IND",0.45422
2016,"TM_TAX_DPRF","Armenia","CLO",8.86742
2016,"TM_TAX_DPRF","Armenia","ALP",1.0261
2016,"TM_TAX_DPRF","Armenia","AGR",4.34473
2017,"TM_TAX_DPRF","Armenia","TEX",0.9897
2017,"TM_TAX_DPRF","Armenia","IND",0.43963
2017,"TM_TAX_DPRF","Armenia","CLO",8.73189
2017,"TM_TAX_DPRF","Armenia","ALP",1.01843
2017,"TM_TAX_DPRF","Armenia","AGR",4.78299
2018,"TM_TAX_DPRF","Armenia","CLO",8.93108
2018,"TM_TAX_DPRF","Armenia","ALP",1.03014
2018,"TM_TAX_DPRF","Armenia","AGR",4.37128
2018,"TM_TAX_DPRF","Armenia","TEX",1.03382
2000,"TM_TAX_DPRF","Albania","TEX",7.66881
2000,"TM_TAX_DPRF","Albania","OIL",0.24362
2000,"TM_TAX_DPRF","Albania","IND",1.51384
2000,"TM_TAX_DPRF","Albania","CLO",10.69259
2000,"TM_TAX_DPRF","Albania","ARM",1.05604
2000,"TM_TAX_DPRF","Albania","ALP",2.8157
2000,"TM_TAX_DPRF","Albania","AGR",2.08868
2005,"TM_TAX_DPRF","Albania","ARM",0.63601
2005,"TM_TAX_DPRF","Albania","ALP",2.37384
2005,"TM_TAX_DPRF","Albania","AGR",1.85735
2005,"TM_TAX_DPRF","Albania","TEX",6.63971
2005,"TM_TAX_DPRF","Albania","OIL",0.1243
2005,"TM_TAX_DPRF","Albania","IND",1.41434
2005,"TM_TAX_DPRF","Albania","CLO",8.15418
2010,"TM_TAX_DPRF","Albania","AGR",1.80581
2010,"TM_TAX_DPRF","Albania","TEX",6.62755
2010,"TM_TAX_DPRF","Albania","OIL",0
2010,"TM_TAX_DPRF","Albania","IND",0.87622
2000,"TM_TAX_DPRF","Chile","TEX",6.50852
2000,"TM_TAX_DPRF","Chile","OIL",0.29983
2000,"TM_TAX_DPRF","Chile","IND",0.77843
2000,"TM_TAX_DPRF","Chile","CLO",12.21944
2000,"TM_TAX_DPRF","Chile","ARM",0.38537
2000,"TM_TAX_DPRF","Chile","ALP",1.64838
2000,"TM_TAX_DPRF","Chile","AGR",5.21287
2005,"TM_TAX_DPRF","Chile","IND",0.43948
2005,"TM_TAX_DPRF","Chile","ARM",0.01606
2005,"TM_TAX_DPRF","Chile","AGR",6.09384
2005,"TM_TAX_DPRF","Chile","ALP",1.36885
2005,"TM_TAX_DPRF","Chile","CLO",1.83268
2005,"TM_TAX_DPRF","Chile","TEX",0.49669
2005,"TM_TAX_DPRF","Chile","OIL",0.16938
2010,"TM_TAX_DPRF","Chile","TEX",0.05552
2010,"TM_TAX_DPRF","Chile","OIL",0
2010,"TM_TAX_DPRF","Chile","IND",0.24338
2010,"TM_TAX_DPRF","Chile","CLO",0.12506
2010,"TM_TAX_DPRF","Chile","ARM",0
2010,"TM_TAX_DPRF","Chile","ALP",0.9186
2010,"TM_TAX_DPRF","Chile","AGR",3.86229
2011,"TM_TAX_DPRF","Chile","OIL",0
