Year,SeriesCode,GeoAreaName,Bioclimatic belt,Land cover,Value
2000,"ER_MTN_GRNCOV","Albania","ALPINE","GRASSLAND",6.25
2000,"ER_MTN_GRNCOV","Albania","REMAIN_MOUNT","INLAND_WATER",0.24
2000,"ER_MTN_GRNCOV","Albania","MONTANE","GRASSLAND",1485.42
2000,"ER_MTN_GRNCOV","Albania","MONTANE","INLAND_WATER",178.84
2000,"ER_MTN_GRNCOV","Albania","TOTAL","SPARSE_NAT_VEG",365.83
2000,"ER_MTN_GRNCOV","Albania","MONTANE","TREE_COVERED",8506.5
2000,"ER_MTN_GRNCOV","Albania","MONTANE","SPARSE_NAT_VEG",359.95
2000,"ER_MTN_GRNCOV","Albania","ALPINE","TERRESTRIAL_BARREN",0.68
2000,"ER_MTN_GRNCOV","Albania","TOTAL","ARTIFICIAL",20.97
2000,"ER_MTN_GRNCOV","Albania","MONTANE","ARTIFICIAL",20.89
2000,"ER_MTN_GRNCOV","Albania","ALPINE","ARTIFICIAL",0.07
2000,"ER_MTN_GRNCOV","Albania","MONTANE","CROPLAND",8412.08
2000,"ER_MTN_GRNCOV","Albania","MONTANE","MGCI",19173.63
2000,"ER_MTN_GRNCOV","Albania","REMAIN_MOUNT","SHRUB_COVERED",9.64
2000,"ER_MTN_GRNCOV","Albania","TOTAL","GRASSLAND",1499.05
2000,"ER_MTN_GRNCOV","Albania","REMAIN_MOUNT","GRASSLAND",7.39
2000,"ER_MTN_GRNCOV","Albania","TOTAL","SHRUB_COVERED",768.99
2000,"ER_MTN_GRNCOV","Albania","ALPINE","SPARSE_NAT_VEG",5.88
2000,"ER_MTN_GRNCOV","Albania","TOTAL","TREE_COVERED",8529.65
2000,"ER_MTN_GRNCOV","Albania","REMAIN_MOUNT","TREE_COVERED",23.16
2000,"ER_MTN_GRNCOV","Albania","MONTANE","SHRUB_COVERED",759.35
2000,"ER_MTN_GRNCOV","Albania","REMAIN_MOUNT","TERRESTRIAL_BARREN",2.46
2000,"ER_MTN_GRNCOV","Albania","TOTAL","TERRESTRIAL_BARREN",303.3
