Year,SeriesCode,Страна ,Age,Freq,Location,Sex,Value
2017,AG_PRD_FIESMS,Canada,15+,,ALLAREA,FEMALE,5.7
2015,AG_PRD_FIESMS,Albania,ALLAGE,,ALLAREA,BOTHSEX,38.8
2015,AG_PRD_FIESMS,Albania,15+,,ALLAREA,MALE,35.2
2015,AG_PRD_FIESMS,Albania,15+,,ALLAREA,FEMALE,42.3
2016,AG_PRD_FIESMS,Albania,15+,,ALLAREA,FEMALE,42.5
2016,AG_PRD_FIESMS,Albania,15+,,ALLAREA,MALE,35.6
2016,AG_PRD_FIESMS,Albania,ALLAGE,,ALLAREA,BOTHSEX,39.0
2017,AG_PRD_FIESMS,Albania,ALLAGE,,ALLAREA,BOTHSEX,38.6
2017,AG_PRD_FIESMS,Albania,15+,,ALLAREA,MALE,34.4
2017,AG_PRD_FIESMS,Albania,15+,,ALLAREA,FEMALE,42.9
2017,AG_PRD_FIESMS,Canada,ALLAGE,,ALLAREA,BOTHSEX,5.0
2017,AG_PRD_FIESMS,Canada,15+,,ALLAREA,MALE,4.4
2018,AG_PRD_FIESMS,Canada,15+,,ALLAREA,MALE,4.9
2018,AG_PRD_FIESMS,Canada,15+,,ALLAREA,FEMALE,5.2
2018,AG_PRD_FIESMS,Canada,ALLAGE,,ALLAREA,BOTHSEX,5.1
2019,AG_PRD_FIESMS,Canada,ALLAGE,,ALLAREA,BOTHSEX,5.8
2019,AG_PRD_FIESMS,Canada,15+,,ALLAREA,FEMALE,6.0
2019,AG_PRD_FIESMS,Canada,15+,,ALLAREA,MALE,5.5
2020,AG_PRD_FIESMS,Canada,ALLAGE,,ALLAREA,BOTHSEX,6.5
2015,AG_PRD_FIESMS,Malta,15+,,ALLAREA,MALE,4.8
2015,AG_PRD_FIESMS,Malta,15+,,ALLAREA,FEMALE,6.9
2015,AG_PRD_FIESMS,Malta,ALLAGE,,ALLAREA,BOTHSEX,5.8
2016,AG_PRD_FIESMS,Malta,ALLAGE,,ALLAREA,BOTHSEX,5.6
2016,AG_PRD_FIESMS,Malta,15+,,ALLAREA,FEMALE,6.6
2016,AG_PRD_FIESMS,Malta,15+,,ALLAREA,MALE,4.6
2017,AG_PRD_FIESMS,Malta,ALLAGE,,ALLAREA,BOTHSEX,5.1
2017,AG_PRD_FIESMS,Malta,15+,,ALLAREA,FEMALE,6.6
2017,AG_PRD_FIESMS,Malta,15+,,ALLAREA,MALE,3.5
2018,AG_PRD_FIESMS,Albania,15+,,ALLAREA,FEMALE,40.7
2018,AG_PRD_FIESMS,Albania,ALLAGE,,ALLAREA,BOTHSEX,37.1
