Year,SeriesCode,Country,Age,Disability status,Location,Population Group,Quantile,Service Attribute,Sex,Value
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,,ACCESS,Both sexes,99
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ACCESS,Both sexes,97
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,AFFORD,Both sexes,90
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,QUALITY,Both sexes,94
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,EQUALITY,Both sexes,97
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ATTITUDE,Both sexes,94
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,AVERAGE,Both sexes,95
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,QUALITY,Female,94
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,EQUALITY,Female,98
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ATTITUDE,Female,94
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,AVERAGE,Female,94
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,,ACCESS,Both sexes,97
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,,AFFORD,Both sexes,90
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,,QUALITY,Both sexes,94
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ACCESS,Male,97
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,AFFORD,Male,91
2022,SP_PSR_SATIS_GOV,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,QUALITY,Male,95
