Year,SeriesCode,Country,Age,Location,Sex,Value
2013,SD_MDP_CSMP,Armenia,<18Y,Urban,Both sexes,53
2013,SD_MDP_CSMP,Armenia,<18Y,Rural,Both sexes,82
2013,SD_MDP_CSMP,Armenia,<18Y,All areas,Both sexes,64
2015,SD_MDP_CSMP,Armenia,<18Y,Urban,Both sexes,51
2015,SD_MDP_CSMP,Armenia,<18Y,Rural,Both sexes,80
2015,SD_MDP_CSMP,Armenia,<18Y,All areas,Both sexes,65
2016,SD_MDP_CSMP,Armenia,<18Y,Urban,Both sexes,51
2016,SD_MDP_CSMP,Armenia,<18Y,All areas,Both sexes,57
2016,SD_MDP_CSMP,Armenia,<18Y,Rural,Both sexes,69
2017,SD_MDP_CSMP,Armenia,<18Y,All areas,Both sexes,62
2017,SD_MDP_CSMP,Armenia,<18Y,Urban,Both sexes,52
2017,SD_MDP_CSMP,Armenia,<18Y,Rural,Both sexes,75
2017,SD_MDP_CSMP,Armenia,<18Y,Rural,Both sexes,75
