Year,SeriesCode,Country,Policy instruments,Value
2019,SG_SCP_POLINS,Albania,POLICY_MACRO,1
2022,SG_SCP_POLINS,Australia,POLICY_MACRO,4
2022,SG_SCP_POLINS,Australia,POLICY_REGLEG,3
2021,SG_SCP_POLINS,Belgium,POLICY_VOLSRG,13
2021,SG_SCP_POLINS,Belgium,POLICY_ECONFIS,1
2021,SG_SCP_POLINS,Belgium,POLICY_REGLEG,4
2021,SG_SCP_POLINS,Belgium,POLICY_MACRO,16
2021,SG_SCP_POLINS,Bulgaria,POLICY_ECONFIS,9
2021,SG_SCP_POLINS,Bulgaria,POLICY_REGLEG,3
2021,SG_SCP_POLINS,Bulgaria,POLICY_MACRO,3
2021,SG_SCP_POLINS,Chile,POLICY_MACRO,3
2019,SG_SCP_POLINS,China,POLICY_REGLEG,2
2019,SG_SCP_POLINS,China,POLICY_MACRO,1
2019,SG_SCP_POLINS,Colombia,POLICY_MACRO,1
2021,SG_SCP_POLINS,Costa Rica,POLICY_VOLSRG,3
2021,SG_SCP_POLINS,Costa Rica,POLICY_REGLEG,2
2021,SG_SCP_POLINS,Costa Rica,POLICY_MACRO,6
2021,SG_SCP_POLINS,Costa Rica,POLICY_ECONFIS,1
2021,SG_SCP_POLINS,Croatia,POLICY_MACRO,4
2021,SG_SCP_POLINS,Croatia,POLICY_REGLEG,1
2019,SG_SCP_POLINS,Czechia,POLICY_MACRO,1
2020,SG_SCP_POLINS,Finland,POLICY_VOLSRG,1
2020,SG_SCP_POLINS,Finland,POLICY_ECONFIS,1
2020,SG_SCP_POLINS,Finland,POLICY_MACRO,2
2022,SG_SCP_POLINS,France,POLICY_MACRO,1
2022,SG_SCP_POLINS,France,POLICY_REGLEG,3
2021,SG_SCP_POLINS,Germany,POLICY_REGLEG,5
2021,SG_SCP_POLINS,Germany,POLICY_VOLSRG,15
2021,SG_SCP_POLINS,Germany,POLICY_ECONFIS,1
2021,SG_SCP_POLINS,Germany,POLICY_MACRO,12
2022,SG_SCP_POLINS,Hungary,POLICY_ECONFIS,1
2022,SG_SCP_POLINS,Hungary,POLICY_VOLSRG,18
2022,SG_SCP_POLINS,Hungary,POLICY_MACRO,19
2022,SG_SCP_POLINS,Hungary,POLICY_REGLEG,12
2019,SG_SCP_POLINS,India,POLICY_MACRO,1
2019,SG_SCP_POLINS,Republic of Korea,POLICY_MACRO,1
2020,SG_SCP_POLINS,Latvia,POLICY_MACRO,2
2020,SG_SCP_POLINS,Latvia,POLICY_REGLEG,2
2019,SG_SCP_POLINS,Lithuania,POLICY_MACRO,2
2020,SG_SCP_POLINS,Mexico,POLICY_REGLEG,7
2020,SG_SCP_POLINS,Mexico,POLICY_VOLSRG,6
2020,SG_SCP_POLINS,Mexico,POLICY_MACRO,13
2020,SG_SCP_POLINS,Netherlands (Kingdom of the),POLICY_MACRO,1
2022,SG_SCP_POLINS,Norway,POLICY_REGLEG,2
2022,SG_SCP_POLINS,Norway,POLICY_MACRO,6
2022,SG_SCP_POLINS,Norway,POLICY_VOLSRG,5
2020,SG_SCP_POLINS,Poland,POLICY_MACRO,1
2020,SG_SCP_POLINS,Romania,POLICY_MACRO,1
2022,SG_SCP_POLINS,Serbia,POLICY_MACRO,3
2022,SG_SCP_POLINS,Serbia,POLICY_VOLSRG,1
2022,SG_SCP_POLINS,Serbia,POLICY_REGLEG,3
2021,SG_SCP_POLINS,Slovakia,POLICY_VOLSRG,1
2021,SG_SCP_POLINS,Slovakia,POLICY_ECONFIS,3
2021,SG_SCP_POLINS,Slovakia,POLICY_REGLEG,1
2021,SG_SCP_POLINS,Slovakia,POLICY_MACRO,8
2021,SG_SCP_POLINS,Slovenia,POLICY_REGLEG,1
2022,SG_SCP_POLINS,Sweden,POLICY_VOLSRG,3
2022,SG_SCP_POLINS,Sweden,POLICY_REGLEG,5
2022,SG_SCP_POLINS,Sweden,POLICY_ECONFIS,12
2022,SG_SCP_POLINS,Sweden,POLICY_MACRO,15
2022,SG_SCP_POLINS,Switzerland,POLICY_MACRO,9
2022,SG_SCP_POLINS,Switzerland,POLICY_REGLEG,6
2020,SG_SCP_POLINS,United Arab Emirates,POLICY_MACRO,1
2022,SG_SCP_POLINS,Türkiye,POLICY_REGLEG,1
2022,SG_SCP_POLINS,Türkiye,POLICY_MACRO,1
2021,SG_SCP_POLINS,Ukraine,POLICY_MACRO,1
2021,SG_SCP_POLINS,United Kingdom of Great Britain and Northern Ireland,POLICY_REGLEG,8
2021,SG_SCP_POLINS,United Kingdom of Great Britain and Northern Ireland,POLICY_VOLSRG,1
2021,SG_SCP_POLINS,United Kingdom of Great Britain and Northern Ireland,POLICY_MACRO,1
2021,SG_SCP_POLINS,United Kingdom of Great Britain and Northern Ireland,POLICY_ECONFIS,3
2021,SG_SCP_POLINS,United Kingdom of Great Britain and Northern Ireland,POLICY_ECONFIS,3
