Year,Country,Location,Value
2004,France,RURAL,95
2004,France,URBAN,95
2005,France,URBAN,95
2005,France,RURAL,95
2005,France,ALLAREA,95
2006,France,URBAN,95
2006,France,ALLAREA,95
2006,France,RURAL,95
2007,France,ALLAREA,95
2007,France,RURAL,95
2007,France,URBAN,95
2008,France,RURAL,95
2008,France,ALLAREA,95
2008,France,URBAN,95
2009,France,ALLAREA,95
2009,France,URBAN,95
2009,France,RURAL,95
2010,France,RURAL,95
2010,France,ALLAREA,95
2010,France,URBAN,95
2011,France,ALLAREA,95
2011,France,RURAL,95
2011,France,URBAN,95
2012,France,ALLAREA,95
2012,France,RURAL,95
2012,France,URBAN,95
2013,France,RURAL,95
2013,France,ALLAREA,95
2013,France,URBAN,95
2014,France,URBAN,95
2014,France,ALLAREA,95
2014,France,RURAL,95
2015,France,ALLAREA,95
2000,Albania,ALLAREA,39
2000,Albania,RURAL,19
2000,Albania,URBAN,67
2001,Albania,ALLAREA,41
2001,Albania,RURAL,20
2001,Albania,URBAN,69
2002,Albania,ALLAREA,44
2002,Albania,RURAL,23
2002,Albania,URBAN,71
2003,Albania,ALLAREA,46
2003,Albania,RURAL,25
2000,Lithuania,RURAL,95
2000,Lithuania,ALLAREA,95
2000,Lithuania,URBAN,95
2001,Lithuania,ALLAREA,95
2001,Lithuania,URBAN,95
2001,Lithuania,RURAL,95
2002,Lithuania,RURAL,95
2002,Lithuania,ALLAREA,95
2002,Lithuania,URBAN,95
2003,Lithuania,URBAN,95
2003,Lithuania,RURAL,95
2015,France,RURAL,95
2015,France,URBAN,95
2016,France,URBAN,95
2016,France,RURAL,95
2016,France,ALLAREA,95
2017,France,URBAN,95
2017,France,ALLAREA,95
2017,France,RURAL,95
2018,France,ALLAREA,95
2018,France,RURAL,95
2018,France,URBAN,95
2000,Belarus,RURAL,86
2000,Belarus,ALLAREA,94
2000,Belarus,URBAN,95
2001,Belarus,ALLAREA,95
2001,Belarus,RURAL,87
2001,Belarus,URBAN,95
2002,Belarus,ALLAREA,95
2002,Belarus,RURAL,89
2002,Belarus,URBAN,95
2003,Lithuania,ALLAREA,95
2004,Lithuania,RURAL,95
2004,Lithuania,ALLAREA,95
2004,Lithuania,URBAN,95
2005,Lithuania,RURAL,95
2005,Lithuania,ALLAREA,95
2005,Lithuania,URBAN,95
2006,Lithuania,RURAL,95
2006,Lithuania,ALLAREA,95
2006,Lithuania,URBAN,95
2007,Lithuania,ALLAREA,95
2003,Belarus,ALLAREA,95
2003,Belarus,URBAN,95
2003,Belarus,RURAL,90
2004,Belarus,ALLAREA,95
2004,Belarus,RURAL,91
2004,Belarus,URBAN,95
2005,Belarus,URBAN,95
2005,Belarus,ALLAREA,95
2005,Belarus,RURAL,92
2006,Belarus,ALLAREA,95
2006,Belarus,RURAL,93
2007,Lithuania,URBAN,95
2007,Lithuania,RURAL,95
2008,Lithuania,RURAL,95
2008,Lithuania,URBAN,95
2008,Lithuania,ALLAREA,95
2009,Lithuania,ALLAREA,95
2009,Lithuania,URBAN,95
2009,Lithuania,RURAL,95
2010,Lithuania,ALLAREA,95
2010,Lithuania,URBAN,95
2010,Lithuania,RURAL,95
2019,France,URBAN,95
2019,France,ALLAREA,95
2019,France,RURAL,95
2020,France,ALLAREA,95
2020,France,RURAL,95
2020,France,URBAN,95
2021,France,ALLAREA,95
2021,France,RURAL,95
2021,France,URBAN,95
2000,Georgia,URBAN,85
2000,Georgia,RURAL,8
2006,Belarus,URBAN,95
2007,Belarus,ALLAREA,95
2007,Belarus,RURAL,94
2007,Belarus,URBAN,95
2008,Belarus,ALLAREA,95
2008,Belarus,URBAN,95
2008,Belarus,RURAL,95
2009,Belarus,ALLAREA,95
2009,Belarus,RURAL,95
2009,Belarus,URBAN,95
2010,Belarus,URBAN,95
2011,Lithuania,URBAN,95
2011,Lithuania,RURAL,95
2011,Lithuania,ALLAREA,95
2012,Lithuania,URBAN,95
2012,Lithuania,RURAL,95
2012,Lithuania,ALLAREA,95
2013,Lithuania,ALLAREA,95
2013,Lithuania,URBAN,95
2013,Lithuania,RURAL,95
2014,Lithuania,ALLAREA,95
2014,Lithuania,URBAN,95
2014,Lithuania,RURAL,95
2015,Lithuania,URBAN,95
2015,Lithuania,RURAL,95
2015,Lithuania,ALLAREA,95
2016,Lithuania,URBAN,95
2016,Lithuania,ALLAREA,95
2016,Lithuania,RURAL,95
2017,Lithuania,URBAN,95
2017,Lithuania,RURAL,95
2017,Lithuania,ALLAREA,95
2018,Lithuania,URBAN,95
2000,Georgia,ALLAREA,47
2001,Georgia,ALLAREA,48
2001,Georgia,RURAL,10
2001,Georgia,URBAN,86
2002,Georgia,URBAN,87
2002,Georgia,RURAL,11
2002,Georgia,ALLAREA,49
2003,Georgia,ALLAREA,51
2003,Georgia,URBAN,88
2003,Georgia,RURAL,13
2004,Georgia,URBAN,88
2004,Georgia,RURAL,15
2004,Georgia,ALLAREA,52
2005,Georgia,RURAL,17
2005,Georgia,ALLAREA,54
2005,Georgia,URBAN,89
2006,Georgia,URBAN,90
2006,Georgia,RURAL,20
2006,Georgia,ALLAREA,56
2007,Georgia,ALLAREA,59
2007,Georgia,RURAL,23
2007,Georgia,URBAN,91
2010,Belarus,ALLAREA,95
2010,Belarus,RURAL,95
2011,Belarus,ALLAREA,95
2011,Belarus,RURAL,95
2011,Belarus,URBAN,95
2012,Belarus,ALLAREA,95
2012,Belarus,RURAL,95
2012,Belarus,URBAN,95
2013,Belarus,ALLAREA,95
2013,Belarus,RURAL,95
2013,Belarus,URBAN,95
2018,Lithuania,RURAL,95
2018,Lithuania,ALLAREA,95
2019,Lithuania,URBAN,95
2019,Lithuania,ALLAREA,95
2019,Lithuania,RURAL,95
2020,Lithuania,URBAN,95
2020,Lithuania,RURAL,95
2020,Lithuania,ALLAREA,95
2021,Lithuania,URBAN,95
2021,Lithuania,RURAL,95
2021,Lithuania,ALLAREA,95
2008,Georgia,ALLAREA,61
2008,Georgia,URBAN,92
2008,Georgia,RURAL,27
2009,Georgia,URBAN,92
2009,Georgia,RURAL,31
2009,Georgia,ALLAREA,63
2010,Georgia,ALLAREA,66
2010,Georgia,RURAL,35
2010,Georgia,URBAN,93
2011,Georgia,URBAN,94
2011,Georgia,RURAL,40
2000,Luxembourg,ALLAREA,95
2000,Luxembourg,RURAL,95
2000,Luxembourg,URBAN,95
2001,Luxembourg,URBAN,95
2001,Luxembourg,RURAL,95
2001,Luxembourg,ALLAREA,95
2002,Luxembourg,ALLAREA,95
2002,Luxembourg,URBAN,95
2002,Luxembourg,RURAL,95
2003,Luxembourg,ALLAREA,95
2003,Luxembourg,RURAL,95
2003,Luxembourg,URBAN,95
2004,Luxembourg,URBAN,95
2004,Luxembourg,RURAL,95
2004,Luxembourg,ALLAREA,95
2005,Luxembourg,URBAN,95
