Year,SeriesCode,Country,Migratory status,Sex,Value
2000,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,14.0
2001,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,9.0
2001,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Female,1.0
2001,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Male,15.0
2002,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Female,4.0
2002,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,12.0
2002,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Male,17.0
2003,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Male,29.0
2003,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,16.0
2003,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Female,0.8
2004,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Male,34.0
2004,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,19.0
2004,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Female,4.0
2005,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Female,2.0
2005,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,15.0
2005,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Male,27.0
2006,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,20.0
2006,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Female,2.0
2006,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Male,36.0
2007,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Male,37.0
2007,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,20.0
2007,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Female,2.0
2008,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,21.0
2008,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Male,39.0
2008,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Female,3.0
2016,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,12.0
2016,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Male,19.0
2016,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Female,2.0
2017,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Male,11.0
2017,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,8.0
2017,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Female,3.0
2018,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,9.0
2018,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Female,1.0
2018,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Male,15.0
2019,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Male,21.0
2019,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Female,5.0
2019,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,15.0
2020,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,12.0
2021,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Female,10.0
2021,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Both sexes,16.0
2021,SL_EMP_INJUR,Azerbaijan,Total or no breakdown,Male,20.0
2000,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,1620.0
2000,SL_EMP_INJUR,Australia,Total or no breakdown,Female,1010.0
2000,SL_EMP_INJUR,Australia,Total or no breakdown,Male,2141.0
2001,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,1450.0
2011,SL_EMP_INJUR,Finland,NONMIG,Female,1331.68
2012,SL_EMP_INJUR,Finland,NONMIG,Female,1227.06
2012,SL_EMP_INJUR,Finland,Total or no breakdown,Female,1209.85
2012,SL_EMP_INJUR,Finland,Total or no breakdown,Male,2531.6
2012,SL_EMP_INJUR,Finland,Total or no breakdown,Both sexes,1889.63
2012,SL_EMP_INJUR,Finland,NONMIG,Both sexes,1916.47
2020,SL_EMP_INJUR,Poland,Total or no breakdown,Male,529.13
2000,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,4260.2
2000,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,1868.8
2000,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,6034.8
2001,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,5990.0
2001,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,1933.0
2001,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,4276.0
2002,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,5583.0
2001,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1908.7
2001,SL_EMP_INJUR,Australia,Total or no breakdown,Female,930.0
2002,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,1390.0
2002,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1837.6
2002,SL_EMP_INJUR,Australia,Total or no breakdown,Female,900.0
2003,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1686.6
2003,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,1270.0
2003,SL_EMP_INJUR,Australia,Total or no breakdown,Female,800.0
2004,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,1230.0
2004,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1619.3
2004,SL_EMP_INJUR,Australia,Total or no breakdown,Female,790.0
2005,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1562.4
2005,SL_EMP_INJUR,Australia,Total or no breakdown,Female,760.0
2005,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,1180.0
2006,SL_EMP_INJUR,Australia,Total or no breakdown,Female,670.0
2006,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1388.0
2006,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,1050.0
2007,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,1030.0
2007,SL_EMP_INJUR,Australia,Total or no breakdown,Female,670.0
2007,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1361.0
2008,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1327.4
2008,SL_EMP_INJUR,Australia,Total or no breakdown,Female,670.0
2008,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,1020.0
2009,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,986.14
2009,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1278.49
2009,SL_EMP_INJUR,Australia,Total or no breakdown,Female,668.1
2010,SL_EMP_INJUR,Australia,Total or no breakdown,Female,634.79
2012,SL_EMP_INJUR,Finland,NONMIG,Male,2571.75
2013,SL_EMP_INJUR,Finland,Total or no breakdown,Both sexes,1930.67
2013,SL_EMP_INJUR,Finland,NONMIG,Both sexes,1969.41
