Year,SeriesCode,Country,Age,Location,Sex,Value
2013,SL_DOM_TSPDDC,Poland,45-54,All areas,Male,9.58333
2013,SL_DOM_TSPDDC,Poland,55-64,All areas,Male,11.45833
2013,SL_DOM_TSPDDC,Poland,10+,Urban,Female,13.82083
2013,SL_DOM_TSPDDC,Poland,55-64,Rural,Female,20.07083
2013,SL_DOM_TSPDDC,Poland,10+,Rural,Female,15.41667
2013,SL_DOM_TSPDDC,Poland,15+,Rural,Female,16.17917
2013,SL_DOM_TSPDDC,Poland,15-24,Rural,Female,8.75
2013,SL_DOM_TSPDDC,Poland,25-44,Rural,Female,15.97083
2013,SL_DOM_TSPDDC,Poland,65+,Rural,Female,17.9875
2013,SL_DOM_TSPDDC,Poland,10+,Rural,Male,8.19583
2013,SL_DOM_TSPDDC,Poland,25-44,Urban,Male,6.45833
2013,SL_DOM_TSPDDC,Poland,45-54,Urban,Male,9.44583
2013,SL_DOM_TSPDDC,Poland,55-64,Urban,Male,11.25
2013,SL_DOM_TSPDDC,Poland,65+,Urban,Male,12.5
2013,SL_DOM_TSPDDC,Poland,45-54,Rural,Male,9.8625
2013,SL_DOM_TSPDDC,Poland,55-64,Rural,Male,11.875
2013,SL_DOM_TSPDDC,Poland,65+,Rural,Male,13.2625
2013,SL_DOM_TSPDDC,Poland,65+,All areas,Male,12.77917
2013,SL_DOM_TSPDDC,Poland,10+,All areas,Female,14.5125
2013,SL_DOM_TSPDDC,Poland,15+,Urban,Female,14.30417
2013,SL_DOM_TSPDDC,Poland,10+,All areas,Male,8.19583
2013,SL_DOM_TSPDDC,Poland,65+,All areas,Female,17.3625
2013,SL_DOM_TSPDDC,Poland,15+,All areas,Female,15.0
2013,SL_DOM_TSPDDC,Poland,15-24,All areas,Female,7.9875
2013,SL_DOM_TSPDDC,Poland,25-44,All areas,Female,13.8875
2013,SL_DOM_TSPDDC,Poland,45-54,All areas,Female,16.80417
2013,SL_DOM_TSPDDC,Poland,55-64,All areas,Female,18.33333
2013,SL_DOM_TSPDDC,Poland,45-54,Rural,Female,18.54167
2013,SL_DOM_TSPDDC,Poland,15+,Rural,Male,8.6125
2015,SL_DOM_TSPDDC,Portugal,15+,All areas,Female,12.51975
2015,SL_DOM_TSPDDC,Portugal,15-24,All areas,Female,8.6378
2015,SL_DOM_TSPDDC,Portugal,25-44,All areas,Female,12.64692
2015,SL_DOM_TSPDDC,Portugal,45-54,All areas,Female,13.6936
2015,SL_DOM_TSPDDC,Portugal,55-64,All areas,Female,14.19149
2015,SL_DOM_TSPDDC,Portugal,65+,All areas,Female,12.04737
2015,SL_DOM_TSPDDC,Portugal,15+,All areas,Male,7.29788
2015,SL_DOM_TSPDDC,Portugal,15-24,All areas,Male,4.52753
2015,SL_DOM_TSPDDC,Portugal,25-44,All areas,Male,7.12583
2015,SL_DOM_TSPDDC,Portugal,45-54,All areas,Male,7.50581
2015,SL_DOM_TSPDDC,Portugal,55-64,All areas,Male,8.47867
2015,SL_DOM_TSPDDC,Portugal,65+,All areas,Male,8.08406
2000,SL_DOM_TSPDDC,Romania,10+,All areas,Female,19.58333
2000,SL_DOM_TSPDDC,Romania,15-24,All areas,Female,13.75
2000,SL_DOM_TSPDDC,Romania,25-44,All areas,Female,20.41667
2000,SL_DOM_TSPDDC,Romania,65+,Rural,Male,17.91667
2000,SL_DOM_TSPDDC,Romania,65+,All areas,Female,22.5
2000,SL_DOM_TSPDDC,Romania,10+,All areas,Male,9.16667
2000,SL_DOM_TSPDDC,Romania,15-24,All areas,Male,6.66667
2000,SL_DOM_TSPDDC,Romania,25-44,All areas,Male,8.33333
2000,SL_DOM_TSPDDC,Romania,45-64,All areas,Male,12.5
2000,SL_DOM_TSPDDC,Romania,65+,All areas,Male,16.25
2000,SL_DOM_TSPDDC,Romania,10+,Rural,Female,22.5
2000,SL_DOM_TSPDDC,Romania,15-24,Rural,Female,16.66667
2000,SL_DOM_TSPDDC,Romania,25-44,Urban,Female,17.5
2000,SL_DOM_TSPDDC,Romania,45-64,Urban,Female,22.08333
2000,SL_DOM_TSPDDC,Romania,65+,Urban,Female,20.41667
2000,SL_DOM_TSPDDC,Romania,10+,Urban,Male,6.66667
2000,SL_DOM_TSPDDC,Romania,15-24,Urban,Male,4.58333
2000,SL_DOM_TSPDDC,Romania,25-44,Urban,Male,6.25
2000,SL_DOM_TSPDDC,Romania,45-64,Urban,Male,10.0
2000,SL_DOM_TSPDDC,Romania,45-64,Rural,Male,15.83333
2000,SL_DOM_TSPDDC,Romania,25-44,Rural,Female,25.0
2000,SL_DOM_TSPDDC,Romania,45-64,Rural,Female,27.91667
2000,SL_DOM_TSPDDC,Romania,65+,Rural,Female,23.75
2009,SL_DOM_TSPDDC,Austria,65+,All areas,Female,20.45989
2009,SL_DOM_TSPDDC,Austria,15-24,Urban,Female,6.10207
2009,SL_DOM_TSPDDC,Austria,15-24,Urban,Male,3.16333
2009,SL_DOM_TSPDDC,Austria,65+,Urban,Male,13.28693
2009,SL_DOM_TSPDDC,Austria,45-54,Urban,Male,8.14364
2009,SL_DOM_TSPDDC,Austria,25-44,Urban,Male,6.60825
2009,SL_DOM_TSPDDC,Austria,55-64,Urban,Male,10.28012
2004,SL_DOM_TSPDDC,Armenia,15+,All areas,Female,20.27778
2004,SL_DOM_TSPDDC,Armenia,15+,All areas,Male,3.47222
2008,SL_DOM_TSPDDC,Armenia,25-44,Urban,Male,2.41667
2000,SL_DOM_TSPDDC,Romania,10+,Rural,Male,12.08333
2000,SL_DOM_TSPDDC,Romania,15-24,Rural,Male,9.58333
2000,SL_DOM_TSPDDC,Romania,25-44,Rural,Male,10.41667
2000,SL_DOM_TSPDDC,Romania,45-64,All areas,Female,23.75
2000,SL_DOM_TSPDDC,Romania,65+,Urban,Male,14.16667
2000,SL_DOM_TSPDDC,Romania,15-24,Urban,Female,10.41667
2000,SL_DOM_TSPDDC,Romania,10+,Urban,Female,16.66667
2012,SL_DOM_TSPDDC,Romania,15-24,Rural,Female,11.52778
2012,SL_DOM_TSPDDC,Romania,25-44,Rural,Female,21.52778
2012,SL_DOM_TSPDDC,Romania,45-54,Rural,Female,23.125
2012,SL_DOM_TSPDDC,Romania,55-64,Rural,Female,24.58333
2008,SL_DOM_TSPDDC,Armenia,55-64,Urban,Male,2.075
2008,SL_DOM_TSPDDC,Armenia,15-24,Urban,Male,1.65417
2008,SL_DOM_TSPDDC,Armenia,45-54,Urban,Male,2.5
2008,SL_DOM_TSPDDC,Armenia,15+,Urban,Male,2.75417
2008,SL_DOM_TSPDDC,Armenia,15+,All areas,Male,3.73333
2008,SL_DOM_TSPDDC,Armenia,65+,All areas,Female,19.325
2008,SL_DOM_TSPDDC,Armenia,15-24,Rural,Female,14.70833
2008,SL_DOM_TSPDDC,Armenia,65+,All areas,Male,6.32083
2012,SL_DOM_TSPDDC,Romania,65+,Rural,Female,20.48611
2012,SL_DOM_TSPDDC,Romania,55-64,All areas,Female,22.70833
2012,SL_DOM_TSPDDC,Romania,10+,All areas,Female,17.43056
2012,SL_DOM_TSPDDC,Romania,65+,Urban,Female,18.26389
2012,SL_DOM_TSPDDC,Romania,10+,Urban,Male,7.63889
2012,SL_DOM_TSPDDC,Romania,15-24,Urban,Male,3.47222
2012,SL_DOM_TSPDDC,Romania,15-24,Urban,Female,7.77778
2012,SL_DOM_TSPDDC,Romania,25-44,Urban,Male,6.66667
2012,SL_DOM_TSPDDC,Romania,25-44,Rural,Male,9.16667
2012,SL_DOM_TSPDDC,Romania,45-54,Rural,Male,11.38889
2008,SL_DOM_TSPDDC,Armenia,55-64,All areas,Male,2.60833
2008,SL_DOM_TSPDDC,Armenia,45-54,All areas,Male,3.90833
2008,SL_DOM_TSPDDC,Armenia,25-44,Urban,Female,17.44583
2008,SL_DOM_TSPDDC,Armenia,55-64,Urban,Female,18.64583
2008,SL_DOM_TSPDDC,Armenia,45-54,Urban,Female,21.725
2008,SL_DOM_TSPDDC,Armenia,25-44,Rural,Male,4.50833
2008,SL_DOM_TSPDDC,Armenia,65+,Urban,Female,17.72917
2008,SL_DOM_TSPDDC,Armenia,45-54,Rural,Male,6.15833
2012,SL_DOM_TSPDDC,Romania,25-44,All areas,Female,18.19444
2012,SL_DOM_TSPDDC,Romania,15-24,All areas,Male,5.0
2012,SL_DOM_TSPDDC,Romania,25-44,All areas,Male,7.70833
2012,SL_DOM_TSPDDC,Romania,45-54,All areas,Male,10.0
2012,SL_DOM_TSPDDC,Romania,55-64,All areas,Male,12.56944
2012,SL_DOM_TSPDDC,Romania,65+,All areas,Male,13.54167
2012,SL_DOM_TSPDDC,Romania,10+,Rural,Female,19.30556
2012,SL_DOM_TSPDDC,Romania,15-24,All areas,Female,9.65278
2012,SL_DOM_TSPDDC,Romania,45-54,All areas,Female,20.27778
2012,SL_DOM_TSPDDC,Romania,65+,All areas,Female,19.51389
2012,SL_DOM_TSPDDC,Romania,10+,All areas,Male,8.68056
2012,SL_DOM_TSPDDC,Romania,10+,Rural,Male,10.20833
2012,SL_DOM_TSPDDC,Romania,15-24,Rural,Male,6.66667
2012,SL_DOM_TSPDDC,Romania,45-54,Urban,Female,18.68056
2012,SL_DOM_TSPDDC,Romania,55-64,Urban,Female,21.31944
2012,SL_DOM_TSPDDC,Romania,25-44,Urban,Female,16.04167
2012,SL_DOM_TSPDDC,Romania,55-64,Rural,Male,14.72222
2012,SL_DOM_TSPDDC,Romania,45-54,Urban,Male,8.75
2012,SL_DOM_TSPDDC,Romania,65+,Urban,Male,12.63889
2012,SL_DOM_TSPDDC,Romania,55-64,Urban,Male,11.04167
2012,SL_DOM_TSPDDC,Romania,65+,Rural,Male,14.23611
2012,SL_DOM_TSPDDC,Romania,10+,Urban,Female,15.90278
2011,SL_DOM_TSPDDC,Serbia,65+,Rural,Male,13.83038
2011,SL_DOM_TSPDDC,Serbia,15-24,Urban,Female,5.28241
2011,SL_DOM_TSPDDC,Serbia,15-24,All areas,Male,3.19354
2011,SL_DOM_TSPDDC,Serbia,25-44,All areas,Male,5.2923
2011,SL_DOM_TSPDDC,Serbia,45-54,All areas,Male,9.78373
2011,SL_DOM_TSPDDC,Serbia,55-64,All areas,Male,10.77919
2011,SL_DOM_TSPDDC,Serbia,65+,All areas,Male,12.96669
2011,SL_DOM_TSPDDC,Serbia,65+,All areas,Female,19.88573
2011,SL_DOM_TSPDDC,Serbia,65+,Urban,Male,11.95453
2011,SL_DOM_TSPDDC,Serbia,25-44,Urban,Male,4.65901
2011,SL_DOM_TSPDDC,Serbia,15-24,Rural,Female,8.82141
2011,SL_DOM_TSPDDC,Serbia,55-64,Rural,Female,23.65107
2011,SL_DOM_TSPDDC,Serbia,55-64,Rural,Male,11.39506
2011,SL_DOM_TSPDDC,Serbia,65+,Rural,Female,20.87781
2011,SL_DOM_TSPDDC,Serbia,15+,Urban,Female,16.99829
2011,SL_DOM_TSPDDC,Serbia,25-44,Urban,Female,15.53392
2011,SL_DOM_TSPDDC,Serbia,45-54,Urban,Female,19.1973
2011,SL_DOM_TSPDDC,Serbia,55-64,Urban,Female,22.38891
2011,SL_DOM_TSPDDC,Serbia,65+,Urban,Female,18.92367
2011,SL_DOM_TSPDDC,Serbia,25-44,Rural,Female,19.78752
2011,SL_DOM_TSPDDC,Serbia,45-54,Rural,Female,23.51817
2011,SL_DOM_TSPDDC,Serbia,15+,All areas,Male,8.64264
2008,SL_DOM_TSPDDC,Armenia,15-24,Urban,Female,9.79583
2008,SL_DOM_TSPDDC,Armenia,15+,Urban,Female,16.75417
2008,SL_DOM_TSPDDC,Armenia,65+,Rural,Male,7.84583
2008,SL_DOM_TSPDDC,Armenia,25-44,Rural,Female,27.5625
2008,SL_DOM_TSPDDC,Armenia,15+,All areas,Female,18.4
2008,SL_DOM_TSPDDC,Armenia,25-44,All areas,Male,3.04167
2008,SL_DOM_TSPDDC,Armenia,45-54,Rural,Female,22.87083
2008,SL_DOM_TSPDDC,Armenia,65+,Urban,Male,5.52917
2011,SL_DOM_TSPDDC,Serbia,15+,Rural,Female,20.27284
2011,SL_DOM_TSPDDC,Serbia,45-54,All areas,Female,20.84264
2011,SL_DOM_TSPDDC,Serbia,15+,All areas,Female,18.29543
2011,SL_DOM_TSPDDC,Serbia,15-24,All areas,Female,6.61296
2011,SL_DOM_TSPDDC,Serbia,25-44,All areas,Female,17.02855
2011,SL_DOM_TSPDDC,Serbia,55-64,All areas,Female,22.87012
2011,SL_DOM_TSPDDC,Serbia,45-54,Urban,Male,9.80209
2011,SL_DOM_TSPDDC,Serbia,55-64,Urban,Male,10.21603
2011,SL_DOM_TSPDDC,Serbia,45-54,Rural,Male,9.75934
2011,SL_DOM_TSPDDC,Serbia,15+,Urban,Male,7.76919
2011,SL_DOM_TSPDDC,Serbia,15+,Rural,Male,9.72164
2011,SL_DOM_TSPDDC,Serbia,15-24,Rural,Male,4.04386
2011,SL_DOM_TSPDDC,Serbia,25-44,Rural,Male,6.23571
2011,SL_DOM_TSPDDC,Serbia,15-24,Urban,Male,2.701
2015,SL_DOM_TSPDDC,Serbia,15+,Urban,Female,14.07359
2015,SL_DOM_TSPDDC,Serbia,25-44,Rural,Female,15.86988
2015,SL_DOM_TSPDDC,Serbia,45-54,Urban,Male,6.28455
2015,SL_DOM_TSPDDC,Serbia,55-64,Urban,Male,10.18319
2015,SL_DOM_TSPDDC,Serbia,65+,Urban,Male,10.15228
2015,SL_DOM_TSPDDC,Serbia,45-54,Rural,Male,8.04272
2015,SL_DOM_TSPDDC,Serbia,55-64,Rural,Male,10.22844
2015,SL_DOM_TSPDDC,Serbia,25-44,Rural,Male,5.78878
2015,SL_DOM_TSPDDC,Serbia,15-24,Rural,Male,4.16382
2015,SL_DOM_TSPDDC,Serbia,55-64,Rural,Female,20.60972
2015,SL_DOM_TSPDDC,Serbia,65+,All areas,Female,16.00051
2015,SL_DOM_TSPDDC,Serbia,45-54,All areas,Female,17.38402
2015,SL_DOM_TSPDDC,Serbia,55-64,All areas,Female,20.57271
2015,SL_DOM_TSPDDC,Serbia,25-44,All areas,Female,13.7134
2015,SL_DOM_TSPDDC,Serbia,15-24,All areas,Female,6.17299
2015,SL_DOM_TSPDDC,Serbia,15+,All areas,Female,15.16152
2015,SL_DOM_TSPDDC,Serbia,15-24,All areas,Male,4.23312
2015,SL_DOM_TSPDDC,Serbia,15+,Rural,Female,16.87554
2008,SL_DOM_TSPDDC,Armenia,55-64,All areas,Female,18.16667
2008,SL_DOM_TSPDDC,Armenia,45-54,All areas,Female,22.09167
2008,SL_DOM_TSPDDC,Armenia,25-44,All areas,Female,20.525
2008,SL_DOM_TSPDDC,Armenia,15-24,All areas,Female,11.12917
2008,SL_DOM_TSPDDC,Armenia,15-24,All areas,Male,3.13333
2008,SL_DOM_TSPDDC,Armenia,15+,Rural,Female,22.1875
2008,SL_DOM_TSPDDC,Armenia,15+,Rural,Male,5.65417
2008,SL_DOM_TSPDDC,Armenia,55-64,Rural,Male,3.925
2015,SL_DOM_TSPDDC,Serbia,15-24,Urban,Female,4.83431
2015,SL_DOM_TSPDDC,Serbia,55-64,Urban,Female,20.54522
2015,SL_DOM_TSPDDC,Serbia,25-44,Urban,Female,12.45363
2015,SL_DOM_TSPDDC,Serbia,45-54,Urban,Female,15.32039
2015,SL_DOM_TSPDDC,Serbia,65+,Urban,Female,16.21326
2015,SL_DOM_TSPDDC,Serbia,25-44,Urban,Male,4.63779
2015,SL_DOM_TSPDDC,Serbia,65+,Rural,Female,15.7272
2015,SL_DOM_TSPDDC,Serbia,45-54,Rural,Female,20.93047
2008,SL_DOM_TSPDDC,Armenia,65+,Rural,Female,22.27917
2008,SL_DOM_TSPDDC,Armenia,55-64,Rural,Female,16.85417
2008,SL_DOM_TSPDDC,Armenia,15-24,Rural,Male,5.6375
2000,SL_DOM_TSPDDC,Belgium,12+,All areas,Male,8.26389
2000,SL_DOM_TSPDDC,Belgium,12+,All areas,Female,14.09722
2005,SL_DOM_TSPDDC,Belgium,12+,All areas,Female,13.19444
2005,SL_DOM_TSPDDC,Belgium,12+,All areas,Male,8.26389
2013,SL_DOM_TSPDDC,Belgium,15-24,All areas,Female,4.93083
2015,SL_DOM_TSPDDC,Serbia,15+,Rural,Male,7.27329
2015,SL_DOM_TSPDDC,Serbia,65+,Rural,Male,8.4651
2015,SL_DOM_TSPDDC,Serbia,15+,Urban,Male,6.82936
2015,SL_DOM_TSPDDC,Serbia,15-24,Urban,Male,4.2886
2015,SL_DOM_TSPDDC,Serbia,45-54,All areas,Male,7.00734
2015,SL_DOM_TSPDDC,Serbia,15-24,Rural,Female,9.15651
2015,SL_DOM_TSPDDC,Serbia,15+,All areas,Male,7.01504
2015,SL_DOM_TSPDDC,Serbia,25-44,All areas,Male,5.08865
2013,SL_DOM_TSPDDC,Belgium,15+,All areas,Female,2.11625
2013,SL_DOM_TSPDDC,Belgium,65+,All areas,Male,15.03667
2013,SL_DOM_TSPDDC,Belgium,25-44,All areas,Male,5.23875
2013,SL_DOM_TSPDDC,Belgium,15-24,All areas,Male,3.92042
2013,SL_DOM_TSPDDC,Belgium,15+,All areas,Male,1.96333
2013,SL_DOM_TSPDDC,Belgium,12+,All areas,Male,8.95833
2013,SL_DOM_TSPDDC,Belgium,12+,All areas,Female,13.81944
2013,SL_DOM_TSPDDC,Belgium,25-44,All areas,Female,8.18708
2015,SL_DOM_TSPDDC,Serbia,65+,All areas,Male,9.44416
2015,SL_DOM_TSPDDC,Serbia,55-64,All areas,Male,10.20366
2001,SL_DOM_TSPDDC,Slovenia,20-74,All areas,Female,18.26389
2001,SL_DOM_TSPDDC,Slovenia,20-74,All areas,Male,10.13889
2003,SL_DOM_TSPDDC,Spain,20-74,All areas,Female,17.08333
2003,SL_DOM_TSPDDC,Spain,20-74,All areas,Male,5.55556
2010,SL_DOM_TSPDDC,Spain,20-74,All areas,Male,6.94444
2010,SL_DOM_TSPDDC,Spain,20-74,All areas,Female,15.97222
2013,SL_DOM_TSPDDC,Belgium,55-64,All areas,Female,13.64083
2013,SL_DOM_TSPDDC,Belgium,45-54,All areas,Female,10.16167
2013,SL_DOM_TSPDDC,Belgium,65+,All areas,Female,26.95875
2013,SL_DOM_TSPDDC,Belgium,55-64,All areas,Male,9.16458
2013,SL_DOM_TSPDDC,Belgium,45-54,All areas,Male,5.67167
2002,SL_DOM_TSPDDC,Bulgaria,20-74,All areas,Female,19.16667
2002,SL_DOM_TSPDDC,Bulgaria,20-74,All areas,Male,10.34722
2010,SL_DOM_TSPDDC,Bulgaria,20-74,All areas,Male,8.88889
2010,SL_DOM_TSPDDC,Bulgaria,20-74,All areas,Female,17.43056
2001,SL_DOM_TSPDDC,Sweden,65+,All areas,Female,18.48261
2001,SL_DOM_TSPDDC,Sweden,20+,All areas,Male,11.08427
2001,SL_DOM_TSPDDC,Sweden,65+,All areas,Male,15.63314
2001,SL_DOM_TSPDDC,Sweden,55-64,All areas,Male,12.33955
2001,SL_DOM_TSPDDC,Sweden,45-54,All areas,Male,11.20735
2001,SL_DOM_TSPDDC,Sweden,25-44,All areas,Male,9.37935
2001,SL_DOM_TSPDDC,Sweden,20-64,All areas,Male,10.13889
2001,SL_DOM_TSPDDC,Sweden,20-64,All areas,Female,14.30556
2001,SL_DOM_TSPDDC,Sweden,25-44,All areas,Female,14.23264
2001,SL_DOM_TSPDDC,Sweden,20-24,All areas,Female,8.37221
2001,SL_DOM_TSPDDC,Sweden,45-54,All areas,Female,14.73061
2001,SL_DOM_TSPDDC,Sweden,55-64,All areas,Female,16.56036
2001,SL_DOM_TSPDDC,Sweden,20+,All areas,Female,15.1371
2001,SL_DOM_TSPDDC,Sweden,20-24,All areas,Male,7.19963
2011,SL_DOM_TSPDDC,Sweden,65+,All areas,Female,17.66819
2011,SL_DOM_TSPDDC,Sweden,55-64,All areas,Female,15.21864
2011,SL_DOM_TSPDDC,Sweden,20-64,All areas,Male,10.625
2011,SL_DOM_TSPDDC,Sweden,25-44,All areas,Male,10.14152
2011,SL_DOM_TSPDDC,Sweden,45-54,All areas,Female,13.84124
2011,SL_DOM_TSPDDC,Sweden,25-44,All areas,Female,12.49712
2015,SL_DOM_TSPDDC,Belarus,10+,All areas,Female,16.94444
2015,SL_DOM_TSPDDC,Belarus,10+,All areas,Male,8.81944
2005,SL_DOM_TSPDDC,Canada,15+,All areas,Female,13.33333
2005,SL_DOM_TSPDDC,Canada,15+,All areas,Male,8.75
2010,SL_DOM_TSPDDC,Canada,15+,All areas,Female,13.33333
2010,SL_DOM_TSPDDC,Canada,15+,All areas,Male,8.75
2015,SL_DOM_TSPDDC,Canada,25-44,All areas,Female,10.83333
2015,SL_DOM_TSPDDC,Canada,15-24,All areas,Female,6.25
2015,SL_DOM_TSPDDC,Canada,15+,All areas,Female,12.08333
2015,SL_DOM_TSPDDC,Canada,15+,All areas,Male,8.75
