Year,SeriesCode,Country,Age,Disability status,Location,Population Group,Quantile,Service Attribute,Sex,Value
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,QUALITY,Both sexes,92
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,EQUALITY,Both sexes,91
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ATTITUDE,Both sexes,92
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,AVERAGE,Both sexes,92
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ACCESS,Male,97
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,AFFORD,Male,90
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,QUALITY,Male,92
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,,AVERAGE,Both sexes,91
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,,ACCESS,Both sexes,99
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,,AFFORD,Both sexes,90
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,,QUALITY,Both sexes,98
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,,EQUALITY,Both sexes,93
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,,ATTITUDE,Both sexes,96
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,,AVERAGE,Both sexes,95
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ACCESS,Both sexes,98
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,,ACCESS,Both sexes,98
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,AFFORD,Both sexes,88
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,EQUALITY,Male,90
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ATTITUDE,Male,91
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,AVERAGE,Male,92
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ATTITUDE,Female,93
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,AVERAGE,Female,92
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,,AFFORD,Both sexes,88
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,,QUALITY,Both sexes,90
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,,ATTITUDE,Both sexes,91
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,,EQUALITY,Both sexes,90
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ACCESS,Female,98
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,AFFORD,Female,86
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,QUALITY,Female,92
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,EQUALITY,Female,91
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,Total or no breakdown,All areas,TOTAL,,QUALITY,Male,71
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,Total or no breakdown,All areas,TOTAL,,ATTITUDE,Male,76
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,Total or no breakdown,All areas,TOTAL,,ACCESS,Female,80
