Year,SeriesCode,Country,Age,Disability status,Population Group,Sex,Type of occupation,Value
2021,SG_DMK_JDC_LWR,Austria,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.25
2021,SG_DMK_JDC_LWR,Austria,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.18
2022,SG_DMK_JDC_LWR,Austria,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,0.76
2022,SG_DMK_JDC_LWR,Austria,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.28
2022,SG_DMK_JDC_LWR,Austria,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.21
2022,SG_DMK_JDC_LWR,Austria,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.63
2021,SG_DMK_JDC_LWR,Bosnia and Herzegovina,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.26
2020,SG_DMK_JDC_LWR,Croatia,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.74
2020,SG_DMK_JDC_LWR,Croatia,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.48
2021,SG_DMK_JDC_LWR,Croatia,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.73
2021,SG_DMK_JDC_LWR,Croatia,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.5
2021,SG_DMK_JDC_LWR,Croatia,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,0.98
2021,SG_DMK_JDC_LWR,Croatia,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.5
2020,SG_DMK_JDC_LWR,Cyprus,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.39
2020,SG_DMK_JDC_LWR,Cyprus,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.06
2021,SG_DMK_JDC_LWR,Cyprus,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.43
2021,SG_DMK_JDC_LWR,Cyprus,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.07
2021,SG_DMK_JDC_LWR,Cyprus,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,1.37
2021,SG_DMK_JDC_LWR,Cyprus,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.08
2021,SG_DMK_JDC_LWR,Czechia,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.34
2022,SG_DMK_JDC_LWR,Czechia,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.45
2022,SG_DMK_JDC_LWR,Czechia,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.32
