Year,SeriesCode,Country,Age,Disability status,Education level,Location,Population Group,Quantile,Sex,Value
2022,IU_DMK_RESP,Colombia,35-44,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,20.0
2022,IU_DMK_RESP,Colombia,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,POP_C,,Both sexes,20.6
2022,IU_DMK_RESP,Colombia,25-34,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,18.7
2022,IU_DMK_RESP,Colombia,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Female,20.1
2022,IU_DMK_RESP,Colombia,65+,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,24.0
2022,IU_DMK_RESP,Colombia,45-54,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,21.0
2022,IU_DMK_RESP,Colombia,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,20.6
2022,IU_DMK_RESP,Colombia,<25Y,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,18.8
2022,IU_DMK_RESP,Colombia,55-64,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,22.1
2022,IU_DMK_RESP,Colombia,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,POP_B,,Both sexes,19.8
2022,IU_DMK_RESP,Colombia,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Male,21.0
2022,IU_DMK_RESP,Colombia,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,POP_A,,Both sexes,20.9
2022,IU_DMK_RESP,Republic of Korea,ALLAGE,Total or no breakdown,Total or no breakdown,Rural,TOTAL,,Both sexes,18.7
2022,IU_DMK_RESP,Republic of Korea,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Male,21.1
2022,IU_DMK_RESP,Republic of Korea,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Female,19.6
2022,IU_DMK_RESP,Republic of Korea,ALLAGE,Total or no breakdown,Total or no breakdown,Urban,TOTAL,,Both sexes,23.1
2022,IU_DMK_RESP,Republic of Korea,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,20.9
2022,IU_DMK_RESP,Republic of Korea,ALLAGE,Total or no breakdown,Total or no breakdown,All areas,TOTAL,,Both sexes,20.9
