Year,SeriesCode,Country,Quantile,Value
2008,SI_COV_SOCINS,Albania,Quantile 1 (poorest),48.43734
2008,SI_COV_SOCINS,Albania,Total or no breakdown,45.93881
2012,SI_COV_SOCINS,Albania,Quantile 1 (poorest),38.22971
2012,SI_COV_SOCINS,Albania,Total or no breakdown,36.25506
2015,SI_COV_SOCINS,Azerbaijan,Quantile 1 (poorest),56.98233
2015,SI_COV_SOCINS,Azerbaijan,Total or no breakdown,50.6121
2008,SI_COV_SOCINS,Armenia,Total or no breakdown,49.99086
2008,SI_COV_SOCINS,Armenia,Quantile 1 (poorest),55.33722
2009,SI_COV_SOCINS,Armenia,Quantile 1 (poorest),55.07897
2009,SI_COV_SOCINS,Armenia,Total or no breakdown,51.284
2010,SI_COV_SOCINS,Armenia,Quantile 1 (poorest),54.16628
2010,SI_COV_SOCINS,Armenia,Total or no breakdown,52.10611
2011,SI_COV_SOCINS,Armenia,Quantile 1 (poorest),53.53614
2011,SI_COV_SOCINS,Armenia,Total or no breakdown,52.87971
2012,SI_COV_SOCINS,Armenia,Quantile 1 (poorest),56.42332
2012,SI_COV_SOCINS,Armenia,Total or no breakdown,53.36276
2013,SI_COV_SOCINS,Armenia,Total or no breakdown,53.03151
2013,SI_COV_SOCINS,Armenia,Quantile 1 (poorest),56.69281
2014,SI_COV_SOCINS,Armenia,Quantile 1 (poorest),56.99563
2014,SI_COV_SOCINS,Armenia,Total or no breakdown,54.75134
2015,SI_COV_SOCINS,Armenia,Quantile 1 (poorest),56.56097
2015,SI_COV_SOCINS,Armenia,Total or no breakdown,53.41843
2016,SI_COV_SOCINS,Armenia,Quantile 1 (poorest),55.48178
2016,SI_COV_SOCINS,Armenia,Total or no breakdown,51.89175
2017,SI_COV_SOCINS,Armenia,Quantile 1 (poorest),57.52963
2017,SI_COV_SOCINS,Armenia,Total or no breakdown,55.05737
2018,SI_COV_SOCINS,Armenia,Quantile 1 (poorest),55.90557
2018,SI_COV_SOCINS,Armenia,Total or no breakdown,52.32998
2007,SI_COV_SOCINS,Bosnia and Herzegovina,Total or no breakdown,41.52379
2007,SI_COV_SOCINS,Bosnia and Herzegovina,Quantile 1 (poorest),36.91917
2015,SI_COV_SOCINS,Bosnia and Herzegovina,Quantile 1 (poorest),37.2437
2015,SI_COV_SOCINS,Bosnia and Herzegovina,Total or no breakdown,40.16296
2007,SI_COV_SOCINS,Bulgaria,Quantile 1 (poorest),48.19672
2007,SI_COV_SOCINS,Bulgaria,Total or no breakdown,47.71536
2008,SI_COV_SOCINS,Belarus,Quantile 1 (poorest),39.38569
2008,SI_COV_SOCINS,Belarus,Total or no breakdown,43.08533
2009,SI_COV_SOCINS,Belarus,Quantile 1 (poorest),36.75283
2009,SI_COV_SOCINS,Belarus,Total or no breakdown,40.88504
2010,SI_COV_SOCINS,Belarus,Total or no breakdown,42.38952
2010,SI_COV_SOCINS,Belarus,Quantile 1 (poorest),37.15201
2012,SI_COV_SOCINS,Belarus,Quantile 1 (poorest),42.49706
2012,SI_COV_SOCINS,Belarus,Total or no breakdown,47.92547
2013,SI_COV_SOCINS,Belarus,Quantile 1 (poorest),48.98092
2013,SI_COV_SOCINS,Belarus,Total or no breakdown,48.6875
2014,SI_COV_SOCINS,Belarus,Quantile 1 (poorest),39.41911
2014,SI_COV_SOCINS,Belarus,Total or no breakdown,47.1448
2015,SI_COV_SOCINS,Belarus,Total or no breakdown,49.69061
2015,SI_COV_SOCINS,Belarus,Quantile 1 (poorest),40.68515
2016,SI_COV_SOCINS,Belarus,Quantile 1 (poorest),39.14599
2016,SI_COV_SOCINS,Belarus,Total or no breakdown,49.98795
2017,SI_COV_SOCINS,Belarus,Quantile 1 (poorest),42.9981
2017,SI_COV_SOCINS,Belarus,Total or no breakdown,50.66548
2018,SI_COV_SOCINS,Belarus,Total or no breakdown,48.91627
2018,SI_COV_SOCINS,Belarus,Quantile 1 (poorest),41.22598
2019,SI_COV_SOCINS,Belarus,Quantile 1 (poorest),41.4284
2019,SI_COV_SOCINS,Belarus,Total or no breakdown,47.47545
2006,SI_COV_SOCINS,Chile,Quantile 1 (poorest),24.4576
2006,SI_COV_SOCINS,Chile,Total or no breakdown,31.87976
2009,SI_COV_SOCINS,Chile,Quantile 1 (poorest),36.86726
2009,SI_COV_SOCINS,Chile,Total or no breakdown,41.25616
2011,SI_COV_SOCINS,Chile,Quantile 1 (poorest),15.62684
2011,SI_COV_SOCINS,Chile,Total or no breakdown,23.64044
2013,SI_COV_SOCINS,Chile,Quantile 1 (poorest),40.72819
