Year,SeriesCode,Country,Age,Location,Sex,Value
2002,SI_POV_NAHC,Albania,,All areas,,25.4
2005,SI_POV_NAHC,Albania,,All areas,,18.5
2008,SI_POV_NAHC,Albania,,All areas,,12.4
2012,SI_POV_NAHC,Albania,,All areas,,14.3
2016,SI_POV_NAHC,Albania,,All areas,,23.7
2017,SI_POV_NAHC,Albania,,All areas,,23.4
2018,SI_POV_NAHC,Albania,,All areas,,23.0
2019,SI_POV_NAHC,Albania,,All areas,,21.8
2001,SI_POV_NAHC,Azerbaijan,,All areas,,49.6
2007,SI_POV_NAHC,Azerbaijan,,All areas,,15.8
2008,SI_POV_NAHC,Azerbaijan,,All areas,,13.2
2009,SI_POV_NAHC,Azerbaijan,,All areas,,10.9
2010,SI_POV_NAHC,Azerbaijan,,All areas,,9.1
2011,SI_POV_NAHC,Azerbaijan,,All areas,,7.6
2012,SI_POV_NAHC,Azerbaijan,,All areas,,6.0
2002,SI_POV_NAHC,Austria,,All areas,,13.2
2003,SI_POV_NAHC,Austria,,All areas,,13.0
2004,SI_POV_NAHC,Austria,,All areas,,12.6
2005,SI_POV_NAHC,Austria,,All areas,,12.6
2006,SI_POV_NAHC,Austria,,All areas,,12.0
2007,SI_POV_NAHC,Austria,,All areas,,15.2
2008,SI_POV_NAHC,Austria,,All areas,,14.5
2009,SI_POV_NAHC,Austria,,All areas,,14.7
2010,SI_POV_NAHC,Austria,,All areas,,14.5
2011,SI_POV_NAHC,Austria,,All areas,,14.4
2012,SI_POV_NAHC,Austria,,All areas,,14.4
2013,SI_POV_NAHC,Austria,,All areas,,14.1
2014,SI_POV_NAHC,Austria,,All areas,,13.9
2015,SI_POV_NAHC,Austria,,All areas,,14.1
2016,SI_POV_NAHC,Austria,,All areas,,14.4
2017,SI_POV_NAHC,Austria,,All areas,,14.3
2018,SI_POV_NAHC,Austria,,All areas,,13.3
2019,SI_POV_NAHC,Austria,,All areas,,13.9
2020,SI_POV_NAHC,Austria,,All areas,,14.7
2019,SI_POV_NAHC,Armenia,,All areas,,26.4
2020,SI_POV_NAHC,Armenia,,All areas,,27.0
2021,SI_POV_NAHC,Armenia,,All areas,,26.5
2018,SI_POV_NAHC,Belgium,,All areas,,14.8
2019,SI_POV_NAHC,Belgium,,All areas,,14.1
2020,SI_POV_NAHC,Belgium,,All areas,,12.7
2004,SI_POV_NAHC,Bosnia and Herzegovina,,All areas,,17.7
2007,SI_POV_NAHC,Bosnia and Herzegovina,,All areas,,18.2
2011,SI_POV_NAHC,Bosnia and Herzegovina,,All areas,,17.9
2015,SI_POV_NAHC,Bosnia and Herzegovina,,All areas,,16.9
2015,SI_POV_NAHC,Bulgaria,,All areas,,22.9
2016,SI_POV_NAHC,Bulgaria,,All areas,,23.4
2017,SI_POV_NAHC,Bulgaria,,All areas,,22.0
2018,SI_POV_NAHC,Bulgaria,,All areas,,22.6
2019,SI_POV_NAHC,Bulgaria,,All areas,,23.8
2020,SI_POV_NAHC,Bulgaria,,All areas,,22.1
2000,SI_POV_NAHC,Belarus,,All areas,,41.9
2001,SI_POV_NAHC,Belarus,,All areas,,28.9
2002,SI_POV_NAHC,Belarus,,All areas,,30.5
2003,SI_POV_NAHC,Belarus,,All areas,,27.1
2004,SI_POV_NAHC,Belarus,,All areas,,17.8
2005,SI_POV_NAHC,Belarus,,All areas,,12.7
2006,SI_POV_NAHC,Belarus,,All areas,,11.1
2007,SI_POV_NAHC,Belarus,,All areas,,7.7
2008,SI_POV_NAHC,Belarus,,All areas,,6.1
2009,SI_POV_NAHC,Belarus,,All areas,,5.4
2010,SI_POV_NAHC,Belarus,,All areas,,5.2
2011,SI_POV_NAHC,Belarus,,All areas,,7.3
2012,SI_POV_NAHC,Belarus,,All areas,,6.3
2013,SI_POV_NAHC,Belarus,,All areas,,5.5
2014,SI_POV_NAHC,Belarus,,All areas,,4.8
2015,SI_POV_NAHC,Belarus,,All areas,,5.1
2016,SI_POV_NAHC,Belarus,,All areas,,5.7
2017,SI_POV_NAHC,Belarus,,All areas,,5.9
2018,SI_POV_NAHC,Belarus,,All areas,,5.6
2019,SI_POV_NAHC,Belarus,,All areas,,5.0
2020,SI_POV_NAHC,Belarus,,All areas,,4.8
2000,SI_POV_NAHC,Chile,,All areas,,36.0
2003,SI_POV_NAHC,Chile,,All areas,,35.4
2006,SI_POV_NAHC,Chile,,All areas,,29.1
2009,SI_POV_NAHC,Chile,,All areas,,25.3
2011,SI_POV_NAHC,Chile,,All areas,,22.2
2013,SI_POV_NAHC,Chile,,All areas,,14.4
2015,SI_POV_NAHC,Chile,,All areas,,11.7
2017,SI_POV_NAHC,Chile,,All areas,,8.6
2020,SI_POV_NAHC,Chile,,All areas,,10.8
2000,SI_POV_NAHC,China,,All areas,,49.8
2005,SI_POV_NAHC,China,,All areas,,30.2
2010,SI_POV_NAHC,China,,All areas,,17.2
2011,SI_POV_NAHC,China,,All areas,,12.7
2012,SI_POV_NAHC,China,,All areas,,10.2
2013,SI_POV_NAHC,China,,All areas,,8.5
2014,SI_POV_NAHC,China,,All areas,,7.2
2015,SI_POV_NAHC,China,,All areas,,5.7
2016,SI_POV_NAHC,China,,All areas,,4.5
2017,SI_POV_NAHC,China,,All areas,,3.1
2018,SI_POV_NAHC,China,,All areas,,1.7
2019,SI_POV_NAHC,China,,All areas,,0.6
2020,SI_POV_NAHC,China,,All areas,,0.0
2019,SI_POV_NAHC,Colombia,,All areas,,35.7
2020,SI_POV_NAHC,Colombia,,All areas,,42.5
2021,SI_POV_NAHC,Colombia,,All areas,,39.3
2000,SI_POV_NAHC,Costa Rica,,All areas,,20.6
2001,SI_POV_NAHC,Costa Rica,,All areas,,20.3
2002,SI_POV_NAHC,Costa Rica,,All areas,,20.6
2003,SI_POV_NAHC,Costa Rica,,All areas,,18.5
2004,SI_POV_NAHC,Costa Rica,,All areas,,21.7
2005,SI_POV_NAHC,Costa Rica,,All areas,,21.2
2006,SI_POV_NAHC,Costa Rica,,All areas,,20.2
2007,SI_POV_NAHC,Costa Rica,,All areas,,16.7
2008,SI_POV_NAHC,Costa Rica,,All areas,,17.7
2009,SI_POV_NAHC,Costa Rica,,All areas,,18.5
2011,SI_POV_NAHC,Costa Rica,,All areas,,24.8
2012,SI_POV_NAHC,Costa Rica,,All areas,,23.5
2013,SI_POV_NAHC,Costa Rica,,All areas,,23.3
2014,SI_POV_NAHC,Costa Rica,,All areas,,24.6
2015,SI_POV_NAHC,Costa Rica,,All areas,,23.6
2016,SI_POV_NAHC,Costa Rica,,All areas,,22.9
2017,SI_POV_NAHC,Costa Rica,,All areas,,22.1
2018,SI_POV_NAHC,Costa Rica,,All areas,,22.9
2019,SI_POV_NAHC,Costa Rica,,All areas,,23.9
2020,SI_POV_NAHC,Costa Rica,,All areas,,30.0
2009,SI_POV_NAHC,Croatia,,All areas,,20.6
2010,SI_POV_NAHC,Croatia,,All areas,,20.9
2011,SI_POV_NAHC,Croatia,,All areas,,20.4
2012,SI_POV_NAHC,Croatia,,All areas,,19.5
2013,SI_POV_NAHC,Croatia,,All areas,,19.4
2014,SI_POV_NAHC,Croatia,,All areas,,20.0
2015,SI_POV_NAHC,Croatia,,All areas,,19.5
2016,SI_POV_NAHC,Croatia,,All areas,,20.0
2017,SI_POV_NAHC,Croatia,,All areas,,19.3
2018,SI_POV_NAHC,Croatia,,All areas,,18.3
2019,SI_POV_NAHC,Croatia,,All areas,,18.3
2020,SI_POV_NAHC,Croatia,,All areas,,19.2
2004,SI_POV_NAHC,Cyprus,,All areas,,16.1
2005,SI_POV_NAHC,Cyprus,,All areas,,15.6
2006,SI_POV_NAHC,Cyprus,,All areas,,15.5
2007,SI_POV_NAHC,Cyprus,,All areas,,15.9
2008,SI_POV_NAHC,Cyprus,,All areas,,15.8
2009,SI_POV_NAHC,Cyprus,,All areas,,15.6
2010,SI_POV_NAHC,Cyprus,,All areas,,14.8
2011,SI_POV_NAHC,Cyprus,,All areas,,14.7
2012,SI_POV_NAHC,Cyprus,,All areas,,15.3
2013,SI_POV_NAHC,Cyprus,,All areas,,14.4
2014,SI_POV_NAHC,Cyprus,,All areas,,16.2
2015,SI_POV_NAHC,Cyprus,,All areas,,16.1
2016,SI_POV_NAHC,Cyprus,,All areas,,15.7
2017,SI_POV_NAHC,Cyprus,,All areas,,15.4
2018,SI_POV_NAHC,Cyprus,,All areas,,14.7
2019,SI_POV_NAHC,Cyprus,,All areas,,14.3
