Year,SeriesCode,Country,Location,Value
2000,EN_LND_SLUM,Mexico,Urban,32.16297
2002,EN_LND_SLUM,Mexico,Urban,30.44793
2004,EN_LND_SLUM,Mexico,Urban,28.73289
2006,EN_LND_SLUM,Mexico,Urban,27.01784
2008,EN_LND_SLUM,Mexico,Urban,25.3028
2010,EN_LND_SLUM,Mexico,Urban,23.58776
2012,EN_LND_SLUM,Mexico,Urban,21.87272
2014,EN_LND_SLUM,Mexico,Urban,20.15767
2016,EN_LND_SLUM,Mexico,Urban,18.44263
2018,EN_LND_SLUM,Mexico,Urban,17.6
2020,EN_LND_SLUM,Mexico,Urban,17.6
2000,EN_LND_SLUM,Moldova,Urban,26.5
2002,EN_LND_SLUM,Moldova,Urban,23.7
2004,EN_LND_SLUM,Moldova,Urban,20.8
2006,EN_LND_SLUM,Moldova,Urban,18.0
2008,EN_LND_SLUM,Moldova,Urban,15.1
2010,EN_LND_SLUM,Moldova,Urban,12.3
2012,EN_LND_SLUM,Moldova,Urban,9.4
2014,EN_LND_SLUM,Moldova,Urban,6.5
2016,EN_LND_SLUM,Moldova,Urban,6.5
2018,EN_LND_SLUM,Moldova,Urban,6.5
2000,EN_LND_SLUM,Montenegro,Urban,19.1
2002,EN_LND_SLUM,Montenegro,Urban,19.1
2004,EN_LND_SLUM,Montenegro,Urban,18.5
2000,EN_LND_SLUM,Albania,Urban,28.1
2002,EN_LND_SLUM,Albania,Urban,25.5
2004,EN_LND_SLUM,Albania,Urban,23.0
2006,EN_LND_SLUM,Albania,Urban,20.5
2008,EN_LND_SLUM,Albania,Urban,17.9
2010,EN_LND_SLUM,Albania,Urban,15.4
2012,EN_LND_SLUM,Albania,Urban,12.9
2014,EN_LND_SLUM,Albania,Urban,10.3
2016,EN_LND_SLUM,Albania,Urban,7.8
2018,EN_LND_SLUM,Albania,Urban,5.3
2020,EN_LND_SLUM,Albania,Urban,2.8
2000,EN_LND_SLUM,Azerbaijan,Urban,50.94
2002,EN_LND_SLUM,Azerbaijan,Urban,44.93667
2004,EN_LND_SLUM,Azerbaijan,Urban,38.93333
2006,EN_LND_SLUM,Azerbaijan,Urban,32.93
2008,EN_LND_SLUM,Azerbaijan,Urban,26.92667
2010,EN_LND_SLUM,Azerbaijan,Urban,26.92667
2012,EN_LND_SLUM,Azerbaijan,Urban,26.92667
2000,EN_LND_SLUM,Austria,Urban,4.5
2002,EN_LND_SLUM,Austria,Urban,4.4
2004,EN_LND_SLUM,Austria,Urban,4.4
2006,EN_LND_SLUM,Austria,Urban,4.4
2000,EN_LND_SLUM,Armenia,Urban,12.79599
2002,EN_LND_SLUM,Armenia,Urban,12.30696
2004,EN_LND_SLUM,Armenia,Urban,11.81793
2006,EN_LND_SLUM,Armenia,Urban,11.3289
2008,EN_LND_SLUM,Armenia,Urban,10.83987
2010,EN_LND_SLUM,Armenia,Urban,10.35084
2012,EN_LND_SLUM,Armenia,Urban,9.86181
2014,EN_LND_SLUM,Armenia,Urban,9.37278
2016,EN_LND_SLUM,Armenia,Urban,8.88375
2018,EN_LND_SLUM,Armenia,Urban,8.39472
2020,EN_LND_SLUM,Armenia,Urban,8.39472
2000,EN_LND_SLUM,Bosnia and Herzegovina,Urban,5.1
2002,EN_LND_SLUM,Bosnia and Herzegovina,Urban,5.1
2004,EN_LND_SLUM,Bosnia and Herzegovina,Urban,5.1
2006,EN_LND_SLUM,Montenegro,Urban,17.3
2008,EN_LND_SLUM,Montenegro,Urban,16.1
2010,EN_LND_SLUM,Montenegro,Urban,14.9
2012,EN_LND_SLUM,Montenegro,Urban,13.6
2014,EN_LND_SLUM,Montenegro,Urban,12.4
2016,EN_LND_SLUM,Montenegro,Urban,11.2
2018,EN_LND_SLUM,Montenegro,Urban,10.0
2020,EN_LND_SLUM,Montenegro,Urban,8.8
2000,EN_LND_SLUM,Viet Nam,Urban,45.31667
2002,EN_LND_SLUM,Viet Nam,Urban,40.37283
2004,EN_LND_SLUM,Viet Nam,Urban,35.429
2006,EN_LND_SLUM,Viet Nam,Urban,30.48516
2006,EN_LND_SLUM,Bosnia and Herzegovina,Urban,4.9
2008,EN_LND_SLUM,Bosnia and Herzegovina,Urban,4.7
2010,EN_LND_SLUM,Bosnia and Herzegovina,Urban,4.5
2012,EN_LND_SLUM,Bosnia and Herzegovina,Urban,4.3
2014,EN_LND_SLUM,Bosnia and Herzegovina,Urban,4.0
