Year,SeriesCode,Страна ,Age,Location,Value
2000,SH_STA_STNT,Albania,<5Y,,29.5
2001,SH_STA_STNT,Albania,<5Y,,29.6
2002,SH_STA_STNT,Albania,<5Y,,29.5
2003,SH_STA_STNT,Albania,<5Y,,29.2
2004,SH_STA_STNT,Albania,<5Y,,28.5
2005,SH_STA_STNT,Albania,<5Y,,27.6
2006,SH_STA_STNT,Albania,<5Y,,26.3
2007,SH_STA_STNT,Albania,<5Y,,24.7
2008,SH_STA_STNT,Albania,<5Y,,22.9
2009,SH_STA_STNT,Albania,<5Y,,21.1
2010,SH_STA_STNT,Albania,<5Y,,19.3
2011,SH_STA_STNT,Albania,<5Y,,17.8
2012,SH_STA_STNT,Albania,<5Y,,16.4
2013,SH_STA_STNT,Albania,<5Y,,15.2
2014,SH_STA_STNT,Albania,<5Y,,14.3
2015,SH_STA_STNT,Albania,<5Y,,13.5
2016,SH_STA_STNT,Albania,<5Y,,12.7
2017,SH_STA_STNT,Albania,<5Y,,11.9
2018,SH_STA_STNT,India,<5Y,,35.4
2019,SH_STA_STNT,India,<5Y,,34.4
2020,SH_STA_STNT,India,<5Y,,33.5
2021,SH_STA_STNT,India,<5Y,,32.5
2022,SH_STA_STNT,India,<5Y,,31.7
2000,SH_STA_STNT,Japan,<5Y,,8.5
2001,SH_STA_STNT,Japan,<5Y,,8.5
2002,SH_STA_STNT,Japan,<5Y,,8.4
2003,SH_STA_STNT,Japan,<5Y,,8.3
2004,SH_STA_STNT,Japan,<5Y,,8.1
2005,SH_STA_STNT,Japan,<5Y,,8.0
2006,SH_STA_STNT,Japan,<5Y,,7.8
2007,SH_STA_STNT,Japan,<5Y,,7.6
2008,SH_STA_STNT,Japan,<5Y,,7.4
2009,SH_STA_STNT,Japan,<5Y,,7.2
2010,SH_STA_STNT,Japan,<5Y,,7.0
2011,SH_STA_STNT,Japan,<5Y,,6.7
2012,SH_STA_STNT,Japan,<5Y,,6.5
2013,SH_STA_STNT,Japan,<5Y,,6.3
2014,SH_STA_STNT,Japan,<5Y,,6.1
2015,SH_STA_STNT,Japan,<5Y,,6.0
2016,SH_STA_STNT,Japan,<5Y,,5.8
2017,SH_STA_STNT,Japan,<5Y,,5.7
2018,SH_STA_STNT,Japan,<5Y,,5.5
2019,SH_STA_STNT,Japan,<5Y,,5.4
2020,SH_STA_STNT,Japan,<5Y,,5.2
2021,SH_STA_STNT,Japan,<5Y,,5.1
2022,SH_STA_STNT,Japan,<5Y,,5.0
2000,SH_STA_STNT,Казахстан,<5Y,,16.0
2001,SH_STA_STNT,Казахстан,<5Y,,16.1
2002,SH_STA_STNT,Казахстан,<5Y,,16.1
2003,SH_STA_STNT,Казахстан,<5Y,,16.1
2004,SH_STA_STNT,Казахстан,<5Y,,16.0
2005,SH_STA_STNT,Казахстан,<5Y,,16.0
2006,SH_STA_STNT,Казахстан,<5Y,,15.7
2007,SH_STA_STNT,Казахстан,<5Y,,15.2
2008,SH_STA_STNT,Казахстан,<5Y,,14.5
2009,SH_STA_STNT,Казахстан,<5Y,,13.7
2010,SH_STA_STNT,Казахстан,<5Y,,12.7
2011,SH_STA_STNT,Казахстан,<5Y,,11.8
2012,SH_STA_STNT,Казахстан,<5Y,,11.0
2013,SH_STA_STNT,Казахстан,<5Y,,10.2
2014,SH_STA_STNT,Казахстан,<5Y,,9.4
2015,SH_STA_STNT,Казахстан,<5Y,,8.7
2016,SH_STA_STNT,Казахстан,<5Y,,7.9
2017,SH_STA_STNT,Казахстан,<5Y,,7.4
2018,SH_STA_STNT,Казахстан,<5Y,,6.8
