Year,SeriesCode,GeoAreaName,Activity,Value
2000,NV_IND_MANFPC,Bulgaria,ISIC4_C,445.24
2001,NV_IND_MANFPC,Bulgaria,ISIC4_C,480.03
2002,NV_IND_MANFPC,Bulgaria,ISIC4_C,514.17
2003,NV_IND_MANFPC,Bulgaria,ISIC4_C,581.42
2004,NV_IND_MANFPC,Bulgaria,ISIC4_C,598.87
2005,NV_IND_MANFPC,Bulgaria,ISIC4_C,640.79
2006,NV_IND_MANFPC,Bulgaria,ISIC4_C,711.07
2007,NV_IND_MANFPC,Bulgaria,ISIC4_C,822.23
2008,NV_IND_MANFPC,Bulgaria,ISIC4_C,844.04
2009,NV_IND_MANFPC,Bulgaria,ISIC4_C,777.72
2010,NV_IND_MANFPC,Bulgaria,ISIC4_C,754.02
2011,NV_IND_MANFPC,Bulgaria,ISIC4_C,808.59
2012,NV_IND_MANFPC,Bulgaria,ISIC4_C,896.22
2013,NV_IND_MANFPC,Bulgaria,ISIC4_C,851.34
2014,NV_IND_MANFPC,Bulgaria,ISIC4_C,875.65
2015,NV_IND_MANFPC,Bulgaria,ISIC4_C,946.62
2016,NV_IND_MANFPC,Bulgaria,ISIC4_C,998.52
2017,NV_IND_MANFPC,Bulgaria,ISIC4_C,1024.11
2018,NV_IND_MANFPC,Bulgaria,ISIC4_C,1067.13
2019,NV_IND_MANFPC,Bulgaria,ISIC4_C,1092.07
2020,NV_IND_MANFPC,Bulgaria,ISIC4_C,966.22
2021,NV_IND_MANFPC,Bulgaria,ISIC4_C,1003.98
2022,NV_IND_MANFPC,Bulgaria,ISIC4_C,1054.48
2000,NV_IND_MANFPC,Belarus,ISIC4_C,414.51
2001,NV_IND_MANFPC,Belarus,ISIC4_C,447.03
2002,NV_IND_MANFPC,Belarus,ISIC4_C,480.72
2003,NV_IND_MANFPC,Belarus,ISIC4_C,531.67
2004,NV_IND_MANFPC,Belarus,ISIC4_C,642.9
2005,NV_IND_MANFPC,Belarus,ISIC4_C,740.24
2006,NV_IND_MANFPC,Belarus,ISIC4_C,846.17
2007,NV_IND_MANFPC,Belarus,ISIC4_C,921.2
2008,NV_IND_MANFPC,Belarus,ISIC4_C,1060.73
2009,NV_IND_MANFPC,Belarus,ISIC4_C,1040.77
2010,NV_IND_MANFPC,Belarus,ISIC4_C,1155.54
2011,NV_IND_MANFPC,Belarus,ISIC4_C,1271.24
2012,NV_IND_MANFPC,Belarus,ISIC4_C,1348.86
2013,NV_IND_MANFPC,Belarus,ISIC4_C,1283.71
2014,NV_IND_MANFPC,Belarus,ISIC4_C,1285.3
2015,NV_IND_MANFPC,Belarus,ISIC4_C,1201.44
2016,NV_IND_MANFPC,Belarus,ISIC4_C,1197.8
2017,NV_IND_MANFPC,Belarus,ISIC4_C,1279.91
2018,NV_IND_MANFPC,Belarus,ISIC4_C,1347.54
2019,NV_IND_MANFPC,Belarus,ISIC4_C,1367.52
2020,NV_IND_MANFPC,Belarus,ISIC4_C,1376.64
2021,NV_IND_MANFPC,Belarus,ISIC4_C,1465.62
2022,NV_IND_MANFPC,Belarus,ISIC4_C,1396.98
2000,NV_IND_MANFPC,Canada,ISIC4_C,5651.53
2001,NV_IND_MANFPC,Canada,ISIC4_C,5389.39
2002,NV_IND_MANFPC,Canada,ISIC4_C,5432.32
2003,NV_IND_MANFPC,Canada,ISIC4_C,5312.23
2004,NV_IND_MANFPC,Canada,ISIC4_C,5391.49
2005,NV_IND_MANFPC,Canada,ISIC4_C,5447.81
2006,NV_IND_MANFPC,Canada,ISIC4_C,5307.87
2007,NV_IND_MANFPC,Canada,ISIC4_C,5096.13
2008,NV_IND_MANFPC,Canada,ISIC4_C,4772.12
2009,NV_IND_MANFPC,Canada,ISIC4_C,4068.09
2010,NV_IND_MANFPC,Canada,ISIC4_C,4218.14
2011,NV_IND_MANFPC,Canada,ISIC4_C,4318.69
2012,NV_IND_MANFPC,Canada,ISIC4_C,4335.02
2013,NV_IND_MANFPC,Canada,ISIC4_C,4275.09
2000,NV_IND_MANFPC,Albania,ISIC4_C,78.4
2001,NV_IND_MANFPC,Albania,ISIC4_C,83.66
2002,NV_IND_MANFPC,Albania,ISIC4_C,88.0
2003,NV_IND_MANFPC,Albania,ISIC4_C,106.02
2004,NV_IND_MANFPC,Albania,ISIC4_C,113.51
2005,NV_IND_MANFPC,Albania,ISIC4_C,130.55
2006,NV_IND_MANFPC,Albania,ISIC4_C,149.0
2007,NV_IND_MANFPC,Albania,ISIC4_C,169.39
2008,NV_IND_MANFPC,Albania,ISIC4_C,162.2
2009,NV_IND_MANFPC,Albania,ISIC4_C,168.1
2010,NV_IND_MANFPC,Albania,ISIC4_C,188.66
2011,NV_IND_MANFPC,Albania,ISIC4_C,209.33
