Year,SeriesCode,Country,Disability status,Grounds of discrimination,Location,Sex,Value
2015,VC_VOV_GDSD,Chile,Total or no breakdown,All or no breakdown,Urban,Both sexes,12.6
2015,VC_VOV_GDSD,Chile,Total or no breakdown,All or no breakdown,Rural,Both sexes,8.6
2015,VC_VOV_GDSD,Chile,Total or no breakdown,All or no breakdown,All areas,Male,10.5
2015,VC_VOV_GDSD,Chile,Total or no breakdown,All or no breakdown,All areas,Female,14.4
2015,VC_VOV_GDSD,Chile,Total or no breakdown,All or no breakdown,All areas,Both sexes,12.1
2015,VC_VOV_GDSD,Chile,Persons without disability,All or no breakdown,All areas,Both sexes,11.4
2015,VC_VOV_GDSD,Chile,Persons with disability,All or no breakdown,All areas,Both sexes,16.6
2017,VC_VOV_GDSD,Chile,Total or no breakdown,All or no breakdown,All areas,Male,9.8
2017,VC_VOV_GDSD,Chile,Total or no breakdown,All or no breakdown,Rural,Both sexes,7.6
2017,VC_VOV_GDSD,Chile,Total or no breakdown,All or no breakdown,Urban,Both sexes,11.7
2017,VC_VOV_GDSD,Chile,Persons without disability,All or no breakdown,All areas,Both sexes,10.5
2017,VC_VOV_GDSD,Chile,Persons with disability,All or no breakdown,All areas,Both sexes,15.1
2017,VC_VOV_GDSD,Chile,Total or no breakdown,All or no breakdown,All areas,Female,13.1
2017,VC_VOV_GDSD,Chile,Total or no breakdown,All or no breakdown,All areas,Both sexes,11.2
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Place of residence,Rural,Both sexes,1.6
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Socioeconomic status,Urban,Both sexes,2.4
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Socioeconomic status,Rural,Both sexes,1.9
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Migration status,Urban,Both sexes,0.5
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Disability or health status,All areas,Male,2.8
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Political opinion,All areas,Both sexes,1.6
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Political opinion,All areas,Male,2.0
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Political opinion,All areas,Female,1.6
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Sex,All areas,Male,0.9
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Sex,All areas,Female,2.2
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Religion or belief,All areas,Both sexes,0.9
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Other,Urban,Both sexes,1.8
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Sexual orientation and gender identity,All areas,Male,0.7
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Religion or belief,All areas,Female,1.2
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Religion or belief,Urban,Both sexes,1.0
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Socioeconomic status,All areas,Both sexes,2.3
2014,VC_VOV_GDSD,Ireland,Total or no breakdown,Family status,All areas,Male,4.1
2014,VC_VOV_GDSD,Ireland,Total or no breakdown,Disability,All areas,Female,6.2
2014,VC_VOV_GDSD,Ireland,Total or no breakdown,Marital status,All areas,Both sexes,2.8
2014,VC_VOV_GDSD,Ireland,Total or no breakdown,Sex,All areas,Female,14.3
2014,VC_VOV_GDSD,Ireland,Total or no breakdown,Other,All areas,Male,42.9
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Socioeconomic status,All areas,Male,2.2
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Socioeconomic status,All areas,Female,2.5
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Disability or health status,Rural,Both sexes,2.3
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,"Ethnicity, colour, language",All areas,Both sexes,1.1
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,"Ethnicity, colour, language",All areas,Male,1.1
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Place of residence,All areas,Both sexes,1.7
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Place of residence,All areas,Male,1.6
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Migration status,All areas,Female,0.5
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Disability or health status,Urban,Both sexes,2.8
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,"Ethnicity, colour, language",All areas,Female,1.0
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,"Ethnicity, colour, language",Urban,Both sexes,1.1
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,"Ethnicity, colour, language",Rural,Both sexes,1.3
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Migration status,All areas,Both sexes,0.5
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Migration status,All areas,Male,0.5
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Marital and family status,All areas,Female,0.8
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Marital and family status,Urban,Both sexes,0.6
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Other,Rural,Both sexes,1.6
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Migration status,Rural,Both sexes,0.3
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Religion or belief,Rural,Both sexes,0.6
2021,VC_VOV_GDSD,Colombia,Total or no breakdown,Marital and family status,All areas,Both sexes,0.6
2020,VC_VOV_GDSD,Bulgaria,Total or no breakdown,Sexual orientation and gender identity,All areas,Male,0.02
2020,VC_VOV_GDSD,Bulgaria,Total or no breakdown,Age,Rural,Both sexes,2.19
2020,VC_VOV_GDSD,Bulgaria,Persons without disability,Age,All areas,Both sexes,1.28
2020,VC_VOV_GDSD,Bulgaria,Total or no breakdown,All or no breakdown,Rural,Both sexes,7.53
2020,VC_VOV_GDSD,Bulgaria,Total or no breakdown,Sex,All areas,Female,1.15
2020,VC_VOV_GDSD,Bulgaria,Persons with disability,Sex,All areas,Both sexes,0.41
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,Age,All areas,Female,5.2
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,Socioeconomic status,All areas,Male,4.0
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,Other,All areas,Female,11.5
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,Religion or belief,All areas,Female,6.5
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,Geographic location,All areas,Male,4.4
2020,VC_VOV_GDSD,Bulgaria,Persons without disability,Sex,All areas,Both sexes,0.69
2020,VC_VOV_GDSD,Bulgaria,Total or no breakdown,Sex,Urban,Both sexes,0.8
2020,VC_VOV_GDSD,Bulgaria,Persons with disability,Disability or health status,All areas,Both sexes,1.37
2020,VC_VOV_GDSD,Bulgaria,Total or no breakdown,"Ethnicity, colour, language",Rural,Both sexes,2.74
2020,VC_VOV_GDSD,Bulgaria,Persons without disability,Disability or health status,All areas,Both sexes,0.04
2020,VC_VOV_GDSD,Bulgaria,Total or no breakdown,Disability or health status,Urban,Both sexes,0.34
2020,VC_VOV_GDSD,Bulgaria,Total or no breakdown,Disability or health status,Rural,Both sexes,0.43
2020,VC_VOV_GDSD,Bulgaria,Persons with disability,Sexual orientation and gender identity,All areas,Both sexes,0.02
2020,VC_VOV_GDSD,Bulgaria,Total or no breakdown,Religion or belief,All areas,Male,0.29
2020,VC_VOV_GDSD,Bulgaria,Total or no breakdown,Religion or belief,All areas,Female,0.34
2020,VC_VOV_GDSD,Bulgaria,Persons with disability,Religion or belief,All areas,Both sexes,0.23
2020,VC_VOV_GDSD,Bulgaria,Persons without disability,Religion or belief,All areas,Both sexes,0.35
2014,VC_VOV_GDSD,Ireland,Total or no breakdown,All or no breakdown,All areas,Female,12.6
2014,VC_VOV_GDSD,Ireland,Total or no breakdown,All or no breakdown,All areas,Both sexes,11.8
2014,VC_VOV_GDSD,Ireland,Total or no breakdown,Age,All areas,Female,23.5
2014,VC_VOV_GDSD,Ireland,Total or no breakdown,Family status,All areas,Female,13.6
2014,VC_VOV_GDSD,Ireland,Total or no breakdown,Marital status,All areas,Female,4.6
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,Sex,All areas,Female,5.9
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,Socioeconomic status,All areas,Both sexes,3.6
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,All or no breakdown,Urban,Both sexes,20.9
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,Religion or belief,All areas,Both sexes,5.8
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,All or no breakdown,Rural,Both sexes,17.6
2020,VC_VOV_GDSD,Bulgaria,Total or no breakdown,Sexual orientation and gender identity,All areas,Both sexes,0.1
2020,VC_VOV_GDSD,Bulgaria,Total or no breakdown,Other,All areas,Male,2.34
2020,VC_VOV_GDSD,Bulgaria,Total or no breakdown,Other,All areas,Female,1.58
2020,VC_VOV_GDSD,Bulgaria,Persons with disability,Other,All areas,Both sexes,1.95
2020,VC_VOV_GDSD,Bulgaria,Persons without disability,Other,All areas,Both sexes,1.63
2020,VC_VOV_GDSD,Bulgaria,Total or no breakdown,All or no breakdown,All areas,Both sexes,7.34
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,Age,All areas,Male,5.4
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,All or no breakdown,All areas,Male,20.2
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,Sexual orientation,All areas,Male,0.6
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,Other,All areas,Male,13.2
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,All or no breakdown,All areas,Female,20.1
2017,VC_VOV_GDSD,Mexico,Total or no breakdown,Sex,All areas,Male,1.1
