Year,SeriesCode,GeoAreaName,Age,Value
2008,SE_GPI_PART,Austria,15-24,1.1
2008,SE_GPI_PART,Austria,55-64,1.2
2009,SE_GPI_PART,Austria,55-64,1.2
2009,SE_GPI_PART,Austria,15-24,1.0
2009,SE_GPI_PART,Austria,15-64,1.1
2009,SE_GPI_PART,Austria,25-54,1.1
2010,SE_GPI_PART,Austria,25-54,1.1
2010,SE_GPI_PART,Austria,15-64,1.1
2010,SE_GPI_PART,Austria,15-24,1.0
2010,SE_GPI_PART,Austria,55-64,1.3
2011,SE_GPI_PART,Austria,55-64,1.3
2011,SE_GPI_PART,Austria,15-24,1.1
2011,SE_GPI_PART,Austria,15-64,1.1
2011,SE_GPI_PART,Austria,25-54,1.2
2012,SE_GPI_PART,Austria,25-54,1.1
2012,SE_GPI_PART,Austria,15-64,1.1
2012,SE_GPI_PART,Austria,15-24,1.1
2012,SE_GPI_PART,Austria,55-64,1.2
2013,SE_GPI_PART,Austria,55-64,1.3
2013,SE_GPI_PART,Austria,15-24,1.1
2013,SE_GPI_PART,Austria,15-64,1.1
2013,SE_GPI_PART,Austria,25-54,1.2
2014,SE_GPI_PART,Austria,25-54,1.1
2014,SE_GPI_PART,Austria,15-64,1.1
2014,SE_GPI_PART,Austria,15-24,1.0
2014,SE_GPI_PART,Austria,55-64,1.2
2015,SE_GPI_PART,Austria,55-64,1.2
2015,SE_GPI_PART,Austria,15-24,1.1
2019,SE_GPI_PART,France,15-64,1.2
2020,SE_GPI_PART,France,15-64,1.1
2020,SE_GPI_PART,France,15-24,1.1
2020,SE_GPI_PART,France,25-54,1.2
2020,SE_GPI_PART,France,55-64,1.4
2012,SE_GPI_PART,Georgia,25-54,1.6
2012,SE_GPI_PART,Georgia,15-24,1.0
2015,SE_GPI_PART,Austria,15-64,1.1
2015,SE_GPI_PART,Austria,25-54,1.1
2016,SE_GPI_PART,Austria,25-54,1.2
2016,SE_GPI_PART,Austria,15-64,1.1
2016,SE_GPI_PART,Austria,15-24,1.1
2016,SE_GPI_PART,Austria,55-64,1.3
2017,SE_GPI_PART,Austria,55-64,1.3
2012,SE_GPI_PART,Georgia,15-64,0.9
2013,SE_GPI_PART,Georgia,15-64,0.9
2013,SE_GPI_PART,Georgia,15-24,1.0
2013,SE_GPI_PART,Georgia,25-54,0.8
2014,SE_GPI_PART,Georgia,25-54,0.7
2014,SE_GPI_PART,Georgia,15-24,1.1
2014,SE_GPI_PART,Georgia,15-64,0.9
2004,SE_GPI_PART,Netherlands (Kingdom of the),15-64,1.0
2004,SE_GPI_PART,Netherlands (Kingdom of the),25-54,1.0
2004,SE_GPI_PART,Netherlands (Kingdom of the),15-24,1.0
2004,SE_GPI_PART,Netherlands (Kingdom of the),55-64,1.2
2005,SE_GPI_PART,Netherlands (Kingdom of the),55-64,1.3
2005,SE_GPI_PART,Netherlands (Kingdom of the),15-24,1.0
2005,SE_GPI_PART,Netherlands (Kingdom of the),25-54,1.0
