Year,SeriesCode,Country,Age,Sex,Value
2000,SH_STA_ANEM,Estonia,15-49,Female,21.7
2001,SH_STA_ANEM,Estonia,15-49,Female,21.4
2002,SH_STA_ANEM,Estonia,15-49,Female,21.3
2003,SH_STA_ANEM,Estonia,15-49,Female,21.2
2004,SH_STA_ANEM,Estonia,15-49,Female,21.0
2005,SH_STA_ANEM,Estonia,15-49,Female,20.9
2006,SH_STA_ANEM,Estonia,15-49,Female,20.9
2007,SH_STA_ANEM,Estonia,15-49,Female,20.7
2008,SH_STA_ANEM,Estonia,15-49,Female,20.5
2009,SH_STA_ANEM,Estonia,15-49,Female,20.5
2010,SH_STA_ANEM,Estonia,15-49,Female,20.5
2011,SH_STA_ANEM,Estonia,15-49,Female,20.7
2012,SH_STA_ANEM,Estonia,15-49,Female,20.7
2013,SH_STA_ANEM,Estonia,15-49,Female,20.8
2014,SH_STA_ANEM,Estonia,15-49,Female,21.0
2015,SH_STA_ANEM,Estonia,15-49,Female,21.2
2016,SH_STA_ANEM,Estonia,15-49,Female,21.2
2017,SH_STA_ANEM,Estonia,15-49,Female,21.3
2018,SH_STA_ANEM,Estonia,15-49,Female,21.5
2019,SH_STA_ANEM,Estonia,15-49,Female,21.7
2000,SH_STA_ANEM,Finland,15-49,Female,10.5
2001,SH_STA_ANEM,Finland,15-49,Female,10.3
2002,SH_STA_ANEM,Finland,15-49,Female,10.2
2003,SH_STA_ANEM,Finland,15-49,Female,10.1
2004,SH_STA_ANEM,Finland,15-49,Female,9.9
2005,SH_STA_ANEM,Finland,15-49,Female,9.9
2006,SH_STA_ANEM,Finland,15-49,Female,9.8
2007,SH_STA_ANEM,Finland,15-49,Female,9.7
2008,SH_STA_ANEM,Finland,15-49,Female,9.6
2009,SH_STA_ANEM,Finland,15-49,Female,9.6
2010,SH_STA_ANEM,Finland,15-49,Female,9.6
2011,SH_STA_ANEM,Finland,15-49,Female,9.6
2012,SH_STA_ANEM,Finland,15-49,Female,9.7
2013,SH_STA_ANEM,Finland,15-49,Female,9.7
2014,SH_STA_ANEM,Finland,15-49,Female,9.9
2015,SH_STA_ANEM,Finland,15-49,Female,10.0
2016,SH_STA_ANEM,Finland,15-49,Female,10.2
2017,SH_STA_ANEM,Finland,15-49,Female,10.4
2018,SH_STA_ANEM,Finland,15-49,Female,10.6
2019,SH_STA_ANEM,Finland,15-49,Female,10.9
2000,SH_STA_ANEM,France,15-49,Female,8.4
2001,SH_STA_ANEM,France,15-49,Female,8.3
2002,SH_STA_ANEM,France,15-49,Female,8.3
2003,SH_STA_ANEM,France,15-49,Female,8.4
2004,SH_STA_ANEM,France,15-49,Female,8.5
