Value,Disaggregation combinations using this value,Number of indicators
_T,154,1
ADMINPRO,18,1
ASSOCPRO,18,1
DENT,61,1
GENERAL,19,1
isco08-0,52,1
isco08-1,147,1
isco08-2,147,1
isco08-3,144,1
isco08-4,147,1
isco08-5,147,1
isco08-6,129,1
isco08-7,147,1
isco08-8,147,1
isco08-9,147,1
isco08-X,43,1
isco88-0,32,1
isco88-1,105,1
isco88-2,105,1
isco88-3,105,1
isco88-4,105,1
isco88-5,105,1
isco88-6,77,1
isco88-7,105,1
isco88-8,105,1
isco88-9,105,1
isco88-X,89,1
JUDGES,158,4
NURS,100,1
NURSMID,62,1
OTHERMAN,19,1
PHAR,62,1
PHYS,132,2
REGISTRARS,116,4
SENIORMAN,20,1
TOTAL_PSP,56,1
