Value,Disaggregation combinations using this value,Number of indicators
"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",96,1
"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",68,1
[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),58,1
"[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)",43,1
"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",175,1
"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",77,1
"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",157,1
"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",151,1
"[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)",69,1
[World Bank] Proportion of population covered by labour market programs (%),50,1
[World Bank] Proportion of population covered by social assistance programs (%),60,1
[World Bank] Proportion of population covered by social insurance programs (%),58,1
