Year,SeriesCode,Country,Education level,Quantile,Sex,Value
2000,SE_ALP_CPLR,Armenia,PRIMAR,Total or no breakdown,Both sexes,0.98995
2000,SE_ALP_CPLR,Armenia,UPPSEC,Total or no breakdown,Both sexes,0.82407
2000,SE_ALP_CPLR,Armenia,LOWSEC,Total or no breakdown,Both sexes,0.98047
2005,SE_ALP_CPLR,Armenia,LOWSEC,Total or no breakdown,Both sexes,0.90474
2005,SE_ALP_CPLR,Armenia,UPPSEC,Total or no breakdown,Both sexes,0.41277
2005,SE_ALP_CPLR,Armenia,PRIMAR,Total or no breakdown,Both sexes,0.99468
2010,SE_ALP_CPLR,Armenia,PRIMAR,Total or no breakdown,Both sexes,0.9959
2010,SE_ALP_CPLR,Armenia,UPPSEC,Total or no breakdown,Both sexes,0.55672
2010,SE_ALP_CPLR,Armenia,LOWSEC,Total or no breakdown,Both sexes,0.97583
2011,SE_ALP_CPLR,Armenia,LOWSEC,Total or no breakdown,Both sexes,0.98387
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 4,Male,0.0
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 5 (richest),Male,0.0
2011,SE_ALP_CPLR,Armenia,LOWSEC,Total or no breakdown,Female,0.99936
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 4,Female,0.0
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 1 (poorest),Female,0.0
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 1 (poorest),Both sexes,0.99437
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 1 (poorest),Male,0.0
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 1 (poorest),Female,0.0
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 1 (poorest),Both sexes,0.94833
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 4,Both sexes,0.0
2011,SE_ALP_CPLR,Armenia,UPPSEC,Total or no breakdown,Both sexes,0.95143
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 2,Female,1.0
2011,SE_ALP_CPLR,Armenia,UPPSEC,Total or no breakdown,Female,0.97978
2011,SE_ALP_CPLR,Armenia,PRIMAR,Total or no breakdown,Both sexes,0.99709
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 5 (richest),Male,0.0
2011,SE_ALP_CPLR,Armenia,PRIMAR,Total or no breakdown,Female,1.0
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 3,Male,0.0
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 3,Female,0.0
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 2,Male,1.1614
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 3,Male,0.0
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 1 (poorest),Female,0.0
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 1 (poorest),Male,0.0
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 3,Female,1.04024
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 3,Both sexes,1.0
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 5 (richest),Both sexes,0.0
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 5 (richest),Male,0.0
2011,SE_ALP_CPLR,Armenia,LOWSEC,Total or no breakdown,Male,0.959
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 5 (richest),Female,0.0
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 4,Both sexes,0.0
2011,SE_ALP_CPLR,Armenia,UPPSEC,Total or no breakdown,Male,0.90517
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 1 (poorest),Male,0.0
