Year,SeriesCode,Страна ,Age,Sex,Value
2017,VC_HTF_DETVOP,Australia,18+,FEMALE,7.0
2017,VC_HTF_DETVOP,Australia,18+,MALE,14.0
2017,VC_HTF_DETVOP,Australia,18+,BOTHSEX,21.0
2017,VC_HTF_DETVOP,Australia,<18Y,BOTHSEX,17.0
2017,VC_HTF_DETVOP,Australia,ALLAGE,BOTHSEX,39.0
2018,VC_HTF_DETVOP,Australia,ALLAGE,BOTHSEX,63.0
2018,VC_HTF_DETVOP,Australia,<18Y,BOTHSEX,27.0
2018,VC_HTF_DETVOP,Australia,18+,MALE,26.0
2018,VC_HTF_DETVOP,Australia,<18Y,MALE,22.0
2018,VC_HTF_DETVOP,Australia,18+,FEMALE,12.0
2018,VC_HTF_DETVOP,Australia,18+,BOTHSEX,38.0
2019,VC_HTF_DETVOP,Australia,18+,BOTHSEX,63.0
2019,VC_HTF_DETVOP,Australia,18+,MALE,44.0
2019,VC_HTF_DETVOP,Australia,18+,FEMALE,20.0
2019,VC_HTF_DETVOP,Australia,<18Y,BOTHSEX,27.0
2019,VC_HTF_DETVOP,Australia,<18Y,MALE,22.0
2019,VC_HTF_DETVOP,Australia,ALLAGE,BOTHSEX,89.0
2020,VC_HTF_DETVOP,Australia,<18Y,BOTHSEX,18.0
2020,VC_HTF_DETVOP,Australia,18+,FEMALE,23.0
2020,VC_HTF_DETVOP,Australia,<18Y,FEMALE,6.0
2020,VC_HTF_DETVOP,Australia,ALLAGE,BOTHSEX,84.0
2020,VC_HTF_DETVOP,Australia,18+,MALE,43.0
2020,VC_HTF_DETVOP,Australia,18+,BOTHSEX,66.0
2020,VC_HTF_DETVOP,Australia,<18Y,MALE,17.0
2017,VC_HTF_DETVOP,Austria,18+,MALE,10.0
2017,VC_HTF_DETVOP,Austria,ALLAGE,BOTHSEX,5.0
2018,VC_HTF_DETVOP,Austria,18+,MALE,5.0
2019,VC_HTF_DETVOP,Austria,ALLAGE,BOTHSEX,10.0
2019,VC_HTF_DETVOP,Austria,18+,MALE,17.0
2020,VC_HTF_DETVOP,Austria,18+,FEMALE,21.0
2020,VC_HTF_DETVOP,Austria,ALLAGE,BOTHSEX,96.0
2020,VC_HTF_DETVOP,Austria,18+,MALE,73.0
2009,VC_HTF_DETVOP,Armenia,ALLAGE,BOTHSEX,5.0
2014,VC_HTF_DETVOP,Poland,18+,MALE,5.0
2014,VC_HTF_DETVOP,Poland,ALLAGE,BOTHSEX,30.0
2015,VC_HTF_DETVOP,Poland,ALLAGE,BOTHSEX,25.0
2016,VC_HTF_DETVOP,Poland,ALLAGE,BOTHSEX,19.0
2006,VC_HTF_DETVOP,Belgium,ALLAGE,BOTHSEX,17.0
2007,VC_HTF_DETVOP,Belgium,ALLAGE,BOTHSEX,40.0
2008,VC_HTF_DETVOP,Belgium,ALLAGE,BOTHSEX,41.0
2009,VC_HTF_DETVOP,Belgium,ALLAGE,BOTHSEX,39.0
2005,VC_HTF_DETVOP,Albania,ALLAGE,BOTHSEX,5.0
2006,VC_HTF_DETVOP,Albania,ALLAGE,BOTHSEX,6.0
2015,VC_HTF_DETVOP,Albania,ALLAGE,BOTHSEX,48.0
2016,VC_HTF_DETVOP,Albania,ALLAGE,BOTHSEX,18.0
2012,VC_HTF_DETVOP,Belgium,ALLAGE,BOTHSEX,10.0
2014,VC_HTF_DETVOP,Belgium,ALLAGE,BOTHSEX,9.0
2014,VC_HTF_DETVOP,Belgium,18+,FEMALE,5.0
2015,VC_HTF_DETVOP,Belgium,<18Y,FEMALE,6.0
2015,VC_HTF_DETVOP,Belgium,ALLAGE,BOTHSEX,13.0
2016,VC_HTF_DETVOP,Belgium,ALLAGE,BOTHSEX,9.0
2016,VC_HTF_DETVOP,Belgium,18+,FEMALE,8.0
