Year,SeriesCode,Страна ,Age,Disability status,Location,Population Group,Quantile,Sex,Value
2022,SP_PSR_OSATIS_GOV,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,FEMALE,94
2022,SP_PSR_OSATIS_GOV,Belarus,ALLAGE,_T,URBAN,TOTAL,,BOTHSEX,93
2022,SP_PSR_OSATIS_GOV,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,BOTHSEX,94
2022,SP_PSR_OSATIS_GOV,Belarus,ALLAGE,_T,RURAL,TOTAL,,BOTHSEX,97
2022,SP_PSR_OSATIS_GOV,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,MALE,94
2022,SP_PSR_OSATIS_GOV,Cyprus,ALLAGE,_T,ALLAREA,POP_A,,BOTHSEX,98
2022,SP_PSR_OSATIS_GOV,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,FEMALE,99
2022,SP_PSR_OSATIS_GOV,Cyprus,ALLAGE,_T,ALLAREA,POP_B,,BOTHSEX,99
2022,SP_PSR_OSATIS_GOV,Cyprus,ALLAGE,_T,URBAN,TOTAL,,BOTHSEX,98
2022,SP_PSR_OSATIS_GOV,Cyprus,ALLAGE,_T,RURAL,TOTAL,,BOTHSEX,99
2022,SP_PSR_OSATIS_GOV,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,MALE,98
2022,SP_PSR_OSATIS_GOV,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,BOTHSEX,98
2022,SP_PSR_OSATIS_GOV,Israel,ALLAGE,_T,ALLAREA,TOTAL,,FEMALE,80
2022,SP_PSR_OSATIS_GOV,Israel,ALLAGE,_T,ALLAREA,TOTAL,,BOTHSEX,82
2022,SP_PSR_OSATIS_GOV,Israel,ALLAGE,_T,ALLAREA,TOTAL,,MALE,83
2022,SP_PSR_OSATIS_GOV,Israel,ALLAGE,_T,ALLAREA,POP_A,,BOTHSEX,77
2022,SP_PSR_OSATIS_GOV,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,MALE,81
2022,SP_PSR_OSATIS_GOV,Mexico,ALLAGE,_T,URBAN,TOTAL,,BOTHSEX,81
2022,SP_PSR_OSATIS_GOV,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,BOTHSEX,81
2022,SP_PSR_OSATIS_GOV,Mexico,<25Y,_T,ALLAREA,TOTAL,,BOTHSEX,83
2022,SP_PSR_OSATIS_GOV,Mexico,25-34,_T,ALLAREA,TOTAL,,BOTHSEX,83
2022,SP_PSR_OSATIS_GOV,Mexico,65+,_T,ALLAREA,TOTAL,,BOTHSEX,80
2022,SP_PSR_OSATIS_GOV,Mexico,35-44,_T,ALLAREA,TOTAL,,BOTHSEX,80
2022,SP_PSR_OSATIS_GOV,Mexico,45-54,_T,ALLAREA,TOTAL,,BOTHSEX,81
2022,SP_PSR_OSATIS_GOV,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,FEMALE,80
2022,SP_PSR_OSATIS_GOV,Mexico,55-64,_T,ALLAREA,TOTAL,,BOTHSEX,73
2022,SP_PSR_OSATIS_GOV,Mexico,55-64,_T,ALLAREA,TOTAL,,BOTHSEX,73
