Year,SeriesCode,Страна ,Sex,Value
2000,VC_IHR_PSRC,Austria,FEMALE,1.3
2000,VC_IHR_PSRC,Austria,BOTHSEX,1.02
2000,VC_IHR_PSRC,Austria,MALE,0.73
2001,VC_IHR_PSRC,Austria,MALE,0.72
2001,VC_IHR_PSRC,Austria,BOTHSEX,0.87
2001,VC_IHR_PSRC,Austria,FEMALE,1.01
2002,VC_IHR_PSRC,Austria,FEMALE,0.91
2002,VC_IHR_PSRC,Austria,BOTHSEX,0.8
2002,VC_IHR_PSRC,Austria,MALE,0.7
2003,VC_IHR_PSRC,Austria,MALE,0.67
2003,VC_IHR_PSRC,Austria,BOTHSEX,0.62
2003,VC_IHR_PSRC,Austria,FEMALE,0.56
2004,VC_IHR_PSRC,Austria,FEMALE,0.76
2004,VC_IHR_PSRC,Austria,BOTHSEX,0.72
2004,VC_IHR_PSRC,Austria,MALE,0.68
2005,VC_IHR_PSRC,Austria,MALE,0.75
2005,VC_IHR_PSRC,Austria,BOTHSEX,0.66
2005,VC_IHR_PSRC,Austria,FEMALE,0.57
2006,VC_IHR_PSRC,Austria,MALE,0.79
2006,VC_IHR_PSRC,Austria,FEMALE,0.69
2006,VC_IHR_PSRC,Austria,BOTHSEX,0.74
2007,VC_IHR_PSRC,Austria,MALE,0.51
2007,VC_IHR_PSRC,Austria,BOTHSEX,0.54
2007,VC_IHR_PSRC,Austria,FEMALE,0.57
2008,VC_IHR_PSRC,Austria,FEMALE,0.68
2008,VC_IHR_PSRC,Austria,BOTHSEX,0.7
2008,VC_IHR_PSRC,Austria,MALE,0.72
2009,VC_IHR_PSRC,Austria,MALE,0.56
2009,VC_IHR_PSRC,Austria,BOTHSEX,0.61
2009,VC_IHR_PSRC,Austria,FEMALE,0.66
2010,VC_IHR_PSRC,Austria,FEMALE,0.77
2010,VC_IHR_PSRC,Austria,BOTHSEX,0.73
2010,VC_IHR_PSRC,Austria,MALE,0.69
2011,VC_IHR_PSRC,Austria,MALE,1.03
2011,VC_IHR_PSRC,Austria,BOTHSEX,0.92
2011,VC_IHR_PSRC,Austria,FEMALE,0.81
2012,VC_IHR_PSRC,Austria,FEMALE,0.88
2012,VC_IHR_PSRC,Austria,BOTHSEX,0.96
2012,VC_IHR_PSRC,Austria,MALE,1.05
2013,VC_IHR_PSRC,Austria,MALE,0.77
2013,VC_IHR_PSRC,Austria,BOTHSEX,0.72
2013,VC_IHR_PSRC,Austria,FEMALE,0.67
2014,VC_IHR_PSRC,Austria,FEMALE,0.5
2014,VC_IHR_PSRC,Austria,BOTHSEX,0.49
2014,VC_IHR_PSRC,Austria,MALE,0.48
2015,VC_IHR_PSRC,Austria,MALE,0.64
2015,VC_IHR_PSRC,Austria,BOTHSEX,0.51
2015,VC_IHR_PSRC,Austria,FEMALE,0.39
2016,VC_IHR_PSRC,Austria,FEMALE,0.7
2016,VC_IHR_PSRC,Austria,MALE,0.54
2016,VC_IHR_PSRC,Austria,BOTHSEX,0.62
2017,VC_IHR_PSRC,Austria,MALE,0.76
2017,VC_IHR_PSRC,Austria,FEMALE,0.83
2017,VC_IHR_PSRC,Austria,BOTHSEX,0.8
2018,VC_IHR_PSRC,Austria,MALE,0.97
2018,VC_IHR_PSRC,Austria,BOTHSEX,0.97
2018,VC_IHR_PSRC,Austria,FEMALE,0.98
2015,VC_IHR_PSRC,Cyprus,MALE,2.02
2016,VC_IHR_PSRC,Cyprus,MALE,1.33
2016,VC_IHR_PSRC,Cyprus,FEMALE,0.84
2016,VC_IHR_PSRC,Cyprus,BOTHSEX,1.09
2017,VC_IHR_PSRC,Cyprus,BOTHSEX,0.58
2017,VC_IHR_PSRC,Cyprus,FEMALE,0.0
2017,VC_IHR_PSRC,Cyprus,MALE,1.16
2018,VC_IHR_PSRC,Cyprus,MALE,1.47
