Year,SeriesCode,Страна ,Name of international institution,Value
2000,SG_INT_VRTDEV,Estonia,UNGA,0.5291
2000,SG_INT_VRTDEV,Estonia,IFC,0.0701
2000,SG_INT_VRTDEV,Estonia,IMF,0.0421
2000,SG_INT_VRTDEV,Estonia,WTO,0.7143
2000,SG_INT_VRTDEV,Estonia,IBRD,0.0729
2005,SG_INT_VRTDEV,Estonia,IBRD,0.0725
2005,SG_INT_VRTDEV,Estonia,IFC,0.0699
2005,SG_INT_VRTDEV,Estonia,WTO,0.6711
2005,SG_INT_VRTDEV,Estonia,UNGA,0.5236
2005,SG_INT_VRTDEV,Estonia,IMF,0.0415
2010,SG_INT_VRTDEV,Estonia,IBRD,0.0724
2010,SG_INT_VRTDEV,Estonia,IFC,0.0697
2010,SG_INT_VRTDEV,Estonia,IMF,0.0407
2010,SG_INT_VRTDEV,Estonia,UNGA,0.5208
2010,SG_INT_VRTDEV,Estonia,ECOSOC,1.85185
2010,SG_INT_VRTDEV,Estonia,WTO,0.6536
2015,SG_INT_VRTDEV,Estonia,IMF,0.0665
2015,SG_INT_VRTDEV,Estonia,IBRD,0.0781
2015,SG_INT_VRTDEV,Estonia,ECOSOC,1.85185
2015,SG_INT_VRTDEV,Estonia,UNGA,0.5181
2015,SG_INT_VRTDEV,Estonia,WTO,0.625
2015,SG_INT_VRTDEV,Estonia,IFC,0.08296
2016,SG_INT_VRTDEV,Estonia,UNGA,0.5181
2016,SG_INT_VRTDEV,Estonia,IMF,0.078
2016,SG_INT_VRTDEV,Estonia,IFC,0.08296
2016,SG_INT_VRTDEV,Estonia,WTO,0.6173
2016,SG_INT_VRTDEV,Estonia,ECOSOC,1.85185
2016,SG_INT_VRTDEV,Estonia,IBRD,0.08
2017,SG_INT_VRTDEV,Estonia,IMF,0.0775
2017,SG_INT_VRTDEV,Estonia,WTO,0.6098
2017,SG_INT_VRTDEV,Estonia,ECOSOC,1.85185
2017,SG_INT_VRTDEV,Estonia,UNGA,0.5181
2017,SG_INT_VRTDEV,Estonia,IFC,0.08296
2000,SG_INT_VRTDEV,Bulgaria,ECOSOC,1.85185
2000,SG_INT_VRTDEV,Bulgaria,UNGA,0.5291
2000,SG_INT_VRTDEV,Bulgaria,IFC,0.2131
2000,SG_INT_VRTDEV,Bulgaria,IMF,0.3107
2000,SG_INT_VRTDEV,Bulgaria,WTO,0.7143
2000,SG_INT_VRTDEV,Bulgaria,IBRD,0.3395
2005,SG_INT_VRTDEV,Bulgaria,IBRD,0.3376
2005,SG_INT_VRTDEV,Bulgaria,IMF,0.3058
2005,SG_INT_VRTDEV,Bulgaria,IFC,0.2125
2005,SG_INT_VRTDEV,Bulgaria,UNGA,0.5236
2005,SG_INT_VRTDEV,Bulgaria,WTO,0.6711
2017,SG_INT_VRTDEV,Estonia,IBRD,0.0789
2018,SG_INT_VRTDEV,Estonia,WTO,0.6098
2018,SG_INT_VRTDEV,Estonia,UNGA,0.5181
2018,SG_INT_VRTDEV,Estonia,IBRD,0.0779
2018,SG_INT_VRTDEV,Estonia,IMF,0.0775
2018,SG_INT_VRTDEV,Estonia,IFC,0.083
2019,SG_INT_VRTDEV,Estonia,IMF,0.07753
2019,SG_INT_VRTDEV,Estonia,IBRD,0.077
2019,SG_INT_VRTDEV,Estonia,UNGA,0.5181
2019,SG_INT_VRTDEV,Estonia,IFC,0.0822
2010,SG_INT_VRTDEV,Bulgaria,IMF,0.3004
2010,SG_INT_VRTDEV,Bulgaria,UNGA,0.5208
2010,SG_INT_VRTDEV,Bulgaria,WTO,0.6536
2010,SG_INT_VRTDEV,Bulgaria,IBRD,0.3371
2010,SG_INT_VRTDEV,Bulgaria,IFC,0.2119
2015,SG_INT_VRTDEV,Bulgaria,UNGA,0.5181
2015,SG_INT_VRTDEV,Bulgaria,IMF,0.2833
2015,SG_INT_VRTDEV,Bulgaria,IBRD,0.2646
2015,SG_INT_VRTDEV,Bulgaria,WTO,0.625
2015,SG_INT_VRTDEV,Bulgaria,IFC,0.21177
2016,SG_INT_VRTDEV,Bulgaria,IFC,0.21177
2019,SG_INT_VRTDEV,Estonia,WTO,0.6098
2020,SG_INT_VRTDEV,Estonia,UNGA,0.5181
2020,SG_INT_VRTDEV,Estonia,WTO,0.60976
2020,SG_INT_VRTDEV,Estonia,UNSC,6.667
2020,SG_INT_VRTDEV,Estonia,IFC,0.08277
2020,SG_INT_VRTDEV,Estonia,IBRD,0.07564
2020,SG_INT_VRTDEV,Estonia,IMF,0.07751
2021,SG_INT_VRTDEV,Estonia,UNSC,6.66667
2021,SG_INT_VRTDEV,Estonia,IMF,0.07728
2021,SG_INT_VRTDEV,Estonia,IBRD,0.07785
2021,SG_INT_VRTDEV,Estonia,IFC,0.08221
2021,SG_INT_VRTDEV,Estonia,UNGA,0.51813
2021,SG_INT_VRTDEV,Estonia,WTO,0.60976
2022,SG_INT_VRTDEV,Estonia,IMF,0.07788
2022,SG_INT_VRTDEV,Estonia,WTO,0.60976
2022,SG_INT_VRTDEV,Estonia,IFC,0.08002
2022,SG_INT_VRTDEV,Estonia,UNGA,0.51813
2022,SG_INT_VRTDEV,Estonia,IBRD,0.07657
2000,SG_INT_VRTDEV,Finland,IFC,0.6642
2000,SG_INT_VRTDEV,Finland,WTO,0.7143
2000,SG_INT_VRTDEV,Finland,IMF,0.602
2000,SG_INT_VRTDEV,Finland,AFDB,0.532
2000,SG_INT_VRTDEV,Albania,WTO,0.7143
2000,SG_INT_VRTDEV,Albania,IMF,0.0344
2000,SG_INT_VRTDEV,Albania,IFC,0.0646
2000,SG_INT_VRTDEV,Albania,UNGA,0.5291
2000,SG_INT_VRTDEV,Albania,IBRD,0.0671
2005,SG_INT_VRTDEV,Albania,IBRD,0.0667
2005,SG_INT_VRTDEV,Albania,ECOSOC,1.85185
2005,SG_INT_VRTDEV,Albania,WTO,0.6711
2005,SG_INT_VRTDEV,Albania,UNGA,0.5236
2005,SG_INT_VRTDEV,Albania,IFC,0.0644
2005,SG_INT_VRTDEV,Albania,IMF,0.0339
2000,SG_INT_VRTDEV,Finland,UNGA,0.5291
2000,SG_INT_VRTDEV,Finland,ADB,0.616
2000,SG_INT_VRTDEV,Finland,IADB,0.161
2000,SG_INT_VRTDEV,Finland,IBRD,0.5474
2005,SG_INT_VRTDEV,Finland,WTO,0.6711
2005,SG_INT_VRTDEV,Finland,UNGA,0.5236
2005,SG_INT_VRTDEV,Finland,AFDB,0.509
2005,SG_INT_VRTDEV,Finland,IFC,0.6621
2005,SG_INT_VRTDEV,Finland,IBRD,0.5443
2005,SG_INT_VRTDEV,Finland,IADB,0.161
2005,SG_INT_VRTDEV,Finland,ADB,0.587
2010,SG_INT_VRTDEV,Albania,UNGA,0.5208
2010,SG_INT_VRTDEV,Albania,IMF,0.0333
2010,SG_INT_VRTDEV,Albania,IFC,0.0643
2010,SG_INT_VRTDEV,Albania,WTO,0.6536
2010,SG_INT_VRTDEV,Albania,IBRD,0.0666
2015,SG_INT_VRTDEV,Albania,IBRD,0.0669
2015,SG_INT_VRTDEV,Albania,WTO,0.625
2015,SG_INT_VRTDEV,Albania,ECOSOC,1.85185
2015,SG_INT_VRTDEV,Albania,IMF,0.0531
2015,SG_INT_VRTDEV,Albania,UNGA,0.5181
2015,SG_INT_VRTDEV,Albania,IFC,0.0781
2005,SG_INT_VRTDEV,Finland,IMF,0.5925
2010,SG_INT_VRTDEV,Finland,IFC,0.6604
2010,SG_INT_VRTDEV,Finland,UNGA,0.5208
2010,SG_INT_VRTDEV,Finland,IMF,0.582
2010,SG_INT_VRTDEV,Finland,IBRD,0.5434
2010,SG_INT_VRTDEV,Finland,WTO,0.6536
2010,SG_INT_VRTDEV,Finland,ECOSOC,1.85185
2010,SG_INT_VRTDEV,Finland,ADB,0.608
2010,SG_INT_VRTDEV,Finland,AFDB,0.499
2010,SG_INT_VRTDEV,Finland,IADB,0.161
2014,SG_INT_VRTDEV,Finland,AFDB,0.498
2016,SG_INT_VRTDEV,Albania,IFC,0.0781
2016,SG_INT_VRTDEV,Albania,UNGA,0.5181
2016,SG_INT_VRTDEV,Albania,IMF,0.057
