Year,SeriesCode,Страна ,Bioclimatic belt,Value
2015,ER_MTN_DGRDP,Albania,MONTANE,0.68
2015,ER_MTN_DGRDP,Albania,ALPINE,0.0
2015,ER_MTN_DGRDP,Albania,TOTAL,0.68
2015,ER_MTN_DGRDP,Albania,REMAIN_MOUNT,0.09
2018,ER_MTN_DGRDP,Albania,ALPINE,0.0
2018,ER_MTN_DGRDP,Albania,TOTAL,0.75
2018,ER_MTN_DGRDP,Albania,REMAIN_MOUNT,0.13
2018,ER_MTN_DGRDP,Albania,MONTANE,0.75
2015,ER_MTN_DGRDP,Azerbaijan,ALPINE,0.03
2015,ER_MTN_DGRDP,Azerbaijan,MONTANE,1.19
2015,ER_MTN_DGRDP,Azerbaijan,REMAIN_MOUNT,5.09
2015,ER_MTN_DGRDP,Azerbaijan,TOTAL,1.35
2015,ER_MTN_DGRDP,Azerbaijan,NIVAL,0.0
2018,ER_MTN_DGRDP,Azerbaijan,NIVAL,0.0
2018,ER_MTN_DGRDP,Azerbaijan,REMAIN_MOUNT,5.14
2018,ER_MTN_DGRDP,Azerbaijan,ALPINE,0.1
2018,ER_MTN_DGRDP,Azerbaijan,MONTANE,1.22
2018,ER_MTN_DGRDP,Azerbaijan,TOTAL,1.39
2015,ER_MTN_DGRDP,Australia,ALPINE,4.49
2015,ER_MTN_DGRDP,Australia,TOTAL,1.31
2015,ER_MTN_DGRDP,Australia,MONTANE,0.99
2015,ER_MTN_DGRDP,Australia,REMAIN_MOUNT,1.74
2018,ER_MTN_DGRDP,Australia,TOTAL,1.5
2018,ER_MTN_DGRDP,Australia,ALPINE,4.53
2018,ER_MTN_DGRDP,Australia,REMAIN_MOUNT,1.93
2018,ER_MTN_DGRDP,Australia,MONTANE,1.18
2015,ER_MTN_DGRDP,Austria,NIVAL,0.3
2015,ER_MTN_DGRDP,Austria,MONTANE,3.3
2015,ER_MTN_DGRDP,Austria,TOTAL,2.94
2015,ER_MTN_DGRDP,Austria,ALPINE,1.11
2018,ER_MTN_DGRDP,Austria,NIVAL,0.46
2018,ER_MTN_DGRDP,Austria,ALPINE,1.38
2018,ER_MTN_DGRDP,Austria,MONTANE,3.57
2018,ER_MTN_DGRDP,Austria,TOTAL,3.2
2015,ER_MTN_DGRDP,Belgium,TOTAL,2.6
2015,ER_MTN_DGRDP,Belgium,MONTANE,2.6
2018,ER_MTN_DGRDP,Belgium,TOTAL,2.64
2018,ER_MTN_DGRDP,Belgium,MONTANE,2.64
2015,ER_MTN_DGRDP,Bosnia and Herzegovina,MONTANE,0.76
2015,ER_MTN_DGRDP,Bosnia and Herzegovina,REMAIN_MOUNT,1.14
2015,ER_MTN_DGRDP,Bosnia and Herzegovina,TOTAL,0.76
2018,ER_MTN_DGRDP,Bosnia and Herzegovina,REMAIN_MOUNT,1.42
2018,ER_MTN_DGRDP,Bosnia and Herzegovina,TOTAL,1.07
2018,ER_MTN_DGRDP,Bosnia and Herzegovina,MONTANE,1.07
2015,ER_MTN_DGRDP,Bulgaria,MONTANE,0.52
2015,ER_MTN_DGRDP,Bulgaria,TOTAL,0.55
2015,ER_MTN_DGRDP,Bulgaria,ALPINE,3.88
2018,ER_MTN_DGRDP,Bulgaria,ALPINE,3.97
2018,ER_MTN_DGRDP,Bulgaria,MONTANE,0.63
2018,ER_MTN_DGRDP,Bulgaria,TOTAL,0.66
2015,ER_MTN_DGRDP,Chile,MONTANE,0.88
2015,ER_MTN_DGRDP,Chile,REMAIN_MOUNT,0.78
2015,ER_MTN_DGRDP,Chile,ALPINE,0.38
2015,ER_MTN_DGRDP,Chile,NIVAL,0.23
2015,ER_MTN_DGRDP,Chile,TOTAL,0.69
2018,ER_MTN_DGRDP,Chile,TOTAL,0.99
2018,ER_MTN_DGRDP,Chile,REMAIN_MOUNT,0.89
2018,ER_MTN_DGRDP,Chile,ALPINE,0.62
2018,ER_MTN_DGRDP,Chile,MONTANE,1.27
2018,ER_MTN_DGRDP,Chile,NIVAL,0.28
2015,ER_MTN_DGRDP,China,REMAIN_MOUNT,1.89
2015,ER_MTN_DGRDP,China,ALPINE,0.63
2015,ER_MTN_DGRDP,China,MONTANE,0.77
2015,ER_MTN_DGRDP,China,NIVAL,0.11
2015,ER_MTN_DGRDP,China,TOTAL,0.96
2018,ER_MTN_DGRDP,China,TOTAL,1.37
2018,ER_MTN_DGRDP,China,REMAIN_MOUNT,2.06
2018,ER_MTN_DGRDP,China,NIVAL,0.41
2018,ER_MTN_DGRDP,China,ALPINE,1.41
2018,ER_MTN_DGRDP,China,MONTANE,1.06
2015,ER_MTN_DGRDP,Colombia,MONTANE,0.9
2015,ER_MTN_DGRDP,Colombia,NIVAL,0.15
2015,ER_MTN_DGRDP,Colombia,TOTAL,1.35
2015,ER_MTN_DGRDP,Colombia,ALPINE,0.27
2015,ER_MTN_DGRDP,Colombia,REMAIN_MOUNT,1.5
2018,ER_MTN_DGRDP,Colombia,ALPINE,0.31
2018,ER_MTN_DGRDP,Colombia,NIVAL,0.3
2018,ER_MTN_DGRDP,Colombia,TOTAL,1.7
2018,ER_MTN_DGRDP,Colombia,MONTANE,1.16
2018,ER_MTN_DGRDP,Colombia,REMAIN_MOUNT,1.89
2015,ER_MTN_DGRDP,Costa Rica,REMAIN_MOUNT,2.1
2015,ER_MTN_DGRDP,Costa Rica,TOTAL,2.0
2015,ER_MTN_DGRDP,Costa Rica,MONTANE,1.08
2015,ER_MTN_DGRDP,Costa Rica,ALPINE,4.43
2018,ER_MTN_DGRDP,Costa Rica,ALPINE,4.43
2018,ER_MTN_DGRDP,Costa Rica,REMAIN_MOUNT,2.31
2018,ER_MTN_DGRDP,Costa Rica,TOTAL,2.19
2018,ER_MTN_DGRDP,Costa Rica,MONTANE,1.13
2015,ER_MTN_DGRDP,Croatia,MONTANE,0.53
2015,ER_MTN_DGRDP,Croatia,REMAIN_MOUNT,0.43
2015,ER_MTN_DGRDP,Croatia,TOTAL,0.53
2018,ER_MTN_DGRDP,Croatia,MONTANE,0.71
2018,ER_MTN_DGRDP,Croatia,TOTAL,0.72
2018,ER_MTN_DGRDP,Croatia,REMAIN_MOUNT,1.89
