Year,SeriesCode,Страна ,Activity,Value
2000,NV_IND_MANF,Malta,ISIC4_C,13.1
2001,NV_IND_MANF,Malta,ISIC4_C,10.96
2002,NV_IND_MANF,Malta,ISIC4_C,11.09
2003,NV_IND_MANF,Malta,ISIC4_C,11.45
2004,NV_IND_MANF,Malta,ISIC4_C,10.22
2005,NV_IND_MANF,Malta,ISIC4_C,9.91
2006,NV_IND_MANF,Malta,ISIC4_C,9.58
2007,NV_IND_MANF,Malta,ISIC4_C,9.88
2008,NV_IND_MANF,Malta,ISIC4_C,11.09
2009,NV_IND_MANF,Malta,ISIC4_C,9.47
2000,NV_IND_MANF,Belgium,ISIC4_C,14.37
2001,NV_IND_MANF,Belgium,ISIC4_C,14.31
2002,NV_IND_MANF,Belgium,ISIC4_C,14.13
2003,NV_IND_MANF,Belgium,ISIC4_C,13.96
2004,NV_IND_MANF,Belgium,ISIC4_C,14.16
2005,NV_IND_MANF,Belgium,ISIC4_C,14.21
2006,NV_IND_MANF,Belgium,ISIC4_C,13.53
2007,NV_IND_MANF,Belgium,ISIC4_C,13.88
2008,NV_IND_MANF,Belgium,ISIC4_C,13.36
2009,NV_IND_MANF,Belgium,ISIC4_C,12.45
2010,NV_IND_MANF,Malta,ISIC4_C,10.03
2011,NV_IND_MANF,Malta,ISIC4_C,9.82
2012,NV_IND_MANF,Malta,ISIC4_C,9.92
2013,NV_IND_MANF,Malta,ISIC4_C,8.93
2014,NV_IND_MANF,Malta,ISIC4_C,8.25
2015,NV_IND_MANF,Malta,ISIC4_C,7.45
2016,NV_IND_MANF,Malta,ISIC4_C,7.0
2017,NV_IND_MANF,Malta,ISIC4_C,6.65
2018,NV_IND_MANF,Malta,ISIC4_C,6.58
2019,NV_IND_MANF,Malta,ISIC4_C,6.42
2010,NV_IND_MANF,Belgium,ISIC4_C,12.84
2011,NV_IND_MANF,Belgium,ISIC4_C,12.64
2012,NV_IND_MANF,Belgium,ISIC4_C,12.35
2013,NV_IND_MANF,Belgium,ISIC4_C,12.42
2014,NV_IND_MANF,Belgium,ISIC4_C,12.61
2015,NV_IND_MANF,Belgium,ISIC4_C,12.69
2016,NV_IND_MANF,Belgium,ISIC4_C,12.33
2017,NV_IND_MANF,Belgium,ISIC4_C,12.32
2018,NV_IND_MANF,Belgium,ISIC4_C,12.1
2019,NV_IND_MANF,Belgium,ISIC4_C,12.32
2020,NV_IND_MANF,Malta,ISIC4_C,7.03
2021,NV_IND_MANF,Malta,ISIC4_C,6.49
2022,NV_IND_MANF,Malta,ISIC4_C,6.29
2000,NV_IND_MANF,Mexico,ISIC4_C,19.8
2001,NV_IND_MANF,Mexico,ISIC4_C,19.33
2002,NV_IND_MANF,Mexico,ISIC4_C,18.87
2003,NV_IND_MANF,Mexico,ISIC4_C,18.47
2004,NV_IND_MANF,Mexico,ISIC4_C,18.37
2005,NV_IND_MANF,Mexico,ISIC4_C,18.35
2006,NV_IND_MANF,Mexico,ISIC4_C,18.38
2007,NV_IND_MANF,Mexico,ISIC4_C,18.08
2008,NV_IND_MANF,Mexico,ISIC4_C,17.63
2009,NV_IND_MANF,Mexico,ISIC4_C,16.73
2010,NV_IND_MANF,Mexico,ISIC4_C,17.29
2011,NV_IND_MANF,Mexico,ISIC4_C,17.21
2012,NV_IND_MANF,Mexico,ISIC4_C,17.26
2013,NV_IND_MANF,Mexico,ISIC4_C,17.12
2014,NV_IND_MANF,Mexico,ISIC4_C,17.31
2015,NV_IND_MANF,Mexico,ISIC4_C,17.26
2016,NV_IND_MANF,Mexico,ISIC4_C,17.07
2020,NV_IND_MANF,Belgium,ISIC4_C,12.48
2021,NV_IND_MANF,Belgium,ISIC4_C,11.76
2022,NV_IND_MANF,Belgium,ISIC4_C,11.74
2000,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,8.26
2001,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,8.59
2002,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,8.86
2003,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,8.79
2004,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,8.65
2005,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,9.11
2006,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,9.88
2000,NV_IND_MANF,Albania,ISIC4_C,4.12
2001,NV_IND_MANF,Albania,ISIC4_C,4.02
2002,NV_IND_MANF,Albania,ISIC4_C,4.01
2003,NV_IND_MANF,Albania,ISIC4_C,4.53
2004,NV_IND_MANF,Albania,ISIC4_C,4.55
2005,NV_IND_MANF,Albania,ISIC4_C,4.91
2006,NV_IND_MANF,Albania,ISIC4_C,5.24
2007,NV_IND_MANF,Albania,ISIC4_C,5.57
2008,NV_IND_MANF,Albania,ISIC4_C,4.92
2009,NV_IND_MANF,Albania,ISIC4_C,4.9
2007,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,10.32
2008,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,10.42
2009,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,10.16
2010,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,10.79
2011,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,10.69
2012,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,10.69
2013,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,10.97
2014,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,11.31
2015,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,11.67
2016,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,11.92
2017,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,12.52
2018,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,12.28
2019,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,11.95
