Year,Показатели,Страна,Quantile,Sex,Value
2008,[World Bank] Proportion of population covered by social assistance programs (%),Lithuania,_T,,58.67134
2008,[World Bank] Proportion of population covered by social assistance programs (%),Lithuania,Q1,,68.09415
2008,[World Bank] Proportion of population covered by social assistance programs (%),Mexico,_T,,15.626
2008,[World Bank] Proportion of population covered by social assistance programs (%),Mexico,Q1,,26.65463
2010,[World Bank] Proportion of population covered by social assistance programs (%),Mexico,_T,,31.99193
2010,[World Bank] Proportion of population covered by social assistance programs (%),Mexico,Q1,,54.8807
2012,[World Bank] Proportion of population covered by social assistance programs (%),Mexico,_T,,37.04733
2012,[World Bank] Proportion of population covered by social assistance programs (%),Mexico,Q1,,68.88569
2014,[World Bank] Proportion of population covered by social assistance programs (%),Mexico,_T,,32.52565
2014,[World Bank] Proportion of population covered by social assistance programs (%),Mexico,Q1,,53.83163
2016,[World Bank] Proportion of population covered by social assistance programs (%),Mexico,_T,,29.18586
2016,[World Bank] Proportion of population covered by social assistance programs (%),Mexico,Q1,,50.45571
2018,[World Bank] Proportion of population covered by social assistance programs (%),Mexico,_T,,27.48966
2018,[World Bank] Proportion of population covered by social assistance programs (%),Mexico,Q1,,49.66216
2010,[World Bank] Proportion of population covered by social assistance programs (%),Republic of Moldova,_T,,33.76309
2010,[World Bank] Proportion of population covered by social assistance programs (%),Republic of Moldova,Q1,,41.71106
2019,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Albania,,FEMALE,47.9
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Azerbaijan,,FEMALE,14.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Azerbaijan,,FEMALE,16.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Australia,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Austria,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Austria,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Armenia,,FEMALE,61.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Armenia,,FEMALE,61.6
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Belgium,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Belgium,,FEMALE,100.0
2012,[World Bank] Proportion of population covered by social assistance programs (%),Republic of Moldova,_T,,29.34293
2012,[World Bank] Proportion of population covered by social assistance programs (%),Republic of Moldova,Q1,,38.8092
2013,[World Bank] Proportion of population covered by social assistance programs (%),Republic of Moldova,_T,,23.79203
2013,[World Bank] Proportion of population covered by social assistance programs (%),Republic of Moldova,Q1,,29.629
2018,[World Bank] Proportion of population covered by social assistance programs (%),Republic of Moldova,Q1,,50.04396
2018,[World Bank] Proportion of population covered by social assistance programs (%),Republic of Moldova,_T,,32.74051
2011,[World Bank] Proportion of population covered by social assistance programs (%),Montenegro,Q1,,14.99426
2011,[World Bank] Proportion of population covered by social assistance programs (%),Montenegro,_T,,5.08993
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Bosnia and Herzegovina,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Bulgaria,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Bulgaria,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Belarus,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Canada,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Canada,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Chile,,FEMALE,44.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Chile,,FEMALE,46.6
2017,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),China,,FEMALE,64.9
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),China,,FEMALE,69.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Costa Rica,,FEMALE,23.4
2021,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Costa Rica,,FEMALE,27.1
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Croatia,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Croatia,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Cyprus,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Cyprus,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Czechia,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Czechia,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Denmark,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Denmark,,FEMALE,100.0
2012,[World Bank] Proportion of population covered by social assistance programs (%),Montenegro,_T,,8.56685
2012,[World Bank] Proportion of population covered by social assistance programs (%),Montenegro,Q1,,23.06891
2013,[World Bank] Proportion of population covered by social assistance programs (%),Montenegro,_T,,10.41047
2013,[World Bank] Proportion of population covered by social assistance programs (%),Montenegro,Q1,,27.13369
2014,[World Bank] Proportion of population covered by social assistance programs (%),Montenegro,_T,,8.07594
2014,[World Bank] Proportion of population covered by social assistance programs (%),Montenegro,Q1,,22.6477
2005,[World Bank] Proportion of population covered by social assistance programs (%),Poland,_T,,50.5828
2005,[World Bank] Proportion of population covered by social assistance programs (%),Poland,Q1,,71.04557
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Georgia,,MALE,0.0
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Georgia,,FEMALE,0.0
2000,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Germany,,BOTHSEX,81.2
2004,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Germany,,BOTHSEX,92.1
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Germany,,BOTHSEX,80.6
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Germany,,BOTHSEX,86.4
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Germany,,BOTHSEX,87.6
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Germany,,BOTHSEX,86.3
2016,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Germany,,BOTHSEX,100.0
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Germany,,FEMALE,100.0
2016,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Norway,,MALE,100.0
2016,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Norway,,FEMALE,100.0
2016,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Norway,,BOTHSEX,100.0
2017,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Norway,,BOTHSEX,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Norway,,MALE,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Norway,,FEMALE,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Norway,,BOTHSEX,100.0
2013,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Poland,,FEMALE,99.2
2013,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Poland,,BOTHSEX,100.0
2013,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Poland,,MALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Estonia,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Estonia,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Finland,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Finland,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),France,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),France,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Georgia,,FEMALE,24.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Georgia,,FEMALE,26.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Germany,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Germany,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Greece,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Greece,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Hungary,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Hungary,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Iceland,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Iceland,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),India,,FEMALE,41.5
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),India,,FEMALE,41.6
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Ireland,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Ireland,,FEMALE,100.0
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Germany,,MALE,100.0
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Germany,,BOTHSEX,100.0
2000,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Greece,,BOTHSEX,52.9
2002,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Greece,,BOTHSEX,44.3
