Year,SeriesCode,Страна ,Sex,Type of occupation,Value
2013,SH_MED_HWRKDIS,Albania,FEMALE,PHYS,46.9
2013,SH_MED_HWRKDIS,Albania,MALE,NURS,31.5
2013,SH_MED_HWRKDIS,Albania,FEMALE,NURS,68.5
2013,SH_MED_HWRKDIS,Albania,MALE,PHYS,53.1
2013,SH_MED_HWRKDIS,Azerbaijan,FEMALE,PHYS,64.7
2013,SH_MED_HWRKDIS,Azerbaijan,MALE,PHYS,35.3
2013,SH_MED_HWRKDIS,Australia,FEMALE,PHYS,38.5
2013,SH_MED_HWRKDIS,Australia,MALE,PHYS,61.5
2013,SH_MED_HWRKDIS,Australia,MALE,NURS,10.5
2013,SH_MED_HWRKDIS,Australia,FEMALE,NURS,89.5
2014,SH_MED_HWRKDIS,Australia,FEMALE,NURS,89.3
2014,SH_MED_HWRKDIS,Australia,MALE,NURS,10.7
2014,SH_MED_HWRKDIS,Australia,MALE,PHYS,60.6
2014,SH_MED_HWRKDIS,Australia,FEMALE,PHYS,39.4
2015,SH_MED_HWRKDIS,Australia,FEMALE,NURS,89.2
2015,SH_MED_HWRKDIS,Australia,MALE,PHYS,60.0
2015,SH_MED_HWRKDIS,Australia,FEMALE,PHYS,40.0
2015,SH_MED_HWRKDIS,Australia,MALE,NURS,10.8
2016,SH_MED_HWRKDIS,Australia,FEMALE,NURS,89.0
2016,SH_MED_HWRKDIS,Australia,MALE,NURS,11.0
2016,SH_MED_HWRKDIS,Australia,MALE,PHYS,59.3
2016,SH_MED_HWRKDIS,Australia,FEMALE,PHYS,40.7
2017,SH_MED_HWRKDIS,Australia,FEMALE,PHYS,41.3
2017,SH_MED_HWRKDIS,Australia,MALE,PHYS,58.7
2017,SH_MED_HWRKDIS,Australia,MALE,NURS,11.1
2017,SH_MED_HWRKDIS,Australia,FEMALE,NURS,88.9
2018,SH_MED_HWRKDIS,Australia,FEMALE,NURS,88.8
2018,SH_MED_HWRKDIS,Australia,MALE,PHYS,58.1
2018,SH_MED_HWRKDIS,Australia,FEMALE,PHYS,41.9
2018,SH_MED_HWRKDIS,Australia,MALE,NURS,11.2
2019,SH_MED_HWRKDIS,Australia,FEMALE,PHYS,42.6
2019,SH_MED_HWRKDIS,Australia,FEMALE,NURS,88.5
2019,SH_MED_HWRKDIS,Australia,MALE,PHYS,57.4
2019,SH_MED_HWRKDIS,Australia,MALE,NURS,11.5
2020,SH_MED_HWRKDIS,Australia,FEMALE,PHYS,43.2
2020,SH_MED_HWRKDIS,Australia,MALE,PHYS,56.8
2020,SH_MED_HWRKDIS,Australia,FEMALE,NURS,88.3
2020,SH_MED_HWRKDIS,Australia,MALE,NURS,11.7
2021,SH_MED_HWRKDIS,Australia,FEMALE,NURS,88.1
2021,SH_MED_HWRKDIS,Australia,MALE,NURS,11.9
2016,SH_MED_HWRKDIS,Austria,FEMALE,NURS,93.2
2016,SH_MED_HWRKDIS,Austria,MALE,NURS,6.8
2000,SH_MED_HWRKDIS,Armenia,MALE,PHYS,28.7
2000,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,71.3
2001,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,71.8
2001,SH_MED_HWRKDIS,Armenia,MALE,PHYS,28.2
2002,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,70.8
2002,SH_MED_HWRKDIS,Armenia,MALE,PHYS,29.2
2003,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,70.4
2003,SH_MED_HWRKDIS,Armenia,MALE,PHYS,29.6
2004,SH_MED_HWRKDIS,Armenia,MALE,PHYS,29.6
2004,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,70.4
2005,SH_MED_HWRKDIS,Armenia,MALE,PHYS,29.4
2005,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,70.6
2016,SH_MED_HWRKDIS,Estonia,FEMALE,NURS,98.3
