Year,SeriesCode,Страна ,Quantile,Value
2008,SI_COV_SOCAST,Lithuania,_T,58.67134
2008,SI_COV_SOCAST,Lithuania,Q1,68.09415
2008,SI_COV_SOCAST,Mexico,_T,15.626
2008,SI_COV_SOCAST,Mexico,Q1,26.65463
2010,SI_COV_SOCAST,Mexico,_T,31.99193
2010,SI_COV_SOCAST,Mexico,Q1,54.8807
2012,SI_COV_SOCAST,Mexico,_T,37.04733
2012,SI_COV_SOCAST,Mexico,Q1,68.88569
2014,SI_COV_SOCAST,Mexico,_T,32.52565
2014,SI_COV_SOCAST,Mexico,Q1,53.83163
2016,SI_COV_SOCAST,Mexico,_T,29.18586
2016,SI_COV_SOCAST,Mexico,Q1,50.45571
2018,SI_COV_SOCAST,Mexico,_T,27.48966
2018,SI_COV_SOCAST,Mexico,Q1,49.66216
2010,SI_COV_SOCAST,Republic of Moldova,_T,33.76309
2010,SI_COV_SOCAST,Republic of Moldova,Q1,41.71106
2012,SI_COV_SOCAST,Republic of Moldova,_T,29.34293
2012,SI_COV_SOCAST,Republic of Moldova,Q1,38.8092
2013,SI_COV_SOCAST,Republic of Moldova,_T,23.79203
2013,SI_COV_SOCAST,Republic of Moldova,Q1,29.629
2018,SI_COV_SOCAST,Republic of Moldova,Q1,50.04396
2018,SI_COV_SOCAST,Republic of Moldova,_T,32.74051
2011,SI_COV_SOCAST,Montenegro,Q1,14.99426
2011,SI_COV_SOCAST,Montenegro,_T,5.08993
2012,SI_COV_SOCAST,Montenegro,_T,8.56685
2012,SI_COV_SOCAST,Montenegro,Q1,23.06891
2013,SI_COV_SOCAST,Montenegro,_T,10.41047
2013,SI_COV_SOCAST,Montenegro,Q1,27.13369
2014,SI_COV_SOCAST,Montenegro,_T,8.07594
2014,SI_COV_SOCAST,Montenegro,Q1,22.6477
2005,SI_COV_SOCAST,Poland,_T,50.5828
2005,SI_COV_SOCAST,Poland,Q1,71.04557
2006,SI_COV_SOCAST,Poland,_T,49.32769
2006,SI_COV_SOCAST,Poland,Q1,69.58492
2007,SI_COV_SOCAST,Poland,_T,47.58559
2007,SI_COV_SOCAST,Poland,Q1,66.86927
2008,SI_COV_SOCAST,Poland,_T,43.29234
2008,SI_COV_SOCAST,Poland,Q1,62.00586
2009,SI_COV_SOCAST,Poland,_T,41.08965
2009,SI_COV_SOCAST,Poland,Q1,60.84591
2010,SI_COV_SOCAST,Poland,Q1,60.50547
2010,SI_COV_SOCAST,Poland,_T,39.55377
2011,SI_COV_SOCAST,Poland,_T,39.33474
2011,SI_COV_SOCAST,Poland,Q1,60.10428
2012,SI_COV_SOCAST,Poland,_T,38.75306
2012,SI_COV_SOCAST,Poland,Q1,60.60022
2015,SI_COV_SOCAST,Poland,_T,31.34959
