Year,SeriesCode,Страна ,Level/Status,Value
2022,ER_BDY_SEEA,Albania,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Albania,_T,1
2022,ER_BDY_SEEA,Azerbaijan,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Azerbaijan,_T,1
2022,ER_BDY_SEEA,Australia,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Australia,_T,1
2022,ER_BDY_SEEA,Austria,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Austria,_T,1
2022,ER_BDY_SEEA,Armenia,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Armenia,_T,1
2022,ER_BDY_SEEA,Belgium,_T,1
2022,ER_BDY_SEEA,Belgium,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Bosnia and Herzegovina,_T,1
2022,ER_BDY_SEEA,Bosnia and Herzegovina,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Bulgaria,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Bulgaria,_T,1
2022,ER_BDY_SEEA,Belarus,_T,1
2022,ER_BDY_SEEA,Belarus,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Canada,_T,1
2022,ER_BDY_SEEA,Canada,LS_COMPDISSE,1
2022,ER_BDY_SEEA,China,_T,1
2022,ER_BDY_SEEA,China,LS_COMP,1
2022,ER_BDY_SEEA,Colombia,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Colombia,_T,1
2022,ER_BDY_SEEA,Costa Rica,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Costa Rica,_T,1
2022,ER_BDY_SEEA,Croatia,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Croatia,_T,1
2022,ER_BDY_SEEA,Cyprus,_T,1
2022,ER_BDY_SEEA,Cyprus,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Czechia,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Czechia,_T,1
2022,ER_BDY_SEEA,Denmark,_T,1
2022,ER_BDY_SEEA,Denmark,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Estonia,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Estonia,_T,1
2022,ER_BDY_SEEA,Finland,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Finland,_T,1
2022,ER_BDY_SEEA,France,LS_COMPDISSE,1
2022,ER_BDY_SEEA,France,_T,1
2022,ER_BDY_SEEA,Georgia,_T,1
2022,ER_BDY_SEEA,Georgia,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Germany,_T,1
2022,ER_BDY_SEEA,Germany,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Greece,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Greece,_T,1
2022,ER_BDY_SEEA,Hungary,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Hungary,_T,1
2022,ER_BDY_SEEA,Iceland,_T,1
2022,ER_BDY_SEEA,Iceland,LS_COMPDISSE,1
2022,ER_BDY_SEEA,India,LS_COMPDISSE,1
2022,ER_BDY_SEEA,India,_T,1
2022,ER_BDY_SEEA,Ireland,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Ireland,_T,1
2022,ER_BDY_SEEA,Israel,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Israel,_T,1
2022,ER_BDY_SEEA,Italy,_T,1
2022,ER_BDY_SEEA,Italy,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Japan,LS_DISSEM,1
2022,ER_BDY_SEEA,Japan,_T,1
2022,ER_BDY_SEEA,Казахстан,_T,1
2022,ER_BDY_SEEA,Казахстан,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Latvia,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Latvia,_T,1
2022,ER_BDY_SEEA,Lithuania,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Lithuania,_T,1
2022,ER_BDY_SEEA,Luxembourg,_T,1
2022,ER_BDY_SEEA,Luxembourg,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Malta,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Malta,_T,1
2022,ER_BDY_SEEA,Mexico,_T,1
