Year,SeriesCode,Country,Education level,Location,Quantile,Sex,Value
2000,SE_AWP_CPRA,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,0.93444
2000,SE_AWP_CPRA,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,0.5026
2000,SE_AWP_CPRA,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,0.97251
2005,SE_AWP_CPRA,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,0.97682
2005,SE_AWP_CPRA,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,1.0007
2005,SE_AWP_CPRA,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,0.21595
2009,SE_AWP_CPRA,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,0.42906
2009,SE_AWP_CPRA,Albania,LOWSEC,Rural,Total or no breakdown,Male,0.0
2009,SE_AWP_CPRA,Albania,LOWSEC,Rural,Total or no breakdown,Female,0.0
2009,SE_AWP_CPRA,Albania,PRIMAR,Rural,Total or no breakdown,Male,0.0
2009,SE_AWP_CPRA,Albania,PRIMAR,Rural,Total or no breakdown,Female,0.0
2009,SE_AWP_CPRA,Albania,LOWSEC,All areas,Total or no breakdown,Male,0.45957
2009,SE_AWP_CPRA,Albania,UPPSEC,Urban,Total or no breakdown,Both sexes,0.0
2009,SE_AWP_CPRA,Albania,UPPSEC,Rural,Total or no breakdown,Male,0.0
2009,SE_AWP_CPRA,Albania,PRIMAR,Rural,Total or no breakdown,Both sexes,0.0
2009,SE_AWP_CPRA,Albania,PRIMAR,Urban,Total or no breakdown,Male,0.0
2009,SE_AWP_CPRA,Albania,UPPSEC,Rural,Total or no breakdown,Female,0.0
2009,SE_AWP_CPRA,Albania,UPPSEC,All areas,Total or no breakdown,Female,0.14785
2009,SE_AWP_CPRA,Albania,PRIMAR,Urban,Total or no breakdown,Female,0.0
2009,SE_AWP_CPRA,Albania,UPPSEC,All areas,Total or no breakdown,Male,0.22223
2009,SE_AWP_CPRA,Albania,UPPSEC,Urban,Total or no breakdown,Female,0.0
2009,SE_AWP_CPRA,Albania,UPPSEC,Urban,Total or no breakdown,Male,0.0
2009,SE_AWP_CPRA,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,0.18084
2009,SE_AWP_CPRA,Albania,PRIMAR,All areas,Total or no breakdown,Male,0.97531
2009,SE_AWP_CPRA,Albania,PRIMAR,All areas,Total or no breakdown,Female,0.97177
2009,SE_AWP_CPRA,Albania,LOWSEC,All areas,Total or no breakdown,Female,0.4037
2009,SE_AWP_CPRA,Albania,UPPSEC,Rural,Total or no breakdown,Both sexes,0.0
2009,SE_AWP_CPRA,Albania,LOWSEC,Urban,Total or no breakdown,Both sexes,0.0
2009,SE_AWP_CPRA,Albania,PRIMAR,Urban,Total or no breakdown,Both sexes,0.0
2009,SE_AWP_CPRA,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,0.9736
2009,SE_AWP_CPRA,Albania,LOWSEC,Urban,Total or no breakdown,Female,0.0
2009,SE_AWP_CPRA,Albania,LOWSEC,Urban,Total or no breakdown,Male,0.0
2009,SE_AWP_CPRA,Albania,LOWSEC,Rural,Total or no breakdown,Both sexes,0.0
2017,SE_AWP_CPRA,Albania,PRIMAR,Urban,Total or no breakdown,Male,1.01349
2017,SE_AWP_CPRA,Albania,LOWSEC,Urban,Total or no breakdown,Male,0.68239
2017,SE_AWP_CPRA,Albania,LOWSEC,Urban,Total or no breakdown,Female,0.72394
2017,SE_AWP_CPRA,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,0.95259
