Year,SeriesCode,Country,Location,Value
2017,ER_H2O_PRDU,Albania,Rural,10.0
2019,ER_H2O_PRDU,Albania,Rural,10.0
2022,ER_H2O_PRDU,Albania,Rural,10.0
2012,ER_H2O_PRDU,Azerbaijan,Rural,10.0
2014,ER_H2O_PRDU,Azerbaijan,Rural,10.0
2017,ER_H2O_PRDU,Azerbaijan,Rural,10.0
2019,ER_H2O_PRDU,Azerbaijan,Rural,10.0
2022,ER_H2O_PRDU,Azerbaijan,Rural,10.0
2019,ER_H2O_PRDU,Austria,Rural,10.0
2017,ER_H2O_PRDU,Bosnia and Herzegovina,Rural,10.0
2019,ER_H2O_PRDU,Bosnia and Herzegovina,Rural,10.0
2022,ER_H2O_PRDU,Bosnia and Herzegovina,Rural,10.0
2014,ER_H2O_PRDU,Belarus,Rural,5.0
2017,ER_H2O_PRDU,Belarus,Rural,10.0
2019,ER_H2O_PRDU,Belarus,Rural,10.0
2022,ER_H2O_PRDU,Belarus,Rural,10.0
2014,ER_H2O_PRDU,Chile,Rural,10.0
2017,ER_H2O_PRDU,Chile,Rural,10.0
2019,ER_H2O_PRDU,Chile,Rural,10.0
2022,ER_H2O_PRDU,Chile,Rural,10.0
2017,ER_H2O_PRDU,China,Rural,10.0
2019,ER_H2O_PRDU,China,Rural,10.0
2022,ER_H2O_PRDU,China,Rural,10.0
2012,ER_H2O_PRDU,Colombia,Rural,5.0
2014,ER_H2O_PRDU,Colombia,Rural,10.0
2017,ER_H2O_PRDU,Colombia,Rural,10.0
2019,ER_H2O_PRDU,Colombia,Rural,10.0
2022,ER_H2O_PRDU,Colombia,Rural,10.0
2014,ER_H2O_PRDU,Costa Rica,Rural,10.0
2017,ER_H2O_PRDU,Costa Rica,Rural,10.0
2019,ER_H2O_PRDU,Costa Rica,Rural,10.0
2022,ER_H2O_PRDU,Costa Rica,Rural,10.0
2022,ER_H2O_PRDU,Croatia,Rural,10.0
2014,ER_H2O_PRDU,Estonia,Rural,10.0
2022,ER_H2O_PRDU,Estonia,Rural,10.0
2014,ER_H2O_PRDU,Georgia,Rural,5.0
2017,ER_H2O_PRDU,Georgia,Rural,10.0
2019,ER_H2O_PRDU,Georgia,Rural,10.0
2022,ER_H2O_PRDU,Georgia,Rural,10.0
2022,ER_H2O_PRDU,Greece,Rural,10.0
2019,ER_H2O_PRDU,Hungary,Rural,10.0
2022,ER_H2O_PRDU,Hungary,Rural,10.0
2012,ER_H2O_PRDU,India,Rural,10.0
2014,ER_H2O_PRDU,India,Rural,0.0
2017,ER_H2O_PRDU,India,Rural,10.0
2022,ER_H2O_PRDU,Italy,Rural,10.0
2010,ER_H2O_PRDU,Kazakhstan,Rural,0.0
2014,ER_H2O_PRDU,Kazakhstan,Rural,10.0
2022,ER_H2O_PRDU,Kazakhstan,Rural,10.0
2012,ER_H2O_PRDU,Kyrgyzstan,Rural,10.0
2014,ER_H2O_PRDU,Kyrgyzstan,Rural,10.0
2017,ER_H2O_PRDU,Kyrgyzstan,Rural,5.0
2019,ER_H2O_PRDU,Kyrgyzstan,Rural,5.0
2022,ER_H2O_PRDU,Kyrgyzstan,Rural,10.0
2014,ER_H2O_PRDU,Lithuania,Rural,10.0
2017,ER_H2O_PRDU,Lithuania,Rural,10.0
2019,ER_H2O_PRDU,Lithuania,Rural,10.0
2014,ER_H2O_PRDU,Mexico,Rural,10.0
2017,ER_H2O_PRDU,Mexico,Rural,10.0
2019,ER_H2O_PRDU,Mexico,Rural,10.0
2022,ER_H2O_PRDU,Mexico,Rural,10.0
2014,ER_H2O_PRDU,Moldova,Rural,5.0
2019,ER_H2O_PRDU,Montenegro,Rural,5.0
2022,ER_H2O_PRDU,Montenegro,Rural,10.0
2019,ER_H2O_PRDU,Netherlands (Kingdom of the),Rural,10.0
2019,ER_H2O_PRDU,New Zealand,Rural,10.0
2022,ER_H2O_PRDU,Norway,Rural,10.0
2022,ER_H2O_PRDU,Romania,Rural,10.0
2014,ER_H2O_PRDU,Serbia,Rural,10.0
2017,ER_H2O_PRDU,Serbia,Rural,10.0
2019,ER_H2O_PRDU,Serbia,Rural,10.0
2022,ER_H2O_PRDU,Serbia,Rural,10.0
2010,ER_H2O_PRDU,Viet Nam,Rural,10.0
2012,ER_H2O_PRDU,Viet Nam,Rural,10.0
2014,ER_H2O_PRDU,Viet Nam,Rural,10.0
2017,ER_H2O_PRDU,Viet Nam,Rural,10.0
2019,ER_H2O_PRDU,Viet Nam,Rural,10.0
2022,ER_H2O_PRDU,Viet Nam,Rural,10.0
2012,ER_H2O_PRDU,Tajikistan,Rural,10.0
2014,ER_H2O_PRDU,Tajikistan,Rural,10.0
2017,ER_H2O_PRDU,Tajikistan,Rural,10.0
2019,ER_H2O_PRDU,Tajikistan,Rural,10.0
2022,ER_H2O_PRDU,Tajikistan,Rural,10.0
2022,ER_H2O_PRDU,Turkmenistan,Rural,10.0
2014,ER_H2O_PRDU,Ukraine,Rural,10.0
2017,ER_H2O_PRDU,Ukraine,Rural,10.0
2019,ER_H2O_PRDU,Ukraine,Rural,10.0
2022,ER_H2O_PRDU,Ukraine,Rural,10.0
2014,ER_H2O_PRDU,North Macedonia,Rural,10.0
2012,ER_H2O_PRDU,Uzbekistan,Rural,10.0
2017,ER_H2O_PRDU,Uzbekistan,Rural,0.0
2019,ER_H2O_PRDU,Uzbekistan,Rural,5.0
2022,ER_H2O_PRDU,Uzbekistan,Rural,10.0
2022,ER_H2O_PRDU,Uzbekistan,Rural,10.0
